Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
eys,r,,,eys,,,3,sye,,,sye,,,,,ems,,,,,1,,,,,syo,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,abop,,,,,2,,,,,poba,,,,,1,,
eys,r,,,eys,,,3,sye,,,sye,,,,,uys,,,,,0,,,,,syu,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,abop,,,,,2,,,,,peda,,,,,2,,
epa,r,,,epa,,,3,ape,,,ape,,,,,ipa,,,,,0,,,,,ase,,,,,1,,
bal,r,,,bal,,,3,lab,,,lab,,,,,sal,,,,,0,,,,,lib,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,umpo,,,,,1,,,,,aplu,,,,,0,,
abep,r,,,abep,,,4,peba,,,peba,,,,,asep,,,,,1,,,,,pebe,,,,,3,,
eys,r,,,eys,,,3,sye,,,sye,,,,,eyf,,,,,2,,,,,sya,,,,,2,,
mit,r,,,mit,,,3,tim,,,tim,,,,,mot,,,,,1,,,,,tem,,,,,1,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sod,,,,,1,,,,,sis,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,werh,,,,,0,,,,,hrar,,,,,2,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ujpo,,,,,1,,,,,eplu,,,,,0,,
mit,r,,,mit,,,3,tim,,,tim,,,,,rit,,,,,0,,,,,tam,,,,,1,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,titug,,,,,3,,,,,gefit,,,,,2,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,tifeg,,,,,2,,,,,getat,,,,,3,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,siteg,,,,,0,,,,,gatit,,,,,1,,
mit,r,,,mit,,,3,tim,,,tim,,,,,rit,,,,,0,,,,,him,,,,,0,,
epa,r,,,epa,,,3,ape,,,ape,,,,,ipa,,,,,0,,,,,epe,,,,,0,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,hiteg,,,,,0,,,,,gitit,,,,,1,,
eys,r,,,eys,,,3,sye,,,sye,,,,,oys,,,,,0,,,,,sya,,,,,2,,
eys,r,,,eys,,,3,sye,,,sye,,,,,eyd,,,,,2,,,,,swe,,,,,1,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,teteg,,,,,1,,,,,hetit,,,,,0,,
epa,r,,,epa,,,3,ape,,,ape,,,,,ega,,,,,1,,,,,ipe,,,,,0,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,uwpo,,,,,1,,,,,opla,,,,,3,,
mit,r,,,mit,,,3,tim,,,tim,,,,,lit,,,,,0,,,,,tam,,,,,1,,
eys,r,,,eys,,,3,sye,,,sye,,,,,ems,,,,,1,,,,,fye,,,,,0,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulfo,,,,,2,,,,,oplo,,,,,3,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,tateg,,,,,1,,,,,getis,,,,,4,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sit,,,,,2,,,,,sis,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rert,,,,,3,,,,,prer,,,,,0,,
abep,r,,,abep,,,4,peba,,,peba,,,,,apep,,,,,1,,,,,veba,,,,,0,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sis,,,,,2,,,,,kis,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,remh,,,,,2,,,,,hler,,,,,1,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,reyh,,,,,2,,,,,hmer,,,,,1,,
