Token,Condition,n_trials,Prefix3,Prefix2,Prefix1,Root,Suffix1,Suffix2,Suffix3,Wordlength,Monomorpheme,ErrorPrefix3,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ErrorSuffix3,ChangedIndexP3,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,ChangedIndexS3
ramk,r,6,,,,ramk,,,,4,kmar,,,,remk,,,,,,,1,,,
inneek,pr,24,,,in,neek,,,,6,nikeen,,,onneek,inneeb,,,,,,0,3,,,
neekful,rs,24,,,,neek,ful,,,7,keenluf,,,,neetful,neekfel,,,,,,3,1,,
unmonion,prs,24,,,un,mon,ion,,,8,nunomnoi,,,urmonion,unmowion,unmonioy,,,,,1,2,2,,
redismon,ppr,24,,re,dis,mon,,,,8,ersidnom,,ledismon,rehismon,redisnon,,,,,0,0,0,,,
monlyness,rss,24,,,,mon,ly,ness,,9,nomylssen,,,,morlyness,monyyness,monlynesp,,,,,2,0,3,
dekamdfully,prss,24,,,de,kamd,ful,ly,,11,eddmaklufyl,,,dokamdfully,dekomdfully,dekamdcully,dekamdfullm,,,,1,1,0,1,
undemonion,pprs,24,,un,de,mon,ion,,,10,nuednomnoi,,indemonion,undumonion,undemenion,undemonien,,,,0,1,1,1,,
reunmismon,pppr,24,re,un,mis,mon,,,,10,ernusimnom,raunmismon,reulmismon,reunmikmon,reunmisman,,,,1,1,2,1,,,
neekfullyness,rsss,24,,,,neek,ful,ly,ness,13,keenlufylssen,,,,neetfullyness,neekfellyness,neekfulbyness,neekfullynoss,,,,3,1,0,1
unmonfullyness,prsss,24,,,un,mon,ful,ly,ness,15,nunomlufylssen,,,ulmonfullyness,unmenfullyness,unmonfillyness,unmonfullrness,unmonfullyniss,,,1,1,1,1,1
reunmismonful,ppprs,24,re,un,mis,mon,ful,,,13,ernusimnomluf,riunmismonful,reummismonful,reunmasmonful,reunmismenful,,,,1,1,1,1,1,,
unmismonfully,pprss,24,,un,mis,mon,ful,ly,,13,nusimnomlufyl,,ulmismonfully,unmusmonfully,unmisminfully,unmismonfally,unmismonfullln,,,,,,,,
unmismonfullyness,pprsss,24,,un,mis,mon,ful,ly,ness,17,nusimnomlufylssen,,ulmismonfullyness,unmasmonfullyness,unmismunfullyness,unmismonfillyness,unmismonfullrness,unmismonfullynass,,1,1,1,1,1,1
reunmismonfully,ppprss,24,re,un,mis,mon,ful,ly,,15,ernusimnomlufyl,riunmismonfully,reurmismonfully,reunmasmonfully,reunmismunfully,reunmismonfelly,reunmismonfulln,,1,1,1,1,1,1,
reunmismonfullyness,ppprsss,24,re,un,mis,mon,ful,ly,ness,19,ernusimnomlufylssen,rounmismonfullyness,reulmismonfullyness,reunmesmonfullyness,reunmismanfullyness,reunmismonfillyness,reunmismonfullmness,reunmismonfullynuss,1,1,1,1,1,1,1
