Condition,n_trials,Token,Prefix3,Prefix2,Prefix1,Root,Suffix1,Suffix2,Suffix3,Wordlength,Monomorpheme,ErrorPrefix3,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ErrorSuffix3,ChangedIndexP3,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,ChangedIndexS3
r,6,ramk,,,,ramk,,,,4,kmar,,,,remk,,,,,,,1,,,
pr,24,inneek,,,in,neek,,,,6,nikeen,,,onneek,inneeb,,,,,,0,3,,,
rs,24,neekful,,,,neek,ful,,,7,keenluf,,,,neetful,neekfel,,,,,,3,1,,
prs,24,unmonion,,,un,mon,ion,,,8,nunomnoi,,,urmonion,unmowion,unmonioy,,,,,1,2,2,,
ppr,24,redismon,,re,dis,mon,,,,8,ersidnom,,ledismon,rehismon,redisnon,,,,,0,0,0,,,
rss,24,monlyness,,,,mon,ly,ness,,9,nomylssen,,,,morlyness,monyyness,monlynesp,,,,,2,0,3,
prss,24,dekamdfully,,,de,kamd,ful,ly,,11,eddmaklufyl,,,dokamdfully,dekomdfully,dekamdcully,dekamdfullm,,,,1,1,0,1,
pprs,24,undemonion,,un,de,mon,ion,,,10,nuednomnoi,,indemonion,undumonion,undemenion,undemonien,,,,0,1,1,1,,
rsss,24,neekfullyness,,,,neek,ful,ly,ness,13,keenlufylssen,,,,neetfullyness,neekfellyness,neekfulbyness,neekfullynoss,,,,3,1,0,1
prsss,25,unmonfullyness,,,un,mon,ful,ly,ness,15,nunomlufylssen,,,ulmonfullyness,unmenfullyness,unmonfillyness,unmonfullrness,unmonfullyniss,,,1,1,1,1,1
pprss,25,unmismonfully,,un,mis,mon,ful,ly,,13,nusimnomlufyl,,ulmismonfully,unmusmonfully,unmisminfully,unmismonfally,unmismonfullln,,,,,,,,
pprsss,24,unmismonfullyness,,un,mis,mon,ful,ly,ness,17,nusimnomlufylssen,,ulmismonfullyness,unmasmonfullyness,unmismunfullyness,unmismonfillyness,unmismonfullrness,unmismonfullynass,,1,1,1,1,1,1
prssss,24,,,,,,,,,,,,,,,,,,,,,,,,
rssss,25,,,,,,,,,,,,,,,,,,,,,,,,
