Prefix3,Prefix2,Prefix1,Frequency,Condition,n_affixes
,,in,2402388,p,1
,,re,2175658,p,1
,,pro,1206582,p,1
,,im,610746,p,1
,,ex,581016,p,1
,,de,559431,p,1
,,un,538545,p,1
,,dis,452605,p,1
,,inter,343106,p,1
,,uni,324253,p,1
,,sub,323358,p,1
,,out,215014,p,1
,,pre,155948,p,1
,,over,151096,p,1
,,mis,103160,p,1
,re,mis,2278818,pp,2
,re,dis,2628263,pp,2
,re,de,2735089,pp,2
,re,out,2390672,pp,2
,re,over,2326754,pp,2
,re,in,4578046,pp,2
,pre,mis,259108,pp,2
,pre,dis,608553,pp,2
,pre,de,2854993,pp,2
,un,in,2940933,pp,2
,un,be,597997,pp,2
,in,sub,2725746,pp,2
,in,dis,2854993,pp,2
