Prefix2,Prefix1,Root,Suffix1,Suffix2,Suffix3,Suffix4,Frequency,n_affixes,Example1,Example2
re,mis,r,ment,,,,99,3,remisalignment,remisjudgement
re,de,r,ment,,,,99,3,redeflatment,redehydratment
re,in,r,ment,,,,99,3,reinstatement,reinforcement
re,in,r,ance,,,,99,3,reinsurance,
in,dis,r,ion,,,,99,3,indisposition,
in,dis,r,ity,,,,99,3,indissolubility,
dis,in,r,ant,,,,99,3,disinfectant,
dis,in,r,ion,,,,99,3,disinflation,
un,mis,r,able,,,,99,3,unmistakable,
re,im,r,able,,,,99,3,reimbursable,
re,im,r,ment,,,,99,3,reimbursment,
re,in,r,able,,,,99,3,reinforcable,reinstatable
