Prefix2,Prefix1,Root,Suffix1,Suffix2,Suffix3,Suffix4,PermutedPrefix2,PermutedPrefix1,PermutedRoot,PermutedSuffix1,PermutedSuffix2,PermutedSuffix3,PermutedSuffix4,Frequency,n_affixes,Example1,Example2
,in,,,,,,,ni,,,,,,2402388,1,inactive,infertile
,re,,,,,,,er,,,,,,2175658,1,repaint,reread
,pro,,,,,,,orp,,,,,,1206582,1,procreate,proceed
,im,,,,,,,mi,,,,,,610746,1,impossible,impracticle
,ex,,,,,,,xe,,,,,,581016,1,ex-president,exhale
,de,,,,,,,ed,,,,,,559431,1,devalue,debug
,un,,,,,,,nu,,,,,,538545,1,unreal,unread
,dis,,,,,,,sid,,,,,,452605,1,disappear,disagree
,inter,,,,,,,retin,,,,,,343106,1,international,interactive
,uni,,,,,,,inu,,,,,,324253,1,unicycle,unilateral
,sub,,,,,,,bus,,,,,,323358,1,submarine,substandard
,out,,,,,,,otu,,,,,,215014,1,outsmart,outshine
,pre,,,,,,,erp,,,,,,155948,1,preview,precede
,over,,,,,,,revo,,,,,,151096,1,overpromise,overcook
,mis,,,,,,,sim,,,,,,103160,1,misuse,misinterpret
,en,,,,,,,ne,,,,,,331620,1,enslave,entangle
,up,,,,,,,pu,,,,,,208046,1,upstage,upgrade
