Prefix1,Suffix1,PermutedPrefix1,PermutedSuffix1,Frequency,Example1,Example2
in,ly,ni,yl,99,inefficiently,inelegantly
in,ate,ni,eta,99,invalidate,invigorate
in,ity,ni,yti,99,invincability,invisibility
in,ness,ni,ssen,99,indistinctness,
in,able,ni,elba,99,indistructable,indistinctuable
in,ion,ni,oni,99,infliction,
re,ize,er,zie,99,remilitarize,reorganize
re,al,er,la,99,removal,renewal
re,able,er,elba,99,retractable,reversable
re,ment,er,nemt,99,replacement,resettlement
re,ate,er,eta,99,rejuvenate,reortientate
pro,ion,orp,oni,99,procreation,proscription
im,ity,mi,yti,99,impossibility,imparticality
im,ly,mi,yl,99,impossibly,impractically
im,ness,mi,ssen,99,impoliteness,impracticelness
im,ion,mi,oni,99,immersion,immigration
de,ize,ed,ezi,99,deodorize,desensitize
de,ate,ed,eta,99,depopulate,devalueate
de,er,ed,re,99,debunker,decaner
un,ful,nu,luf,99,unlawful,unmindful
un,ly,nu,yl,99,uncertainly,uncannily
un,ness,nu,ssen,99,uncertainness,unconsciousness
un,ious,nu,ison,99,unmalicious,unmeritorious
un,al,nu,la,99,unnatural,unofficial
un,able,nu,elba,99,unmatchable,unmentionable
dis,ity,sid,yti,99,disloyalty,disparity
dis,ly,sid,yl,99,disorderly,disapprovingly
dis,ure,sid,eru,99,displeasure,disclosure
dis,ion,sid,oni,99,disruption,dispossession
dis,ful,sid,luf,99,disrespectful,distasteful
dis,ment,sid,nemt,99,disagreement,disappointment
dis,er,sid,re,99,disbeliever,disapprover
dis,al,sid,la,99,disapproval,disposal
uni,ly,inu,yl,99,uniformly,universally
sub,able,bus,elba,99,submersible,
out,ious,otu,isou,99,outrageous,
over,ive,vero,evi,99,overactive,overprotective
mis,ion,sim,oni,99,misapplication,misinterpretation
mis,ment,sim,nemt,99,misjudgement,mismanagement
mis,ful,sim,luf,99,mistrustful,
mis,ance,sim,ecna,99,misalliance,
mis,our,sim,rou,99,misbehaviour,misdemeanour
non,ic,onn,ci,99,nonspecific,nonsystemic
non,ive,onn,evi,99,nonassertive,nonaggressive
non,al,onn,la,99,nonracial,noncommital
en,ment,ne,nemt,99,enjoyment,enlistment
up,er,pu,re,99,upholder,upholster
ab,al,ba,la,99,abnormal,
