Prefix1,Suffix1,PermutedPrefix1,PermutedSuffix1,Example1,Example2
in,able,ni,elba,indistructable,indistinctuable
re,able,er,elba,retractable,reversable
re,ment,er,nemt,replacement,resettlement
pro,ion,orp,oni,procreation,proscription
in,ness,mi,sens,impoliteness,impracticelness
un,ness,nu,sens,uncertainness,unconsciousness
un,ious,nu,ison,unmalicious,unmeritorious
un,able,nu,elba,unmatchable,unmentionable
dis,ure,sid,eru,displeasure,disclosure
dis,ion,sid,oni,disruption,dispossession
dis,ful,sid,ulf,disrespectful,distasteful
over,ive,vero,evi,overactive,overprotective
mis,ion,sim,oni,misapplication,misinterpretation
mis,ment,sim,nemt,misjudgement,mismanagement
mis,our,sim,oru,misbehaviour,misdemeanour
en,ment,ne,nemt,enjoyment,enlistment
dis,ment,sid,nemt,disagreement,disappointment
mis,ion,sim,oni,misapplication,misinterpretation
