Prefix2,Prefix1,Suffix1,Suffix2,Suffix3,Suffix4,Frequency,n_affixes,Example1,Example2
,un,ion,al,,,99,3,unrelational,unpresentational
,un,al,ly,,,99,3,unnaturally,unspecifically
,un,ic,al,,,99,3,unalgebraical,untherapeutical
,un,ment,al,,,99,3,undevelopmental,untemperamental
,un,ious,ly,,,99,3,unprecariously,unmaliciously
,un,ful,ly,,,99,3,uneventfully,unfaithfully
,un,li,ness,,,99,3,unfriendliness,unsteadiness
,un,ist,ic,,,99,3,unnaturalistic,unritualistic
,un,ious,ness,,,99,3,unrebelliousness,unprecariousness
,un,ful,ness,,,99,3,untactfulness,unthankfulness
,un,abl,ity,,,99,3,undesirability,unreadability
,un,ious,ly,,,99,3,unceremoniously,ungraciously
,re,ive,ly,,,99,3,restrictively,retentively
,re,ive,ness,,,99,3,restrictiveness,repressiveness
,re,at,ion,,,99,3,revaluation,
,re,ful,ly,,,99,3,revengefully,
,re,ful,ness,,,99,3,revengefulness,
,ab,al,ly,,,99,3,abnormal,
,ab,al,ity,,,99,3,abnormality,
,re,ish,ment,,,99,3,replenishment,
,re,ive,ate,,,99,3,reactivate,
,pro,ion,ist,,,99,3,prohibitionist,projectionist
,pro,ive,ly,,,99,3,prohibitively,
,pro,at,ion,,,99,3,prolongation,
,pro,ion,al,,,99,3,proposional,
,pre,ive,ly,,,99,3,predictively,prescriptively
,pre,abl,ly,,,99,3,predictably,
,out,ish,ly,,,99,3,outlandishly,
,out,ish,ness,,,99,3,outlandishness,
,out,ious,ly,,,99,3,outrageiously,
,out,en,ly,,,99,3,outspokenly,
,out,en,ness,,,99,3,outspokenness,
,non,ive,ly,,,99,3,nonasserively,nonaggressively
,mis,at,ion,,,99,3,misquotations,
,mis,ful,ly,,,99,3,mistrustfully,
,mis,ful,ness,,,99,3,mistrustfullness,
,in,at,ion,,,99,3,intimidation,invalidation
,in,ant,ly,,,99,3,indifferantly,insistently
,in,abil,ity,,,99,3,indispensability,inelectability
,in,ious,ly,,,99,3,inglouriously,injudiciously
,in,ive,ness,,,99,3,inoffensiveness,instinctiveness
,in,ive,ly,,,99,3,inoffensively,insensitively
,in,iv,ate,,,99,3,inactivate, 
,dis,ful,ly,,,99,3,disrespectfully,distastefully
,dis,ive,ly,,,99,3,disruptively,discursively
,dis,ful,ness,,,99,3,distastfulness,
,dis,ious,ly,,,99,3,disadvantageously,
,dis,able,ness,,,99,3,disagreeableness,dishonorableness
