Prefix2,Prefix1,Root,Suffix1,Suffix2,Suffix3,Suffix4,Frequency,n_affixes,Example1,Example2
,,r,ion,,,,6530204,1,celebration,decision
,,r,al,,,,4704731,1,seasonal,theatrical
,,r,ly,,,,3857999,1,friendly,softly
,,r,ate,,,,2569118,1,collaborate,eradicate
,,r,ant,,,,1534593,1,reliant,defiant
,,r,ic,,,,1472797,1,heroic,iconic
,,r,ment,,,,1423689,1,argument,enchantment
,,r,able,,,,1227992,1,preventable,adaptable
,,r,ance,,,,977837,1,tolerance,clearance
,,r,or,,,,937614,1,translator,investigator
,,r,ious,,,,450833,1,gracious,delicious
,,r,ful,,,,429561,1,graceful,gracious
,,r,ist,,,,382916,1,scientist,sexist
,,r,ism,,,,218200,1,escapism,scepticism
,,r,ness,,,,181553,1,sickness,highness
,,r,less,,,,158354,1,homeless,hopeless
