Word,Frequency,Root,Prefix,Suffix,Condition,Wordlength
reconnaissances,682,reconnaissances,,,r,15
procrastinating,631,procrastinating,,,r,15
phantasmagorias,278,phantasmagorias,,,r,15
parthenogenesis,70,parthenogenesis,,,r,15
transmogrifying,58,transmogrifying,,,r,15
flibbertigibbet,5,flibbertigibbet,,,r,15
understandings,161201,understandings,,,r,14
Philadelphia's,12400,Philadelphia's,,,r,14
distinguishing,11500,distinguishing,,,r,14
congratulating,5012,congratulating,,,r,14
Mephistopheles,1047,Mephistopheles,,,r,14
counterfeiting,1030,counterfeiting,,,r,14
Constantinople,764,Constantinople,,,r,14
reconnaissance,682,reconnaissance,,,r,14
procrastinated,631,procrastinated,,,r,14
procrastinates,631,procrastinates,,,r,14
Fredericksburg,324,Fredericksburg,,,r,14
phantasmagoria,278,phantasmagoria,,,r,14
hermaphrodites,266,hermaphrodites,,,r,14
intelligentsia,252,intelligentsia,,,r,14
flabbergasting,208,flabbergasting,,,r,14
conquistadores,152,conquistadores,,,r,14
baccalaureates,145,baccalaureates,,,r,14
knickerbockers,122,knickerbockers,,,r,14
chrysanthemums,108,chrysanthemums,,,r,14
rapprochements,76,rapprochements,,,r,14
gerrymandering,72,gerrymandering,,,r,14
transmogrified,58,transmogrified,,,r,14
transmogrifies,58,transmogrifies,,,r,14
conjunctivitis,50,conjunctivitis,,,r,14
pharmacopoeias,43,pharmacopoeias,,,r,14
bougainvilleas,18,bougainvilleas,,,r,14
animadversions,4,animadversions,,,r,14
mesdemoiselles,0,mesdemoiselles,,,r,14
understanding,161201,understanding,,,r,13
investigating,40443,investigating,,,r,13
participating,39621,participating,,,r,13
experimenting,37778,experimenting,,,r,13
instrumenting,29989,instrumenting,,,r,13
corresponding,24891,corresponding,,,r,13
accomplishing,19363,accomplishing,,,r,13
distinguished,11500,distinguished,,,r,13
distinguishes,11500,distinguishes,,,r,13
Massachusetts,9617,Massachusetts,,,r,13
accommodating,6778,accommodating,,,r,13
miscellaneous,6697,miscellaneous,,,r,13
anniversaries,6483,anniversaries,,,r,13
merchandising,6258,merchandising,,,r,13
intermediates,5931,intermediates,,,r,13
complimenting,5237,complimenting,,,r,13
entrepreneurs,5122,entrepreneurs,,,r,13
Connecticut's,5036,Connecticut's,,,r,13
congratulates,5012,congratulates,,,r,13
congratulated,5012,congratulated,,,r,13
contemplating,3676,contemplating,,,r,13
contaminating,3565,contaminating,,,r,13
deteriorating,2815,deteriorating,,,r,13
Newfoundlands,2454,Newfoundlands,,,r,13
instantaneous,2031,instantaneous,,,r,13
proliferating,1921,proliferating,,,r,13
dissertations,1886,dissertations,,,r,13
Mediterranean,1756,Mediterranean,,,r,13
reverberating,1629,reverberating,,,r,13
discrepancies,1599,discrepancies,,,r,13
condescending,1361,condescending,,,r,13
extinguishing,1319,extinguishing,,,r,13
beneficiaries,1243,beneficiaries,,,r,13
corroborating,1179,corroborating,,,r,13
concatenating,1153,concatenating,,,r,13
superstitions,1151,superstitions,,,r,13
kindergartens,1144,kindergartens,,,r,13
counterfeited,1030,counterfeited,,,r,13
relinquishing,860,relinquishing,,,r,13
concertinaing,818,concertinaing,,,r,13
nomenclatures,704,nomenclatures,,,r,13
