Word,Prefix1,Prefix2,Root,Frequency,wordlength
remisalign,re,mis,align,99,10
rediscover,re,dis,cover,99,10
redeflate,re,de,flate,99,9
reoutsmart,re,out,smart,99,10
reovercook,re,over,cook,99,10
reinforce,re,in,force,99,9
premistake,pre,mis,take,99,10
predispose,pre,dis,pose,99,10
reimburse,re,im,burse,99,9
reinstate,re,in,state,99,9
disembark,dis,em,bark,99,9
remistake,re,mis,take,99,9
rediscourage,re,dis,courage,99,12
redehydrate,re,de,hydrate,99,11
reoutsell,re,out,sell,99,9
reovercome,re,over,come,99,10
reinstate,re,in,state,99,9
premisuse,pre,mis,use,99,9
predisambiguate,pre,dis,ambiguate,99,15
reimpose,re,im,pose,99,8
reinforce,re,in,force,99,9
disembody,dis,em,body,99,9
underexpose,under,ex,pose,99,11
overexpose,over,ex,pose,99,10
redistribute,re,dis,tribute,99,12
misreport,mis,re,port,99,9
reimport,re,im,port,99,8
indissoluble,in,dis,soluble,99,12
disinherit,dis,in,herit,99,10
disembowel,dis,em,bowel,99,10
disenfranchise,dis,en,franchise,99,14
disentangle,dis,en,tangle,99,11
undisguise,un,dis,guise,99,10
undisclose,un,dis,close,99,10
unpremeditate,un,pre,medidate,99,13
uninform,un,in,form,99,8
redeescalate,re,de,escalate,99,12
reoutperform,re,out,perform,99,12
reoutmaneuver,re,out,maneuver,99,13
redisappear,re,dis,appear,99,11
redisagree,re,dis,agree,99,10
redisapprove,re,dis,approve,99,12
redisconnect,re,dis,connect,99,12
