Word,Prefix2,Prefix1,Root,Suffix1,Frequency,wordlength
remisalignment,re,mis,align,ment,99,14
redeflatement,re,de,flate,ment,99,13
reinstatement,re,in,state,ment,99,13
reinsurance,re,in,sur,ance,99,11
indisposition,in,dis,posit,ion,99,13
indissolubility,in,dis,solubil,ity,99,15
disinfectant,dis,in,fect,ant,99,12
disinflation,dis,in,flat,ion,99,12
unmistakable,un,mis,tak,able,99,12
reimbursable,re,im,burs,able,99,12
reimbursment,re,im,burs,ment,99,12
reinforceable,re,in,force,able,99,13
remisjudgement,re,mis,judge,ment,99,14
redehydratment,re,de,hydrat,ment,99,14
reinforcement,re,in,force,ment,99,13
reinstateable,re,im,state,able,99,13
reinstatement,re,im,state,ment,99,13
reinstatable,re,in,state,able,99,12
predisapproval,pre,dis,approv,al,99,14
