Word,Prefix1,Root,Wordlength
overpromise,over,promise,11
impractical,im,practical,11
transfigure,trans,figure,11
underground,under,ground,11
discontinue,dis,continue,11
enfranchise,en,franchise,11
outdistance,out,distance,11
subcontract,sub,contract,11
antifreeze,anti,freeze,11
substandard,sub,standard,11
impossible,im,possible,10
disbelieve,dis,believe,10
misfortune,mis,fortune,10
rediscover,re,discover,10
understate,under,state,10
disappoint,dis,appoint,10
disconnect,dis,connect,10
discourage,dis,courage,10
disapprove,dis,apporve,10
outperform,out,perform,10
