Word,Prefix1,Root,Suffix1,Frequency,wordlength
disappointment,dis,appoint,ment,,14
overprotective,over,protect,ive,,14
inefficiently,in,efficient,ly,,13
impossibility,im,possibil,ity,,13
uncertainness,un,certain,ness,,13
disrespectful,dis,respect,ful,,13
unmentionable,un,mention,able,,13
dispossession,dis,possess,ion,,13
mismanagement,mis,manage,ment,,13
nonaggressive,non,aggress,ive,,13
irredeemable,ir,redeem,able,,12
remilitarize,re,militar,ize,,12
impoliteness,im,polite,ness,,12
disagreement,dis,agree,ment,,12
misjudgement,mis,judge,ment,,12
misbehaviour,mis,behav,iour,,12
nonassertive,non,assert,ive,,12
invisibility,in,visibil,ity,,12
resettlement,re,settle,ment,,12
proscription,pro,scrip,tion,,12
misdemeanour,mis,demean,our,,12
retractable,re,tract,able,,11
replacement,re,place,ment,,11
procreation,pro,creat,ion,,11
uncertainly,un,certain,ly,,11
unmalicious,un,malic,ious,,11
unmatchable,un,match,able,,11
displeasure,dis,pleas,ure,,11
disbeliever,dis,believ,er,,11
disapproval,dis,approv,al,,11
nonspecific,non,specif,ic,,11
inelegantly,in,elegant,ly,,11
desensitize,de,sens,itize,,11
distasteful,dis,taste,ful,,11
disapprover,dis,approv,er,,11
universally,uni,versal,ly,,11
nonsystemic,non,system,ic,,11
noncommital,non,commit,al,,11
ungraceful,un,grace,ful,,10
unfriendly,un,friend,ly,,10
uneventful,un,event,ful,,10
invalidate,in,valid,ate,,10
rejuvenate,re,juven,ate,,10
impossibly,im,possib,ly,,10
depopulate,de,popul,ate,,10
disloyalty,dis,local,ity,,10
disorderly,dis,order,ly,,10
disruption,dis,rupt,ion,,10
overactive,over,act,ive,,10
invigorate,in,vigor,ate,,10
reversable,re,vers,able,,10
disclosure,dis,clos,ure,,10
enlistment,en,list,ment,,10
immersion,im,mers,ion,,9
deodorize,de,odor,ize,,9
unnatural,un,natur,al,,9
uniformly,uni,form,ly,,9
nonracial,non,raci,al,,9
enjoyment,en,joy,ment,,9
unmindful,un,mind,ful,,9
unlawful,un,law,ful,,8
disposal,dis,pos,al,,8
removal,re,mov,al,,7
renewal,re,new,al,,7
