Word,Prefix1,Root,Suffix1,Suffix2,Frequency,wordlength
unrelational,un,relat,ion,al,99,12
unnaturally,un,natur,al,ly,99,11
unalgebraical,un,algebra,ic,al,99,13
undevelopmental,un,develop,ment,al,99,15
uneventfully,un,event,ful,ly,99,12
unfriendliness,un,friend,li,ness,99,14
unrebelliousness,un,rebell,ious,ness,99,16
untactfulness,un,tact,ful,ness,99,13
undesirability,un,desir,abil,ity,99,14
unceremoniously,un,ceremon,ious,ly,99,15
restrictively,re,strict,ive,ly,99,13
restrictiveness,re,strict,ive,ness,99,15
revaluation,re,valu,at,ion,99,11
abnormally,ab,norm,al,ly,99,10
abnormality,ab,norm,al,ity,99,11
reactivate,re,act,iv,ate,99,10
prolongation,pro,long,at,ion,99,12
outlandishly,out,land,ish,ly,99,12
outlandishness,out,land,ish,ness,99,14
outrageiously,out,rage,ious,ly,99,13
nonasserively,non,assert,ive,ly,99,13
misquotations,mis,quot,at,ion,99,13
mistrustfully,mis,trust,ful,ly,99,13
mistrustfullness,mis,trust,ful,ness,99,16
intimidation,in,timid,at,ion,99,12
indifferantly,in,differ,ant,ly,99,13
indispensability,in,dispens,abil,ity,99,16
inglouriously,in,glor,ious,ly,99,13
inoffensiveness,in,offens,ive,ness,99,15
inoffensively,in,offens,ive,ly,99,13
inactivate,in,act,iv,ate,99,10
disrespectfully,dis,respect,ful,ly,99,15
distastefulness,dis,taste,ful,ness,99,15
disadvantageously,dis,advantag,eous,ly,99,17
disagreeableness,dis,agree,able,ness,99,16
untherapeutical,un,therapeut,ic,al,99,15
untemperamental,un,tempera,ment,al,99,15
unmaliciously,un,mal,ious,ly,99,13
unfaithfully,un,faith,ful,ly,99,12
unritualistic,un,ritual,ist,ic,99,13
unthankfulness,un,thank,ful,ness,99,14
unreadability,un,read,abil,ity,99,13
ungraciously,un,grac,ious,ly,99,12
prescriptively,pre,script,ive,ly,99,14
nonaggressively,non,aggress,ive,ly,99,15
invalidation,in,valid,at,ion,99,12
inescapability,in,escap,abil,ity,99,14
insensitively,in,sensit,ive,ly,99,13
distastefully,dis,taste,ful,ly,99,13
dishonorableness,dis,honor,able,ness,99,16
