Word,Wordlength,Frequency,PercentileFrequency
mademoiselle,12,417,8.108108108108109
encylopedia,12,81,4.054054054054054
hippopotamus,12,28,2.4324324324324325
frankincense,12,12,0.5405405405405406
flabbergast,11,208,5.405405405405405
catastrophe,11,126,4.324324324324325
marshmallow,11,77,3.783783783783784
abracadabra,11,73,3.5135135135135136
caterpillar,11,57,3.2432432432432434
clandestine,11,45,2.9729729729729732
bourgeoisie,11,15,1.0810810810810811
sagittarius,11,14,0.8108108108108109
experience,10,297837,91.08108108108108
understand,10,24605,36.48648648648649
restaurant,10,13719,30.810810810810814
discipline,10,13680,30.540540540540544
subsequent,10,12120,28.91891891891892
ingredient,10,6898,21.35135135135135
experience,10,3088,16.216216216216218
camouflage,10,2619,15.135135135135137
silhouette,10,2395,13.783783783783784
masquerade,10,2115,12.972972972972974
leprechaun,10,1350,11.621621621621623
pedestrian,10,1347,11.351351351351353
repertoire,10,1126,10.27027027027027
quarantine,10,972,9.72972972972973
rendezvous,10,771,9.45945945945946
chimpanzee,10,739,9.18918918918919
caricature,10,694,8.91891891891892
salmonella,10,632,8.64864864864865
accomplice,10,501,8.378378378378379
palindrome,10,412,7.837837837837839
prostitute,10,385,7.567567567567568
chinchilla,10,351,7.297297297297297
hallelujah,10,319,7.027027027027027
guillotine,10,280,6.756756756756757
cellophane,10,256,6.486486486486487
eucalyptus,10,237,6.216216216216217
phenomenon,10,234,5.9459459459459465
trampoline,10,219,5.675675675675676
crustacean,10,197,5.135135135135135
tambourine,10,193,4.864864864864865
propaganda,10,159,4.594594594594595
rhinoceros,10,30,2.7027027027027026
silhouette,10,26,2.027027027027027
cantaloupe,10,26,2.027027027027027
hieroglyph,10,18,1.6216216216216217
somersault,10,16,1.3513513513513513
shenanigan,10,7,0.2702702702702703
difficult,9,70241,50.54054054054054
determine,9,60442,46.75675675675676
principle,9,30693,39.18918918918919
architect,9,30688,38.91891891891892
substance,9,29594,38.37837837837838
satellite,9,19083,34.5945945945946
complaint,9,17898,34.32432432432432
intellect,9,17294,33.513513513513516
cartridge,9,12878,30.0
pronounce,9,12358,29.18918918918919
marijuana,9,10768,27.027027027027028
programme,9,9107,24.054054054054056
privilege,9,8437,23.783783783783786
embarrass,9,8394,23.513513513513516
holocaust,9,7056,21.891891891891895
catalogue,9,6949,21.62162162162162
colleague,9,6815,21.08108108108108
hurricane,9,5869,19.45945945945946
artillery,9,5024,18.64864864864865
valentine,9,4359,17.56756756756757
neighbour,9,4163,17.2972972972973
threshold,9,3365,16.756756756756758
versatile,9,2703,15.675675675675677
boomerang,9,2663,15.405405405405407
apparatus,9,2576,14.864864864864865
boulevard,9,2551,14.594594594594595
blaspheme,9,2528,14.324324324324325
etiquette,9,2411,14.054054054054054
reservoir,9,2212,13.513513513513514
chameleon,9,2161,13.243243243243244
avalanche,9,1753,12.432432432432433
champaign,9,1638,12.162162162162163
champagne,9,1424,11.891891891891893
complete,8,197347,84.05405405405406
standard,8,148681,72.70270270270271
industry,8,90514,55.94594594594595
purchase,8,71764,51.08108108108108
announce,8,63224,48.91891891891892
absolute,8,54752,44.86486486486487
surprise,8,52522,44.32432432432433
approach,8,51314,43.78378378378379
straight,8,49770,43.513513513513516
property,8,44190,42.432432432432435
platform,8,42709,42.16216216216216
schedule,8,38913,41.62162162162162
transmit,8,35687,41.351351351351354
strength,8,33552,39.72972972972973
protocol,8,31836,39.45945945945946
convince,8,30130,38.64864864864865
campaign,8,29165,38.10810810810811
parallel,8,28529,37.83783783783784
complain,8,28433,37.56756756756757
exercise,8,28283,37.2972972972973
attitude,8,26046,37.02702702702703
conflict,8,25613,36.75675675675676
sentence,8,23466,36.21621621621622
converse,8,23365,35.94594594594595
medicine,8,21940,35.67567567567568
district,8,21698,35.40540540540541
neighbor,8,21533,35.13513513513514
distinct,8,20481,34.86486486486487
struggle,8,17425,34.054054054054056
envelope,8,15552,31.891891891891895
tomorrow,8,15421,31.621621621621625
thorough,8,12802,29.72972972972973
treasure,8,12702,29.45945945945946
artifice,8,11672,28.64864864864865
analogue,8,11372,28.10810810810811
province,8,11145,27.83783783783784
criteria,8,11055,27.56756756756757
paradise,8,11038,27.2972972972973
currency,8,10751,26.756756756756758
contrast,8,10700,26.486486486486488
calendar,8,10659,26.216216216216218
portrait,8,10404,25.945945945945947
emphasis,8,10265,25.675675675675677
marshall,8,10256,25.405405405405407
molecule,8,10003,25.135135135135137
stimulus,8,9750,24.864864864864867
template,8,9465,24.594594594594597
cassette,8,9276,24.324324324324326
ceremony,8,8164,23.243243243243246
concrete,8,8161,22.972972972972975
persuade,8,7463,22.702702702702705
syndrome,8,7276,22.432432432432435
pinnacle,8,6796,20.81081081081081
suspense,8,6585,20.54054054054054
parasite,8,6262,20.27027027027027
instinct,8,6251,20.0
marathon,8,6226,19.72972972972973
mortgage,8,5559,19.18918918918919
