Prefix1,Suffix1,PermutedPrefix1,PermutedSuffix1,Example1,Example2
dé,ment,éd,nemt,debarquement,débordement
dé,able,éd,albe,décapotable,défavorable
dé,isme,éd,eism,défaitisme,
dé,iste,éd,eist,défaitiste,
dé,ance,éd,acne,désobéissance,
en,ment,ne,nemt,embarquement,emboîtement
multi,el,limtu,le,multiculturel,
pour,ant,poru,tan,poursuivant,
pré,aire,rép,arie,préliminaire,
pro,ment,orp,nemt,prolongement,
re,ment,er,nemt,réabonnement,reboisment
sur,ance,rus,acne,surabondance,surintendance
sur,ant,rus,tan,survivant,
sur,ment,rus,nemt,survêtement,
in,able,ni,albe,illisible,imbattable
in,isme,ni,eism,immoralisme,
in,ment,ni,nemt,impatiemment,incosciemment
in,ance,ni,acne,indépendance,insouciance
in,ence,ni,ecne,indifférence,inexistence
in,aire,ni,arie,involontaire,
pré,ique,rép,equi,préhistorique,
pré,ment,rép,nemt,prélèvement,prématurément
pré,ion,rép,oin,présélection,préméditation
