Suffix1,Suffix2,Suffix3,PermutedSuffix1,PermutedSuffix2,PermutedSuffix3,Example1,Example2
if,ique,ment,fi,equi,nemt,scientifiquement,
al,isat,ion,la,tias,oin,rationalisation,sacralisation
ment,al,ité,nemt,la,tié,sentimentalité,
or,isat,ion,ro,tias,oin,sonorisation,
an,isat,ion,na,tias,oin,américanisation,
or,ial,iste,ro,ila,eist,éditorialiste,
ion,elle,ment,oin,elel,nemt,exceptionellement,émotionnellement
ent,ial,iste,ten,ila,eist,existentialiste,
ar,ist,ique,ra,sit,equi,scénaristique,
ionn,al,isme,inno,la,isem,professionnalisme,
