Word,Prefix1,Root,Wordlength,Frequency
hyperespace,hyper,espace,11,1.89
contretemps,contre,temps,11,1.43
antichambre,anti,chambre,11,0.89
préhistoire,pré,histoire,11,0.73
contrefaçon,contre,façon,11,0.7
contrepoids,contre,poids,11,0.56
contrepoint,contre,piont,11,0.33
extralucide,extra,lucide,11,0.22
impossible,im,possible,10,158.61
découverte,dé,couverte,10,94.9
recouverte,re,couverte,10,8.19
transporte,trans,porte,10,3.56
transperce,trans,perce,10,3.5
déshonneur,dés,honneur,10,3.28
interphone,inter,phone,10,1.58
infrarouge,infra,rouge,10,1.46
inefficace,in,efficace,10,0.98
entrejambe,entre,jambe,10,0.8
contrecœur,contre,cœur,10,0.69
découvert,dé,couvert,9,50.67
désespoir,dés,espoir,9,10.62
indiscret,in,discret,9,4.98
réconfort,ré,confort,9,4.71
recouvert,re,couvert,9,3.1
désaccord,dés,accord,9,3.02
décompose,dé,compose,9,2.11
surcharge,sur,charge,9,1.79
incorrect,in,correct,9,1.67
infortune,in,fortune,9,1.3
