Word,Prefix1,Root,Suffix1,Wordlength,Frequency
enterrement,en,terre,ment,11,27.33
disparition,dis,parit,ion,11,16.33
indépendant,in,dépend,ant,11,11.49
désagréable,dés,agré,able,11,10.92
emplacement,em,place,ment,11,6.9
impitoyable,im,pitoy,able,11,5.34
inoubliable,in,oubli,able,11,5.07
déplacement,dé,place,ment,11,5.02
indifférent,in,différ,ent,11,4.95
intolérable,in,tolér,able,11,3.74
incroyable,in,croy,able,10,95.79
inhabituel,in,habitu,el,10,8.87
enlèvement,en,lève,ment,10,7.8
inoffensif,in,offens,if,10,7.78
inévitable,in,évit,able,10,7.44
redoutable,re,doiut,able,10,5.94
insouciant,in,souci,ant,10,3.21
irrégulier,ir,régul,ier,10,2.95
impensable,im,pens,able,10,2.91
imbattable,im,batt,able,10,1.86
assurance,as,sur,ance,9,29.8
dégoûtant,dé,goût,ant,9,20.53
invisible,in,vis,ible,9,17.28
détention,dé,tent,ion,9,6.85
injustice,in,just,ice,9,6.59
inaudible,in,aud,ible,9,5.34
emmerdeur,em,merd,eur,9,5.17
emballage,em,ball,age,9,4.6
imprudent,im,prud,ent,9,4.36
incertain,in,cert,ain,9,4.24
