Word,Root,Suffix1,Wordlength,Frequency
vraiment,vrai,ment,8,968.57
sûrement,sûre,ment,8,133.67
sécurité,sécur,ité,8,112.69
étranger,étrang,er,8,90.69
français,franç,ais,8,82.55
décision,décis,ion,8,66.48
quartier,quart,ier,8,65.71
position,posit,ion,8,61.73
deuxième,deux,ième,8,57.1
charmant,charm,ant,8,56.61
certain,cert,ain,7,258.94
service,serv,ice,7,187.67
mariage,mari,age,7,167.39
liberté,liber,té,7,79.54
maladie,malad,ie,7,66.04
urgence,urg,ence,7,53.02
terrain,terr,ain,7,52.58
réalité,réal,ité,7,52.15
justice,just,ice,7,50.96
artiste,art,ise,7,46.82
normal,norm,al,6,138.28
génial,géni,al,6,134.47
soirée,soir,ée,6,102.38
sortie,sort,ie,6,80.13
acteur,act,eur,6,74.76
action,act,ion,6,69.56
amitié,ami,tié,6,36.69
joueur,jou,eur,6,32.75
mortel,mort,el,6,31.23
fierté,fier,té,6,13.56
postal,post,al,6,8.81
tueur,tu,eur,5,70.31
malin,mal,in,5,58.02
idéal,idé,al,5,33.06
final,fin,al,5,26
usage,us,age,5,14.45
hâtif,hât,if,5,2.43
nasal,nas,al,5,1.27
gaité,gai,té,5,0.55
mural,mur,al,5,0.28
usité,us,ité,5,0.01
