Word,Root,Suffix1,Wordlength,Frequency
intéressant,intéress,ant,11,85.79
intelligent,intellig,ent,11,57.52
fantastique,fantast,ique,11,35.96
journaliste,journal,iste,11,35.29
franchement,franche,ment,11,35.09
directement,directe,ment,11,26.73
instruction,instruct,ion,11,22.37
célibataire,célibat,aire,11,21.17
mystérieuse,mystér,ieuse,11,19.61
conséquence,conséq,ence,11,19.27
exactement,exacte,ment,10,144.62
dangereuse,danger,euse,10,101.84
simplement,simple,ment,10,84.76
prisonnier,prisonn,ier,10,57.71
différence,différ,ence,10,55.88
nourriture,nourrit,ure,10,44.86
personnage,personn,age,10,31.62
traitement,traite,ment,10,29.23
totalement,totale,ment,10,28.62
électrique,électr,ique,10,28.57
seulement,seule,ment,9,279.25
différent,différ,ent,9,141.59
amoureuse,amour,euse,9,125.22
américain,améric,ain,9,109.56
personnel,personn,el,9,83.67
sentiment,senti,ment,9,75.73
contraire,contr,aire,9,69.03
justement,juste,ment,9,62.08
troisième,trois,ième,9,45.02
également,égale,ment,9,32.19
