item,Root,Suffix1,Suffix2,Wordlength,Frequency
normalement,norm,al,ment,11,20.37
électricité,électr,ic,ité,11,15.76
visiblement,vis,ible,ment,11,6.94
sensibilité,sens,ibil,ité,11,5.72
exclusivité,exclus,iv,ité,11,3.06
nationalité,nation,al,ité,11,2.77
agressivité,agress,iv,ité,11,2.54
supériorité,supér,ior,ité,11,2
criminalité,crimin,al,ité,11,1.91
typiquement,typ,ique,ment,11,1.86
finalement,fin,al,ment,10,45.89
artistique,art,ist,ique,10,10
socialisme,soci,al,isme,10,4.9
émotionnel,émot,ion,nel,10,4.72
visibilité,vis,ibil,ité,10,1.27
activement,act,ive,ment,10,1.18
sensualité,sensu,al,ité,10,1.14
royalement,roy,ale,ment,10,0.83
neutralité,neutr,al,ité,10,0.46
malicieuse,mal,ice,ieuse,10,0.4
sacrifice,sacr,if,ice,9,23.11
sexualité,sex,ual,ité,9,6.02
formalité,form,al,ité,9,3.77
brutalité,brut,al,ité,9,2.87
captivité,capt,iv,ité,9,2.15
idéaliste,idé,al,iste,9,2.09
mortalité,mort,al,ité,9,1.51
pesanteur,pes,ant,eur,9,1.12
idéalisme,idé,al,isme,9,0.98
éditorial,édit,or,ial,9,0.5
passager,pass,ag,er,8,24.06
festival,fest,iv,al,8,7.51
tonalité,ton,al,ité,8,1.26
vitalité,vit,al,ité,8,1.08
finalité,fin,al,ité,8,0.46
sonorité,son,or,ité,8,0.26
nativité,nat,iv,ité,8,0.14
orbital,orb,it,al,7,0.28
