Prefix3,Prefix2,Prefix1,Frequency,Condition,n_affixes
,,mono,27262,p,1
,,ty,1562,p,1
,,juxta,1909,p,1
,,auto,20321,p,1
,,ex,581016,p,1
,,sym,14606,p,1
,,mis,103160,p,1
,,vas,417,p,1
,,al,113561,p,1
,,er,1286,p,1
,,pre,155948,p,1
,,over,151096,p,1
,,<de<,559431,p,1
,,<cine<,112,p,1
,,<at<,201,p,1
,,<dec<,151,p,1
,,<cryo<,9,p,1
,,<pur<,5287,p,1
,,<epi<,4126,p,1
,,<e<,397964,p,1
,,<non<,16866,p,1
,,<out<,215014,p,1
,,<be<,59452,p,1
,,<min<,89,p,1
,,<god<,400,p,1
,,<syn<,33723,p,1
,,<off<,15185,p,1
,,<poly<,14921,p,1
,,<cross<,10249,p,1
,,<quadro<,18,p,1
,,<o<,68951,p,1
,,<pros<,121,p,1
,,<es<,957,p,1
,,<fore<,53054,p,1
,,<ob<,170778,p,1
,,<ante<,185,p,1
,,<inter<,343106,p,1
,,<re<,2175658,p,1
,,<quad<,498,p,1
,,<in<,2402388,p,1
,,<retro<,3569,p,1
,,<under<,78888,p,1
,,<deca<,0,p,1
,,<mid<,22480,p,1
,,<ed<,2836,p,1
,,<on<,47974,p,1
,,<muli<,1848,p,1
,,<dys<,1146,p,1
,,<sur<,80598,p,1
,,<sub<,323358,p,1
,,<centi<,3205,p,1
,,<cata<,19,p,1
,,<eu<,2603,p,1
,,<intro<,3,p,1
,,<steen<,0,p,1
,,<ec<,1718,p,1
,,<after<,14290,p,1
,,<infra<,8109,p,1
,,<quint<,600,p,1
,,<dia<,35236,p,1
,,<con<,57,p,1
,,<com<,541,p,1
,,<pro<,1206582,p,1
,,<pos<,275,p,1
,,<see<,48,p,1
,,<glou<,669,p,1
,,<ambi<,646,p,1
,,<ful<,10122,p,1
,,<trans<,115882,p,1
,,<di<,19621,p,1
,,<extra<,8503,p,1
,,<u<,2215,p,1
,,<aes<,3260,p,1
,,<up<,208046,p,1
,,<ant<,90,p,1
,,<half<,4251,p,1
,,<su<,116261,p,1
,,<hexa<,571,p,1
,,<macro<,616,p,1
,,<duo<,5,p,1
,,<kilo<,3440,p,1
,,<milli<,1076,p,1
,,<pan<,980,p,1
,,<semi<,7889,p,1
,,<omni<,3015,p,1
,,<post<,24538,p,1
,,<im<,610746,p,1
,,<letra<,91,p,1
,,<un<,538545,p,1
,,<so<,744,p,1
,,hepta,11,p,1
,,peri,4871,p,1
,,hemi,2403,p,1
,,by,6685,p,1
,,per,126209,p,1
,,ad,5663,p,1
,,du,11303,p,1
,,en,331620,p,1
,,sel,123,p,1
,,ab,35458,p,1
,,tetra,48,p,1
,,hypo,17644,p,1
,,melli,39,p,1
,,gor,172,p,1
,,ana,1769,p,1
,,uni,324253,p,1
,,super,39141,p,1
,,back,6410,p,1
,,sy,3936,p,1
,,micro,18576,p,1
,,circum,26013,p,1
,,co,1256048,p,1
,,ef,1259,p,1
,,septa,5,p,1
,,demi,894,p,1
,,mega,1830,p,1
,,dis,452605,p,1
,,sus,17368,p,1
,,multi,9337,p,1
,,a,1336429,p,1
,,mal,3848,p,1
,,wo,445,p,1
,,se,6736,p,1
,,down,16907,p,1
,,thru,95,p,1
,,through,32028,p,1
,,intra,58022,p,1
,,dun,575,p,1
,,pent,1047,p,1
,,tel,336,p,1
,,anti,9922,p,1
,,penta,3198,p,1
,,octo,947,p,1
,,hyper,1760,p,1
,,ultra,1805,p,1
,,meta,12295,p,1
,,sexa,0,p,1
,,bi,20132,p,1
,,tri,14176,p,1
,,pano,758,p,1
,,mac,43628,p,1
,,pel,192,p,1
