Prefix3,Prefix2,Prefix1,summed_freq,Condition,n_affixes
,,ab,1.44,p,1
,,a,2142.22,p,1
,,ad,28.56,p,1
,,en,2094.69,p,1
,,ambi,0.34,p,1
,,anté,8.42,p,1
,,co,73.72,p,1
,,com,28.22,p,1
,,con,190.18,p,1
,,dé,1752.69,p,1
,,é,320.17,p,1
,,ex,79.38,p,1
,,in,1478.96,p,1
,,mé,36.91,p,1
,,mi,38.47,p,1
,,ob,0.93,p,1
,,pan,3.89,p,1
,,pour,94.14,p,1
,,pré,209.31,p,1
,,pro,37.76,p,1
,,re,6595.02,p,1
,,as,248.66,p,1
,,rétro,1.8,p,1
,,sau,0.04,p,1
,,sous,98.6,p,1
,,soubre,0.53,p,1
,,sub,3.91,p,1
,,sur,248.22,p,1
,,sus,20.16,p,1
,,syn,28.31,p,1
,,trans,105.41,p,1
,,tri,12.74,p,1
,,ultra,0.03,p,1
,,uni,6.45,p,1
,,ver,0.98,p,1
,,vi,0.41,p,1
,,ana,1.48,p,1
,,anti,9.51,p,1
,,apo,0.17,p,1
,,arch,4.61,p,1
,,archi,0.36,p,1
,,au,87.29,p,1
,,bi,13.32,p,1
,,bis,0.03,p,1
,,contre,19.71,p,1
,,dia,19.02,p,1
,,dys,0.86,p,1
,,entre,18.95,p,1
,,épi,1.27,p,1
,,eu,1.11,p,1
,,extra,30.27,p,1
,,hémi,1,p,1
,,hyper,1.93,p,1
,,hypo,10.42,p,1
,,infra,2.06,p,1
,,inter,65.87,p,1
,,juxta,0.03,p,1
,,mono,6.88,p,1
,,par,44.24,p,1
,,para,17.47,p,1
,,pén,2.1,p,1
,,per,1.01,p,1
,,péri,6.71,p,1
,,post,0.81,p,1
,,sé,1.22,p,1
,,super,1.7,p,1
,,su,0,p,1
,,tres,0,p,1
,al,en,99,pp,2
,r,a,99,pp,2
,re,dé,99,pp,2
,re,n,99,pp,2
,sur,en,99,pp,2
,dé,a,99,pp,2
,entr,a,99,pp,2
,in,a,99,pp,2
,im,pré,99,pp,2
,in,inter,99,pp,2
,pré,re,99,pp,2
,re,m,99,pp,2
,sur,é,99,pp,2
,pré,dé,99,pp,2
,ra,s,99,pp,2
,co,a,99,pp,2
,re,in,99,pp,2
,in,sur,99,pp,2
,in,sou,99,pp,2
,in,dé,99,pp,2
,in,com,99,pp,2
,ir,ré,99,pp,2
,dé,sem,99,pp,2
,dé,con,99,pp,2
,dés,in,99,pp,2
dés,in,a,99,ppp,3
