Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
rerg,r,,,rerg,,,4,rreg,,,rreg,,,,,rarg,,,,,1,,,,,yreg,,,,,0,,
yot,r,,,yot,,,3,oyt,,,oyt,,,,,mot,,,,,0,,,,,oys,,,,,2,,
egah,r,,,egah,,,4,aegh,,,aegh,,,,,eguh,,,,,2,,,,,aeth,,,,,2,,
ehu,r,,,ehu,,,3,ueh,,,ueh,,,,,eha,,,,,2,,,,,eeh,,,,,0,,
els,r,,,els,,,3,les,,,les,,,,,ems,,,,,1,,,,,las,,,,,1,,
ehu,r,,,ehu,,,3,ueh,,,ueh,,,,,etu,,,,,1,,,,,uah,,,,,1,,
rerg,r,,,rerg,,,4,gerr,,,gerr,,,,,rirg,,,,,1,,,,,gerw,,,,,3,,
sop,r,,,sop,,,3,ops,,,ops,,,,,top,,,,,0,,,,,eps,,,,,0,,
hidad,r,,,hidad,,,5,hadid,,,hadid,,,,,hidap,,,,,4,,,,,hatid,,,,,2,,
hidad,r,,,hidad,,,5,dadih,,,dadih,,,,,hudad,,,,,1,,,,,davih,,,,,2,,
ehu,r,,,ehu,,,3,euh,,,euh,,,,,ebu,,,,,1,,,,,eeh,,,,,1,,
hidad,r,,,hidad,,,5,addih,,,addih,,,,,hidid,,,,,3,,,,,adgih,,,,,2,,
emso,r,,,emso,,,4,mseo,,,mseo,,,,,omso,,,,,0,,,,,mbeo,,,,,1,,
egah,r,,,egah,,,4,gahe,,,gahe,,,,,egas,,,,,3,,,,,hahe,,,,,0,,
yot,r,,,yot,,,3,tyo,,,tyo,,,,,yos,,,,,2,,,,,dyo,,,,,0,,
yot,r,,,yot,,,3,toy,,,toy,,,,,yoc,,,,,2,,,,,tow,,,,,2,,
yot,r,,,yot,,,3,tyo,,,tyo,,,,,yod,,,,,2,,,,,dyo,,,,,0,,
gage,r,,,gage,,,4,geag,,,geag,,,,,gege,,,,,1,,,,,goag,,,,,1,,
sop,r,,,sop,,,3,pos,,,pos,,,,,sep,,,,,1,,,,,gos,,,,,0,,
egah,r,,,egah,,,4,hage,,,hage,,,,,esah,,,,,1,,,,,hoge,,,,,1,,
ehu,r,,,ehu,,,3,heu,,,heu,,,,,uhu,,,,,0,,,,,hiu,,,,,1,,
