Word,Fruequency,Root,Prefixes,Suffixes,Condition
prédécesseur,2.27,céder,"[pré,dé]",[eur],pprs
raffinement,0.89,fin,"[re,a]",[ment],pprs
raffinerie,0.73,fin,"[re,a]",[erie],pprs
ralliement,1.16,lier,"[re,a]",[ment],pprs
ramassage,0.9,masser,"[re,a]",[age],pprs
ramasseur,0.73,masser,"[re,a]",[eur],pprs
ramassis,1.5,masser,"[re,a]",[is],pprs
rapatriement,0.29,patri,"[re,a]",[ment],pprs
rapprochement,1.66,proche,"[re,a]",[ment],pprs
rassemblement,4.39,sembler,"[re,a]",[ment],pprs
rassurante,0.35,sûr,"[re,a]",[ant],pprs
réalignement,0.07,ligne,"[re,a]",[ment],pprs
réapparition,0.16,paraître,"[re,a]",[ion],pprs
réincarnation,1.68,carni,"[re,a]",[ion],pprs
remboursement,1.89,bourse,"[re,en]",[ment],pprs
rempailleurs,0,paille,"[re,en]",[eur],pprs
replaçante,2.63,place,"[re,en]",[ant],pprs
remplacement,1.86,place,"[re,en]",[ment],pprs
renfoncement,0.03,foncer,"[re,en]",[ment],pprs
rengorgements,0,gorge,"[re,en]",[ment],pprs
renversement,0.25,verse,"[re,en]",[ment],pprs
coalition,1.29,lier,"[co,a]",[ion],pprs
désagrégation,0.1,grèg,"[dés,a]",[ion],pprs
désembrouiller,0.01,brouiller,"[dés,em]",[er],pprs
désincarnant,0.04,carni,"[dés,in]",[ant],pprs
dissymétriques,0,mètre,"[dis,syn]",[ique],pprs
imprévisible,4.92,voir,"[im,pré]",[ible],pprs
inappréciable,0,prix,"[in,a]",[able],pprs
incommensurable,0.16,mesure,"[in,com]",[able],pprs
indécollables,0,colle,"[in,dé]",[able],pprs
indécrottable,0.16,crotte,"[in,dé]",[able],pprs
indéracinable,0,racine,"[in,dé]",[able],pprs
insoutenable,0.88,tenir,"[in,sous]",[able],pprs
insurmontable,0.78,monter,"[in,sur]",[able],pprs
irréconciliable,0.28,concile ,"[in,re]",[able],pprs
raccommoder,0.25,commode,"[re,a]",[er],pprs
raccompagna,23.1,compagne,"[re,a]",[a],pprs
raccourci,7.81,court,"[re,a]",[i],pprs
raccrocha,26.22,croche,"[re,a]",[a],pprs
radoucissait,0,doux,"[re,a]",[issait],pprs
raffermi,0.22,ferme,"[re,a]",[i],pprs
raffiné,4.91,fin,"[re,a]",[é],pprs
raffolait,2.78,fou,"[re,a]",[ait],pprs
rafraîchi,7.47,frais,"[re,a]",[i],pprs
rajeuni,2.37,jeune,"[re,a]",[i],pprs
rajustais,0.14,juste,"[re,a]",[ais],pprs
ralenti,23.8,lent,"[re,a]",[i],pprs
rallonge,1.18,long,"[re,a]",[ge],pprs
ramassage,42.39,masser,"[re,a]",[age],pprs
rameute,0.23,meute,"[re,a]",[e],pprs
ramollis,1.16,mou,"[re,a]",[is],pprs
rapatrier,1.36,patrie,"[re,a]",[ier],pprs
rapetissait,0.07,petit,"[re,a]",[issait],pprs
rapiécée,0.02,pièce,"[re,a]",[ée],pprs
rapprocha,25.76,proche,"[re,a]",[a],pprs
rassura,30.02,sûr,"[re,as]",[a],pprs
raviva,0.8,vivre,"[re,a]",[a],pprs
réincarné,0.77,carni,"[re,in]",[é],pprs
remballe,1.68,balle,"[re,en]",[le],pprs
rembarrer,0.25,barre,"[re,en]",[er],pprs
rembobine,1.26,bobine,"[re,en]",[ine],pprs
remboursait,24.65,bourse,"[re,en]",[sait],pprs
rembrunit,0.01,brun,"[re,en]",[it],pprs
remplaça,55.58,place,"[re,en]",[a],pprs
rempoter,0.01,pot,"[re,en]",[er],pprs
renchérit,0.02,chér,"[re,en]",[it],pprs
renforçait,8.27,force,"[re,en]",[ait],pprs
rengainer,0.05,gaine,"[re,en]",[er],pprs
