Suffix1,Suffix2,Suffix3,Frequency,Condition,n_affixes
able,,,3,s,1
ation,,,3,s,1
er,,,3,s,1
ful,,,3,s,1
ish,,,3,s,1
less,,,3,s,1
ly,,,3,s,1
ness,,,3,s,1
ify,,,2,s,1
ment,,,2,s,1
ship,,,1,s,1
ise,,,1,s,1
age,,,0.5,s,1
al,,,0.5,s,1
ance,,,0.5,s,1
ant,,,0.5,s,1
ary,,,0.5,s,1
ate,,,0.5,s,1
cy,,,0.5,s,1
ence,,,0.5,s,1
ery,,,0.5,s,1
ette,,,0.5,s,1
ian,,,0.5,s,1
ic,,,0.5,s,1
ice,,,0.5,s,1
ion,,,0.5,s,1
ious,,,0.5,s,1
ity,,,0.5,s,1
ry,,,0.5,s,1
some,,,0.5,s,1
ure,,,0.5,s,1
ive,,,0.5,s,1
ful,ly,,0.5,ss,2
full,er,,0.5,ss,2
ly,ness,,0.5,ss,2
ic,ly,,0.5,ss,2
ion,less,,0.5,ss,2
ion,al,,0.5,ss,2
al,ly,,0.5,ss,2
ic,ness,,0.5,ss,2
ic,ful,,0.5,ss,2
some,ness,,0.5,ss,2
ship,less,,0.5,ss,2
ence,less,,0.5,ss,2
ic,al,,0.5,ss,2
age,able,,0.5,ss,2
ic,ness,,0.5,ss,2
ure,less,,0.5,ss,2
ious,ly,,0.5,ss,2
ive,ness,,0.5,ss,2
ive,ly,,0.5,ss,2
al,able,,0.5,ss,2
ry,ness,,0.5,ss,2
able,ness,,0.5,ss,2
less,ness,,0.5,ss,2
ful,ly,ness,0.5,sss,3
ship,less,ness,0.5,sss,3
ic,ful,ness,0.5,sss,3
ic,al,ly,0.5,sss,3
al,ly,ness,0.5,sss,3
ious,ly,ness,0.5,sss,3
ship,less,ness,0.5,sss,3
al,able,ness,0.5,sss,3
