Suffix1,Suffix2,Suffix3,Frequency,Condition,n_affixes,Suffix1Frequency,Suffix2Frequency,Suffix3Frequency
ment,,,5042.81,s,1,5042.81,,
ion,,,3498.54,s,1,3498.54,,
ant,,,3302.44,s,1,3302.44,,
ent,,,3302.44,s,1,3302.44,,
eur,,,2127.06,s,1,2127.06,,
ité,,,1491.88,s,1,1491.88,,
nce,,,1491.29,s,1,1491.29,,
al,,,1125.04,s,1,1125.04,,
el,,,1103.4,s,1,1103.4,,
able,,,1042.69,s,1,1042.69,,
eux,,,1027.7,s,1,1027.7,,
aire,,,853.76,s,1,853.76,,
ique,,,852.45,s,1,852.45,,
ier,,,847.1,s,1,847.1,,
é,,,846.24,s,1,846.24,,
ain,,,805.68,s,1,805.68,,
age,,,707.48,s,1,707.48,,
ure,,,595.65,s,1,595.65,,
eau,,,436.9,s,1,436.9,,
ie,,,435.78,s,1,435.78,,
if,,,409.41,s,1,409.41,,
on,,,331.19,s,1,331.19,,
iste,,,322.75,s,1,322.75,,
er,,,316.04,s,1,316.04,,
ice,,,312.58,s,1,312.58,,
ette,,,295.43,s,1,295.43,,
ien,,,291.01,s,1,291.01,,
esse,,,279.86,s,1,279.86,,
erie,,,267.48,s,1,267.48,,
et,,,229.51,s,1,229.51,,
ir,,,168.27,s,1,168.27,,
at,,,166.91,s,1,166.91,,
ième,,,159.55,s,1,159.55,,
oire,,,114.26,s,1,114.26,,
ard,,,113.07,s,1,113.07,,
oir,,,113.06,s,1,113.06,,
in,,,109.48,s,1,109.48,,
aud,,,106.03,s,1,106.03,,
ément,,,105.3,s,1,105.3,,
isme,,,100.85,s,1,100.85,,
ais,,,98.63,s,1,98.63,,
ère,,,86.54,s,1,86.54,,
ités,,,83.33,s,1,83.33,,
ois,,,80.02,s,1,80.02,,
ise,,,75.4,s,1,75.4,,
aine,,,72.18,s,1,72.18,,
ude,,,70.76,s,1,70.76,,
ing,,,68.61,s,1,68.61,,
ade,,,65.47,s,1,65.47,,
o,,,64.91,s,1,64.91,,
ot,,,58.1,s,1,58.1,,
ine,,,56.32,s,1,56.32,,
der,,,50.12,s,1,50.12,,
ifier,,,49.07,s,1,49.07,,
aille,,,42.56,s,1,42.56,,
asse,,,39.9,s,1,39.9,,
ol,,,39.38,s,1,39.38,,
sse,,,37.89,s,1,37.89,,
ifique,,,33.88,s,1,33.88,,
ite,,,30.57,s,1,30.57,,
an,,,29.29,s,1,29.29,,
ail,,,29.13,s,1,29.13,,
ide,,,29.06,s,1,29.06,,
ace,,,28.65,s,1,28.65,,
aume,,,27.78,s,1,27.78,,
end,,,22.18,s,1,22.18,,
ario,,,21.85,s,1,21.85,,
u,,,21.57,s,1,21.57,,
iard,,,20.93,s,1,20.93,,
euse,,,20.61,s,1,20.61,,
is,,,19.93,s,1,19.93,,
ou,,,18.39,s,1,18.39,,
re,,,17.02,s,1,17.02,,
elle,,,16.5,s,1,16.5,,
ote,,,15.25,s,1,15.25,,
end,,,14.51,s,1,14.51,,
étique,,,13.49,s,1,13.49,,
ogne,,,12.91,s,1,12.91,,
ose,,,12.7,s,1,12.7,,
ille,,,12.51,s,1,12.51,,
icide,,,12.37,s,1,12.37,,
il,,,12.29,s,1,12.29,,
iatre,,,11.39,s,1,11.39,,
iatr,,,11.27,s,1,11.27,,
um,,,10.79,s,1,10.79,,
ole,,,10.76,s,1,10.76,,
eresse,,,9.82,s,1,9.82,,
ande,,,9.63,s,1,9.63,,
eron,,,9.63,s,1,9.63,,
ime,,,9.5,s,1,9.5,,
aise,,,9.25,s,1,9.25,,
i,,,9.2,s,1,9.2,,
aste,,,8.28,s,1,8.28,,
ple,,,7.91,s,1,7.91,,
erelle,,,7.8,s,1,7.8,,
ûre,,,7.59,s,1,7.59,,
estre,,,7.34,s,1,7.34,,
etés,,,7.22,s,1,7.22,,
ané,,,6.66,s,1,6.66,,
eut,,,6.61,s,1,6.61,,
ule,,,6.53,s,1,6.53,,
ium,,,6.48,s,1,6.48,,
este,,,6.47,s,1,6.47,,
ifère,,,6.34,s,1,6.34,,
urne,,,6.09,s,1,6.09,,
oi,,,5.84,s,1,5.84,,
esque,,,5.77,s,1,5.77,,
enda,,,5.69,s,1,5.69,,
cule,,,5.41,s,1,5.41,,
igne,,,5.3,s,1,5.3,,
elle,,,5.21,s,1,5.21,,
ore,,,5.19,s,1,5.19,,
énaire,,,4.3,s,1,4.3,,
ate,,,4.15,s,1,4.15,,
éria,,,4.08,s,1,4.08,,
rium,,,3.94,s,1,3.94,,
èle,,,3.87,s,1,3.87,,
ûres,,,3.82,s,1,3.82,,
iller,,,3.81,s,1,3.81,,
