"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error"
"22647.899999976158","external-consent.html","external-html","0","22748","0.0-0.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6840.600000023842","","survey-dropdown","1","29592","0.0-1.0","stimuli/0.csv","true","zfvqevu3n7","{""Q0"":""23"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","33201","0.0-2.0","stimuli/0.csv","true","zfvqevu3n7","","","418","1.2385185185185186","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1991560","","instructions","3","2024761","0.0-3.0","stimuli/0.csv","true","zfvqevu3n7","","","","","[{""page_index"":0,""viewing_time"":1991555.8999999762}]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"990.3999999761581","","same-different-html","4","2083247","0.0-4.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","243.10000002384186","","","","","","","","","","","",""
"995.2999999523163","","same-different-html","5","2090922","0.0-5.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reimfomable","reimfomable","f","j","same","1000","2000","500","null","null","true","70","3399.7000000476837","pprs","fom","re_im","able","reimfomable","r","","0","f","c","reimcomable","0"
"774.1000000238419","","same-different-html","6","2094776","0.0-6.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","trupal","trupal","f","j","same","1000","2000","500","null","null","true","70","875.4000000953674","rs","trup","","al","trupal","s","0.0","0","a","e","trupel","0"
"2479.6999999284744","","same-different-html","7","2105413","0.0-7.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","mimearcilayl","mimearcilayl","f","j","same","1000","2000","500","null","null","true","70","6205.5","prsss","mear","mi","ci_la_yl","mimearcilayl","s","2.0","0","y","m","mimearcilaml","0"
"917.5","","same-different-html","8","2117628","0.0-8.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ersimmarnemt","ersimmarnemt","f","j","same","1000","2000","500","null","null","true","70","4196.399999976158","pprs","mar","er_sim","nemt","ersimmarnemt","s","0.0","0","n","w","ersimmarwemt","0"
"1444.8000000715256","","same-different-html","9","2123713","0.0-9.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ereddob","ereddob","f","j","same","1000","2000","500","null","null","true","70","2473.7000000476837","ppr","dob","er_ed","","ereddob","p","0.0","0","e","o","oreddob","0"
"1114.2999999523163","","same-different-html","10","2128512","0.0-10.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ersimkeat","erdimkeat","f","j","different","1000","2000","500","null","null","true","74","1660.5","ppr","keat","er_sim","","ersimkeat","p","1.0","0","s","d","erdimkeat","1"
"886.6000000238419","","same-different-html","11","2132418","0.0-11.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","lonious","lonious","f","j","same","1000","2000","500","null","null","true","70","989.5999999046326","rs","lon","","ious","lonious","s","0.0","1","o","e","lonieus","0"
"780","","same-different-html","12","2135766","0.0-12.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reinfom","reinfom","f","j","same","1000","2000","500","null","null","true","70","713.8000000715256","ppr","fom","re_in","","reinfom","p","0.0","1","e","u","ruinfom","0"
