"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"25237.40000000596","external-consent.html","external-html","0","25335","0.0-0.0","stimuli/1.csv","true","e6u5535x55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6597.300000011921","","survey-dropdown","1","31936","0.0-1.0","stimuli/1.csv","true","e6u5535x55","{""Q0"":""23"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","38029","0.0-2.0","stimuli/1.csv","true","e6u5535x55","","","374","1.108148148148148","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2695.7999999821186","","instructions","3","40726","0.0-3.0","stimuli/1.csv","true","e6u5535x55","","","","","[{""page_index"":0,""viewing_time"":2695.5}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"325.7999999821186","","same-different-html","4","43558","0.0-4.0","stimuli/1.csv","true","e6u5535x55","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","447.7999999821186","","","","","","","","","","","","","",""
"772.8000000119209","","same-different-html","5","46829","0.0-5.0","stimuli/1.csv","true","e6u5535x55","","","","","","same-different-html","glefenious","gmefenious","f","j","different","1000","2000","500","null","null","true","74","695.8000000119209","rs_long","glefen","","ious","glefenious","target","r","","1","l","m","gmefenious","1","10"
"970.3000000119209","","same-different-html","6","51397","0.0-6.0","stimuli/1.csv","true","e6u5535x55","","","","","","same-different-html","nitekyl","mitekyl","f","j","different","1000","2000","500","null","null","true","74","751.4000000059605","prs","tek","ni","yl","nitekyl","control","p","0.0","0","n","m","mitekyl","1","7"
"1617.199999988079","","same-different-html","7","56549","0.0-7.0","stimuli/1.csv","true","e6u5535x55","","","","","","same-different-html","onnerriekviyit","onnerliekviyit","f","j","different","1000","2000","500","null","null","false","70","1423.6000000238419","pprss","riek","onn_er","vi_yit","onnerriekviyit","control","r","","0","r","l","onnerliekviyit","1","14"
"571.5999999940395","","same-different-html","8","59677","0.0-8.0","stimuli/1.csv","true","e6u5535x55","","","","","","same-different-html","nuceta","nucesa","f","j","different","1000","2000","500","null","null","true","74","639.8000000119209","rs","nuc","","eta","nuceta","control","s","0.0","1","t","s","nucesa","1","6"
"678.3000000119209","","same-different-html","9","63069","0.0-9.0","stimuli/1.csv","true","e6u5535x55","","","","","","same-different-html","reoutpook","rioutpook","f","j","different","1000","2000","500","null","null","true","74","1047.9000000059605","ppr","pook","re_out","","reoutpook","target","p","0.0","1","e","i","rioutpook","1","9"
