"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"18123","external-consent.html","external-html","0","18147","0.0-0.0","stimuli/34.csv","true","f835x8aa5p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7695.5","","survey-dropdown","1","25847","0.0-1.0","stimuli/34.csv","true","f835x8aa5p","{""Q0"":""22"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","31084","0.0-2.0","stimuli/34.csv","true","f835x8aa5p","","","407","1.2059259259259258","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2545.7000000476837","","instructions","3","33630","0.0-3.0","stimuli/34.csv","true","f835x8aa5p","","","","","[{""page_index"":0,""viewing_time"":2545.0999999046326}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"359.10000014305115","","same-different-html","4","36290","0.0-4.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","false","70","624.9000000953674","","","","","","","","","","","","","",""
"1083.2000000476837","","same-different-html","5","41403","0.0-5.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","inlienivation","inlienivation","f","j","same","1000","2000","500","null","null","false","74","2279.800000190735","prsss","lien","in","iv_at_ion","inlienivation","target","r","","2","e","u","inliunivation","0","13"
"343.7000000476837","","same-different-html","6","43968","0.0-6.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","ram","ram","f","j","same","1000","2000","500","null","null","false","74","477.2999999523163","r","ram","","","ram","target","r","","0","r","l","lam","0","3"
"707.4000000953674","","same-different-html","7","48047","0.0-7.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","inbelsionary","inbelsionary","f","j","same","1000","2000","500","null","null","false","74","1668.8999998569489","pprss","bels","in","ion_ary","inbelsionary","target","p","0.0","0","i","e","enbelsionary","0","12"
"530.0999999046326","","same-different-html","8","50854","0.0-8.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","inwisly","inwisly","f","j","same","1000","2000","500","null","null","false","74","522.0999999046326","prs","wis","in","ly","inwisly","target","p","0.0","1","n","m","imwisly","0","7"
"657.7000000476837","","same-different-html","9","54473","0.0-9.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","inlieniousness","inrieniousness","f","j","different","1000","2000","500","null","null","false","70","1235.3999998569489","pprss","lien","in","ious_ness","inlieniousness","target","r","","0","l","r","inrieniousness","1","14"
"668.5999999046326","","same-different-html","10","57592","0.0-10.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","cetate","cetate","f","j","same","1000","2000","500","null","null","true","70","652.2999999523163","rs","cet","","ate","cetate","target","r","","0","c","s","setate","0","6"
"574.7000000476837","","same-different-html","11","62557","0.0-11.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","unpookly","unpoohly","f","j","different","1000","2000","500","null","null","false","70","722.0999999046326","prs","pook","un","ly","unpookly","target","r","","3","k","h","unpoohly","1","8"
"893.5","","same-different-html","12","67377","0.0-12.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","otuloukhissens","otuloukhissens","f","j","same","1000","2000","500","null","null","false","74","2199.9000000953674","prss","louk","otu","his_sens","otuloukhissens","control","p","0.0","0","o","e","etuloukhissens","0","14"
"529","","same-different-html","13","70895","0.0-13.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","intaunivation","intaunivation","f","j","same","1000","2000","500","null","null","false","74","1211.3999998569489","prsss","taun","in","iv_at_ion","intaunivation","target","r","","1","a","e","inteunivation","0","13"
"628.3000001907349","","same-different-html","14","74539","0.0-14.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","inutuskrip","inutuskrip","f","j","same","1000","2000","500","null","null","false","74","1299.5999999046326","pr_long","tuskrip","inu","","inutuskrip","control","r","","3","k","t","inutustrip","0","10"
"680.5","","same-different-html","15","78469","0.0-15.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","truptaonilasit","truptaonilasit","f","j","same","1000","2000","500","null","null","false","74","1455.2000000476837","rssss","trup","","ta_oni_la_sit","truptaonilasit","control","r","","3","p","b","trubtaonilasit","0","14"
"494.7999999523163","","same-different-html","16","81406","0.0-16.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","redismeer","redismeer","f","j","same","1000","2000","500","null","null","false","74","610.5","ppr","meer","re_dis","","redismeer","target","r","","3","r","m","redismeem","0","9"
"597.4000000953674","","same-different-html","17","84345","0.0-17.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","disflenition","digflenition","f","j","different","1000","2000","500","null","null","false","70","636.8999998569489","prs_long","flenit","dis","ion","disflenition","target","p","0.0","2","s","g","digflenition","1","12"
"677.5","","same-different-html","18","88265","0.0-18.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","outnegishness","outnegishness","f","j","same","1000","2000","500","null","null","false","74","1446.5","prss","neg","out","ish_ness","outnegishness","target","s","1.0","2","s","h","outnegishnehs","0","13"
"721","","same-different-html","19","92484","0.0-19.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","nimoosvitaoni","nimoosvitaono","f","j","different","1000","2000","500","null","null","false","70","1738.7000000476837","prsss","moos","ni","vi_ta_oni","nimoosvitaoni","control","s","2.0","2","i","o","nimoosvitaono","1","13"
"537.6000001430511","","same-different-html","20","95512","0.0-20.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","simnol","simnol","f","j","same","1000","2000","500","null","null","false","74","562.5999999046326","pr","nol","sim","","simnol","control","r","","2","l","m","simnom","0","6"
"704.4000000953674","","same-different-html","21","99190","0.0-21.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","siwouissens","sewouissens","f","j","different","1000","2000","500","null","null","false","70","1247.7999999523163","rss","siw","","ouis_sens","siwouissens","control","r","","1","i","e","sewouissens","1","11"
"587.5","","same-different-html","22","101969","0.0-22.0","stimuli/34.csv","true","f835x8aa5p","","","","","","same-different-html","ream","riam","f","j","different","1000","2000","500","null","null","false","70","510.7000000476837","r","ream","","","ream","target","r","","1","e","i","riam","1","4"
