"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"18926.5","external-consent.html","external-html","0","19102","0.0-0.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5712.100000023842","","survey-dropdown","1","24817","0.0-1.0","stimuli/36.csv","true","tg4qs9zf2l","{""Q0"":""25"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","32232","0.0-2.0","stimuli/36.csv","true","tg4qs9zf2l","","","387","1.1466666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86458.60000002384","","instructions","3","118694","0.0-3.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","[{""page_index"":0,""viewing_time"":86458.30000001192}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7770","","same-different-html","4","132152","0.0-4.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","2518.800000011921","","","","","","","","","","","","","",""
"2546","","same-different-html","5","141408","0.0-5.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","drelint","drelinp","f","j","different","1000","2000","500","null","null","true","74","3723.800000011921","r_long","drelint","","","drelint","control","r","","6","t","p","drelinp","1","7"
"2619.399999976158","","same-different-html","6","152026","0.0-6.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","nurdlasitci","nurdlasitci","f","j","same","1000","2000","500","null","null","true","70","5862.700000047684","rsss","nurd","","la_sit_ci","nurdlasitci","control","r","","0","n","l","lurdlasitci","0","11"
"2504.399999976158","","same-different-html","7","157351","0.0-7.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","sidnisiwouissens","sidmisiwouissens","f","j","different","1000","2000","500","null","null","true","74","79.69999998807907","pprss","siw","sid_ni","ouis_sens","sidnisiwouissens","control","p","1.0","0","n","m","sidmisiwouissens","1","16"
"2385.600000023842","","same-different-html","8","165143","0.0-8.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","nuclayl","muclayl","f","j","different","1000","2000","500","null","null","true","74","3298.699999988079","rss","nuc","","la_yl","nuclayl","control","r","","0","n","m","muclayl","1","7"
"2358.699999988079","","same-different-html","9","178989","0.0-9.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","ermimearelba","ermimeamelba","f","j","different","1000","2000","500","null","null","true","74","9075.100000023842","pprs","mear","er_mi","elba","ermimearelba","control","r","","3","r","m","ermimeamelba","1","12"
"2379.900000035763","","same-different-html","10","187578","0.0-10.0","stimuli/36.csv","true","tg4qs9zf2l","","","","","","same-different-html","lonistically","lonistically","f","j","same","1000","2000","500","null","null","true","70","3780.7000000476837","rssss","lon","","ist_ic_al_ly","lonistically","target","s","0.0","0","i","e","lonestically","0","12"
