"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","self_paced","masked","condition","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","mask_string","prompt","correct","response","encoding_time","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2991.7000000476837","external-consent.html","external-html","0","2998","0.0-0.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5391.299999952316","","survey-dropdown","1","8393","0.0-1.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","{""Q0"":""22"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","12024","0.0-2.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","364","1.0785185185185184","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3835","","instructions","3","15860","0.0-3.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","[{""page_index"":0,""viewing_time"":3834.4000000953674}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290.2000000476837","","same-different-html","4","17964","0.0-4.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","304.09999990463257","","","","","","","","","","","","",""
"605.7000000476837","","same-different-html","5","20798","0.0-5.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","tistinct","distinct","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","312.5","","distinct","","distinct","control","r","","0","d","t","tistinct","3","8"
"704.5","","same-different-html","6","23734","0.0-6.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","antifreeze","antifreeze","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","314.09999990463257","anti","freeze","","antifreeze","target","p","0.0","1","n","m","amtifreeze","0","10"
"556.9000000953674","","same-different-html","7","26485","0.0-7.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","anjoyment","enjoyment","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","308.7000000476837","en","joy","ment","enjoyment","target","p","0.0","0","e","a","anjoyment","3","9"
"590.5999999046326","","same-different-html","8","32986","0.0-8.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","prablem","problem","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","312.59999990463257","","problem","","problem","control","r","","2","o","a","prablem","3","7"
"1259.7999999523163","","same-different-html","9","37007","0.0-9.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","uniformry","uniformly","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","311.7000000476837","uni","form","ly","uniformly","target","s","0.0","0","l","r","uniformry","3","9"
"899.3000001907349","","same-different-html","10","40443","0.0-10.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","procreation","procreation","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","308.5","pro","creat","ion","procreation","target","p","0.0","0","p","c","crocreation","0","11"
"575.6000001430511","","same-different-html","11","43179","0.0-11.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","devalue","duvalue","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","313.89999985694885","de","value","","devalue","target","p","0.0","1","e","u","duvalue","1","7"
"566.2000000476837","","same-different-html","12","46104","0.0-12.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","allurement","alluremeyt","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","308.7999999523163","","allure","ment","allurement","target","s","0.0","2","n","y","alluremeyt","1","10"
"757.1999998092651","","same-different-html","13","55948","0.0-13.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","sagittarous","sagittarius","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","304.2999999523163","","sagittarius","","sagittarius","control","r","","8","i","o","sagittarous","3","11"
"927.7999999523163","","same-different-html","14","59065","0.0-14.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","phenomemon","phenomenon","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","305.90000009536743","","phenomenon","","phenomenon","control","r","","7","n","m","phenomemon","3","10"
"795.7000000476837","","same-different-html","15","62037","0.0-15.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","hippopotamus","hidpopotamus","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","304.2000000476837","","hippopotamus","","hippopotamus","control","r","","2","p","d","hidpopotamus","1","12"
"729.1000001430511","","same-different-html","16","65305","0.0-16.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","unfriendly","unfriendly","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","314.09999990463257","un","friend","ly","unfriendly","target","r","","5","d","h","unfrienhly","0","10"
"447.2999999523163","","same-different-html","17","67941","0.0-17.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","difcipline","difcipline","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","309.30000019073486","","discipline","","discipline","control","r","","2","s","f","difcipline","2","10"
"731.2999999523163","","same-different-html","18","70969","0.0-18.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","inactivation","inactevation","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","308","in","act","iv_at_ion","inactivation","target","s","0.0","0","i","e","inactevation","1","12"
"631.7000000476837","","same-different-html","19","73889","0.0-19.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","beautiful","beaubiful","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","310.2999999523163","","beauti","ful","beautiful","target","r","","4","t","b","beaubiful","1","9"
"708.3999998569489","","same-different-html","20","76741","0.0-20.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","reinsurance","riinsurance","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","311.90000009536743","re_in","sur","ance","reinsurance","target","p","0.0","1","e","i","riinsurance","1","11"
"1363.1999998092651","","same-different-html","21","80309","0.0-21.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","encylcopedia","ercylcopedia","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","302.7999999523163","","encylcopedia","","encylcopedia","control","r","","1","n","r","ercylcopedia","1","12"
"599.5999999046326","","same-different-html","22","83097","0.0-22.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","rhododendron","mhododendron","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","312.7000000476837","","rhododendron","","rhododendron","control","r","","0","r","m","mhododendron","1","12"
"540.1000001430511","","same-different-html","23","85935","0.0-23.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","siwfully","siwfully","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","304.7000000476837","","sin","ful_ly","sinfully","target","r","","2","n","w","siwfully","2","8"
"633.1000001430511","","same-different-html","24","92697","0.0-24.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","determino","determino","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","308.5","","determine","","determine","control","r","","8","e","o","determino","2","9"
"418.2000000476837","","same-different-html","25","95266","0.0-25.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","dhameleon","dhameleon","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","316.39999985694885","","chameleon","","chameleon","control","r","","0","c","d","dhameleon","2","9"
"567.5999999046326","","same-different-html","26","98008","0.0-26.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","alionate","alienate","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","306.5","","alien","ate","alienate","target","r","","3","e","o","alionate","3","8"
"864.7999999523163","","same-different-html","27","101092","0.0-27.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","muskroom","mushroom","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","314.5","","mushroom","","mushroom","control","r","","3","h","k","muskroom","3","8"
"741.9000000953674","","same-different-html","28","104026","0.0-28.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","programme","programme","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","311.7999999523163","","programme","","programme","control","r","","4","r","m","progmamme","0","9"
"634.7999999523163","","same-different-html","29","107611","0.0-29.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","arshitect","arshitect","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","310.40000009536743","","architect","","architect","control","r","","2","c","s","arshitect","2","9"
"966.7999999523163","","same-different-html","30","110860","0.0-30.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","satanically","satanicallm","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","308.59999990463257","","satan","ic_al_ly","satanically","target","s","2.0","1","y","m","satanicallm","1","11"
"573.4000000953674","","same-different-html","31","113541","0.0-31.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","caterpillar","caterpilmar","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","312.60000014305115","","caterpillar","","caterpillar","control","r","","8","l","m","caterpilmar","1","11"
"818.5","","same-different-html","32","116502","0.0-32.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","undisclose","undisclose","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","310","un_dis","close","","undisclose","target","r","","2","o","e","undisclese","0","10"
"596.2999999523163","","same-different-html","33","119209","0.0-33.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","unrelatable","unrelatabli","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","307.2999999523163","un_re","lat","able","unrelatable","target","s","0.0","3","e","i","unrelatabli","1","11"
"738.7000000476837","","same-different-html","34","122203","0.0-34.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","syndrome","syndrome","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","310.90000009536743","","syndrome","","syndrome","control","r","","4","r","n","syndnome","0","8"
"772.5999999046326","","same-different-html","35","125075","0.0-35.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","overstef","overstep","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","303.40000009536743","over","step","","overstep","target","r","","3","p","f","overstef","3","8"
"538.1000001430511","","same-different-html","36","127895","0.0-36.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","arsistically","arsistically","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","311.39999985694885","","art","ist_ic_al_ly","artistically","target","r","","2","t","s","arsistically","2","12"
"779.7999999523163","","same-different-html","37","130946","0.0-37.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","hallelujah","hallelujah","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","305.10000014305115","","hallelujah","","hallelujah","control","r","","0","h","t","tallelujah","0","10"
"1241.6000001430511","","same-different-html","38","134454","0.0-38.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","anateurism","amateurism","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","311","","amateur","ism","amateurism","target","r","","1","m","n","anateurism","3","10"
"869.0999999046326","","same-different-html","39","137561","0.0-39.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","duactivation","duactivation","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","310.7999999523163","de","act","iv_at_ion","deactivation","target","p","0.0","1","e","u","duactivation","2","12"
"1149.2000000476837","","same-different-html","40","141050","0.0-40.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","clandestine","clandestine","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","311.59999990463257","","clandestine","","clandestine","control","r","","0","c","d","dlandestine","0","11"
"851.9000000953674","","same-different-html","41","144166","0.0-41.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","ipparatus","ipparatus","j","f","same","1000","2000","500","300","xxxxxxxx","null","false","70","302","","apparatus","","apparatus","control","r","","0","a","i","ipparatus","2","9"
"809.9000000953674","","same-different-html","42","147221","0.0-42.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","misfortune","misfortune","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","300.5","mis","fortune","","misfortune","target","p","0.0","0","m","y","yisfortune","0","10"
"778.2999999523163","","same-different-html","43","150204","0.0-43.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","frankincense","frankimcense","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","306.2999999523163","","frankincense","","frankincense","control","r","","6","n","m","frankimcense","1","12"
"656.7000000476837","","same-different-html","44","153048","0.0-44.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","eucalyptus","eucalyptus","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","301.2999999523163","","eucalyptus","","eucalyptus","control","r","","1","u","e","eecalyptus","0","10"
"706.2999999523163","","same-different-html","45","155905","0.0-45.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","shenanitan","shenanitan","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","308.7999999523163","","shenanigan","","shenanigan","control","r","","7","g","t","shenanitan","2","10"
"554.4000000953674","","same-different-html","46","158613","0.0-46.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","reactavate","reactavate","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","311.2000000476837","re","act","iv_ate","reactivate","target","s","0.0","0","i","a","reactavate","2","10"
"705.7999999523163","","same-different-html","47","161584","0.0-47.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","marshmallow","marshmallow","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","307","","marshmallow","","marshmallow","control","r","","9","o","e","marshmallew","0","11"
"696.5","","same-different-html","48","164398","0.0-48.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","catastrophe","citastrophe","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","306.10000014305115","","catastrophe","","catastrophe","control","r","","1","a","i","citastrophe","1","11"
"911.2000000476837","","same-different-html","49","167517","0.0-49.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","remistake","remestake","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","309.7999999523163","re_mis","take","","remistake","target","p","1.0","1","i","e","remestake","1","9"
"551.5999999046326","","same-different-html","50","170750","0.0-50.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","revaluateon","revaluation","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","304.59999990463257","re","valu","at_ion","revaluation","target","s","1.0","0","i","e","revaluateon","3","11"
"625.0999999046326","","same-different-html","51","173603","0.0-51.0","stimuli_english_real/6.csv","false","04fu9wp6xq","false","true","english_real","","","","","","same-different-html","astivational","activational","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","301.10000014305115","","act","iv_at_ion_al","activational","target","r","","1","c","s","astivational","3","12"
