"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2394","external-consent.html","external-html","0","2494","0.0-0.0","stimuli/48.csv","true","3wkkavc168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8113.0999999940395","","survey-dropdown","1","10611","0.0-1.0","stimuli/48.csv","true","3wkkavc168","{""Q0"":""23"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","145072","0.0-2.0","stimuli/48.csv","true","3wkkavc168","","","364","1.0785185185185184","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2879.800000011921","","instructions","3","147952","0.0-3.0","stimuli/48.csv","true","3wkkavc168","","","","","[{""page_index"":0,""viewing_time"":2879}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"350.09999999403954","","same-different-html","4","150268","0.0-4.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","403.7000000178814","","","","","","","","","","","","","",""
"389.5","","same-different-html","5","153165","0.0-5.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","decoder","decoder","f","j","same","1000","2000","500","null","null","true","70","561.2000000178814","prs","de","cod","er","decoder","target","s","0.0","0","e","o","decodor","0","7"
"494.19999998807907","","same-different-html","6","156017","0.0-6.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","satirically","sapirically","f","j","different","1000","2000","500","null","null","true","74","547.5999999940395","rsss","","satir","ic_al_ly","satirically","target","r","","2","t","p","sapirically","1","11"
"632.1999999880791","","same-different-html","7","159484","0.0-7.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","rhododendron","rhododendrom","f","j","different","1000","2000","500","null","null","true","74","975.2000000178814","r","","rhododendron","","rhododendron","control","r","","11","n","m","rhododendrom","1","12"
"507.2999999821186","","same-different-html","8","162302","0.0-8.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","province","prevince","f","j","different","1000","2000","500","null","null","true","74","447.40000000596046","r","","province","","province","control","r","","2","o","e","prevince","1","8"
"496.5","","same-different-html","9","165219","0.0-9.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","ingredient","ingrediant","f","j","different","1000","2000","500","null","null","true","74","518.2000000178814","r","","ingredient","","ingredient","control","r","","7","e","a","ingrediant","1","10"
"651.0999999940395","","same-different-html","10","168488","0.0-10.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","rejuvenate","rejuvenate","f","j","same","1000","2000","500","null","null","true","70","594.6999999880791","prs_long","re","juven","ate","rejuvenate","target","s","0.0","2","e","o","rejuvenato","0","10"
"534","","same-different-html","11","171388","0.0-11.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","disembody","desembody","f","j","different","1000","2000","500","null","null","true","74","455.10000002384186","ppr","dis_em","body","","disembody","target","p","0.0","1","i","e","desembody","1","9"
"492.5","","same-different-html","12","174604","0.0-12.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","reinsurance","reinsurance","f","j","same","1000","2000","500","null","null","true","70","517.7000000178814","pprs","re_in","sur","ance","reinsurance","target","s","0.0","0","a","o","reinsuronce","0","11"
"438.7999999821186","","same-different-html","13","177470","0.0-13.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","overexpose","overefpose","f","j","different","1000","2000","500","null","null","true","74","572.1999999880791","ppr","over_ex","pose","","overexpose","target","p","1.0","1","x","f","overefpose","1","10"
"515.8999999761581","","same-different-html","14","180288","0.0-14.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","remistake","remistake","f","j","same","1000","2000","500","null","null","true","70","438","ppr","re_mis","take","","remistake","target","r","","0","t","h","remishake","0","9"
"402.2000000178814","","same-different-html","15","183170","0.0-15.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","weaponless","weaponless","f","j","same","1000","2000","500","null","null","true","70","560.2999999821186","rs_long","","weapon","less","weaponless","target","s","0.0","3","s","t","weaponlest","0","10"
"327.09999999403954","","same-different-html","16","187306","0.0-16.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","inhale","inhale","f","j","same","1000","2000","500","null","null","true","70","399.40000000596046","pr","in","hale","","inhale","target","p","0.0","1","n","l","ilhale","0","6"
"450","","same-different-html","17","190220","0.0-17.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","principle","principlo","f","j","different","1000","2000","500","null","null","true","74","450.7999999821186","r","","principle","","principle","control","r","","8","e","o","principlo","1","9"
"534.4000000059605","","same-different-html","18","193116","0.0-18.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","egoistical","egoistical","f","j","same","1000","2000","500","null","null","true","70","505.09999999403954","rsss","","ego","ist_ic_al","egoistical","target","r","","2","o","e","egeistical","0","10"
"381.09999999403954","","same-different-html","19","195886","0.0-19.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","inactivate","inactivate","f","j","same","1000","2000","500","null","null","true","70","464.7999999821186","prss","in","act","iv_ate","inactivate","target","s","0.0","0","i","o","inactovate","0","10"
"533.5999999940395","","same-different-html","20","198712","0.0-20.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","overcook","ovircook","f","j","different","1000","2000","500","null","null","true","74","446.30000001192093","pr","over","cook","","overcook","target","p","0.0","2","e","i","ovircook","1","8"
"496.09999999403954","","same-different-html","21","201514","0.0-21.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","activational","actuvational","f","j","different","1000","2000","500","null","null","true","74","435.89999997615814","rssss","","act","iv_at_ion_al","activational","target","s","0.0","0","i","u","actuvational","1","12"
"737.1999999880791","","same-different-html","22","204746","0.0-22.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","encylcopedia","encylcopedia","f","j","same","1000","2000","500","null","null","true","70","643.5","r","","encylcopedia","","encylcopedia","control","r","","5","c","s","encylsopedia","0","12"
"595","","same-different-html","23","208051","0.0-23.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","marijuana","marijuana","f","j","same","1000","2000","500","null","null","true","70","514.5999999940395","r","","marijuana","","marijuana","control","r","","8","a","i","marijuani","0","9"
"451.39999997615814","","same-different-html","24","210989","0.0-24.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","caterpillar","caterpillam","f","j","different","1000","2000","500","null","null","true","74","569","r","","caterpillar","","caterpillar","control","r","","10","r","m","caterpillam","1","11"
"629.8000000119209","","same-different-html","25","214122","0.0-25.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","leprechaun","leprechaun","f","j","same","1000","2000","500","null","null","true","70","601","r","","leprechaun","","leprechaun","control","r","","3","r","l","leplechaun","0","10"
"513.3999999761581","","same-different-html","26","217242","0.0-26.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","sagittarius","satittarius","f","j","different","1000","2000","500","null","null","false","70","595.1000000238419","r","","sagittarius","","sagittarius","control","r","","2","g","t","satittarius","1","11"
"482.2999999821186","","same-different-html","27","220566","0.0-27.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","unmindful","unminvful","f","j","different","1000","2000","500","null","null","true","74","678","prs","un","mind","ful","unmindful","target","r","","3","d","v","unminvful","1","9"
"560.9000000059605","","same-different-html","28","223739","0.0-28.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","anarchically","anarchically","f","j","same","1000","2000","500","null","null","true","70","545.1000000238419","prsss","an","arch","ic_al_ly","anarchically","target","s","0.0","0","i","o","anarchocally","0","12"
"500.2999999821186","","same-different-html","29","226677","0.0-29.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","hippopotamus","hippopotamus","f","j","same","1000","2000","500","null","null","true","70","541.4000000059605","r","","hippopotamus","","hippopotamus","control","r","","5","p","h","hippohotamus","0","12"
"456.19999998807907","","same-different-html","30","229455","0.0-30.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","article","article","f","j","same","1000","2000","500","null","null","true","70","489.2000000178814","r","","article","","article","control","r","","4","c","d","artidle","0","7"
"337.90000000596046","","same-different-html","31","232938","0.0-31.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","unfairly","unfairly","f","j","same","1000","2000","500","null","null","true","70","422.2000000178814","prs","un","fair","ly","unfairly","target","p","0.0","1","n","r","urfairly","0","8"
"557.7999999821186","","same-different-html","32","236150","0.0-32.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","abracadabra","abrafadabra","f","j","different","1000","2000","500","null","null","true","74","673","r","","abracadabra","","abracadabra","control","r","","4","c","f","abrafadabra","1","11"
"465.59999999403954","","same-different-html","33","239454","0.0-33.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","egoistically","eguistically","f","j","different","1000","2000","500","null","null","true","74","559.5","rssss","","ego","ist_ic_al_ly","egoistically","target","r","","2","o","u","eguistically","1","12"
"601.5999999940395","","same-different-html","34","242690","0.0-34.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","persuadness","persuadness","f","j","same","1000","2000","500","null","null","true","70","599.7000000178814","rs_long","","persuad","ness","persuadness","target","s","0.0","2","s","h","persuadnehs","0","11"
"481.90000000596046","","same-different-html","35","246075","0.0-35.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","catastrophe","catastjophe","f","j","different","1000","2000","500","null","null","true","74","612.9000000059605","r","","catastrophe","","catastrophe","control","r","","6","r","j","catastjophe","1","11"
"436.89999997615814","","same-different-html","36","249131","0.0-36.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","hallelujah","hallelujah","f","j","same","1000","2000","500","null","null","true","70","655.6000000238419","r","","hallelujah","","hallelujah","control","r","","8","a","o","hallelujoh","0","10"
"352.90000000596046","","same-different-html","37","252843","0.0-37.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","restaurant","redtaurant","f","j","different","1000","2000","500","null","null","false","70","1107.5","r","","restaurant","","restaurant","control","r","","2","s","d","redtaurant","1","10"
"683.4000000059605","","same-different-html","38","256124","0.0-38.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","tunefully","tonefully","f","j","different","1000","2000","500","null","null","true","74","616.4000000059605","rss","","tune","ful_ly","tunefully","target","r","","1","u","o","tonefully","1","9"
"472.2000000178814","","same-different-html","39","259120","0.0-39.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","tambourine","tambourine","f","j","same","1000","2000","500","null","null","true","70","637.5","r","","tambourine","","tambourine","control","r","","2","m","r","tarbourine","0","10"
"897.4000000059605","","same-different-html","40","263061","0.0-40.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","irrelikable","irrelekable","f","j","different","1000","2000","500","null","null","true","74","893.9000000059605","pprs","ir_re","lik","able","irrelikable","target","r","","1","i","e","irrelekable","1","11"
"454.2000000178814","","same-different-html","41","266139","0.0-41.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","ceremony","ceremonm","f","j","different","1000","2000","500","null","null","true","74","617.2999999821186","r","","ceremony","","ceremony","control","r","","7","y","m","ceremonm","1","8"
"587.4000000059605","","same-different-html","42","269261","0.0-42.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","sensational","sensatianal","f","j","different","1000","2000","500","null","null","true","74","448","rsss","","sens","at_ion_al","sensational","target","s","1.0","1","o","a","sensatianal","1","11"
"512.4000000059605","","same-different-html","43","272317","0.0-43.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","experience","etperience","f","j","different","1000","2000","500","null","null","true","74","534.1999999880791","r","","experience","","experience","control","r","","1","x","t","etperience","1","10"
"589.4000000059605","","same-different-html","44","275420","0.0-44.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","disappoint","gisappoint","f","j","different","1000","2000","500","null","null","true","74","608.3999999761581","pr_long","dis","appoint","","disappoint","target","p","0.0","0","d","g","gisappoint","1","10"
"615.7999999821186","","same-different-html","45","278333","0.0-45.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","colleague","colleague","f","j","same","1000","2000","500","null","null","true","70","439.10000002384186","r","","colleague","","colleague","control","r","","2","l","m","comleague","0","9"
"442.5","","same-different-html","46","281152","0.0-46.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","success","suhcess","f","j","different","1000","2000","500","null","null","true","74","513","r","","success","","success","control","r","","2","c","h","suhcess","1","7"
"469.5","","same-different-html","47","283916","0.0-47.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","sinfully","sonfully","f","j","different","1000","2000","500","null","null","true","74","521.2000000178814","rss","","sin","ful_ly","sinfully","target","r","","1","i","o","sonfully","1","8"
"547.5","","same-different-html","48","287036","0.0-48.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","deactivation","peactivation","f","j","different","1000","2000","500","null","null","true","74","743.7000000178814","prsss","de","act","iv_at_ion","deactivation","target","p","0.0","0","d","p","peactivation","1","12"
"535.0999999940395","","same-different-html","49","290012","0.0-49.0","stimuli/48.csv","true","3wkkavc168","","","","","","same-different-html","wistfully","wistfully","f","j","same","1000","2000","500","null","null","true","70","521.1999999880791","rss","","wist","ful_ly","wistfully","target","s","0.0","0","f","p","wistpully","0","9"
