"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","self_paced","masked","condition","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","mask_string","prompt","correct","response","encoding_time","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"261729.59999990463","external-consent.html","external-html","0","261738","0.0-0.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10738.5","","survey-dropdown","1","272483","0.0-1.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","{""Q0"":""23"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","276939","0.0-2.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","381","1.1288888888888888","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1582.9000000953674","","instructions","3","278523","0.0-3.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","[{""page_index"":0,""viewing_time"":1581.7000000476837}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"393","","same-different-html","4","281117","0.0-4.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","310.59999990463257","","","","","","","","","","","","",""
"654.4000000953674","","same-different-html","5","283891","0.0-5.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","sensational","sensational","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","306.5","","sens","at_ion_al","sensational","target","s","0.0","0","a","e","sensetional","0","11"
"480.90000009536743","","same-different-html","6","286498","0.0-6.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","accoent","account","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","316.10000014305115","","account","","account","control","r","","4","u","e","accoent","3","7"
"526.7999999523163","","same-different-html","7","289077","0.0-7.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","letduce","letduce","j","f","same","1000","2000","500","300","xxxxxxxx","null","false","70","315","","lettuce","","lettuce","control","r","","3","t","d","letduce","2","7"
"568.0999999046326","","same-different-html","8","291850","0.0-8.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","satastrophe","catastrophe","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","313.2000000476837","","catastrophe","","catastrophe","control","r","","0","c","s","satastrophe","3","11"
"665","","same-different-html","9","294578","0.0-9.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","hieroglyph","hieroglyph","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","312.09999990463257","","hieroglyph","","hieroglyph","control","r","","0","h","t","tieroglyph","0","10"
"932.2000000476837","","same-different-html","10","297599","0.0-10.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","hippopotamus","hippopotamus","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","306.5","","hippopotamus","","hippopotamus","control","r","","10","u","e","hippopotames","0","12"
"574.1999998092651","","same-different-html","11","300462","0.0-11.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","weaponless","weaponless","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","308.80000019073486","","weapon","less","weaponless","target","r","","2","a","e","weeponless","0","10"
"921.2000000476837","","same-different-html","12","303988","0.0-12.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","iypractical","impractical","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","315","im","practical","","impractical","target","p","0.0","1","m","y","iypractical","3","11"
"1229.5","","same-different-html","13","307472","0.0-13.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","antillery","artillery","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","302.09999990463257","","artillery","","artillery","control","r","","1","r","n","antillery","3","9"
"554.7999999523163","","same-different-html","14","310124","0.0-14.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","prume","prume","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","301.39999985694885","","prime","","prime","control","r","","2","i","u","prume","2","5"
"824.7999999523163","","same-different-html","15","313068","0.0-15.0","stimuli_english_real/24.csv","false","dmdy3fmeh5","false","true","english_real","","","","","","same-different-html","inactivate","inactivate","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","308","in","act","iv_ate","inactivate","target","r","","0","a","e","inectivate","0","10"
