"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","self_paced","masked","condition","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","mask_string","prompt","correct","response","encoding_time","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"36314.299999952316","external-consent.html","external-html","0","36356","0.0-0.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5731.099999904633","","survey-dropdown","1","42092","0.0-1.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","{""Q0"":""23"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","46513","0.0-2.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","386","1.1437037037037037","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3784.600000143051","","instructions","3","50298","0.0-3.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","[{""page_index"":0,""viewing_time"":3783.9000000953674}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"384.19999980926514","","same-different-html","4","52493","0.0-4.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","301.2999999523163","","","","","","","","","","","","",""
"554.2000000476837","","same-different-html","5","55209","0.0-5.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","ticariously","vicariously","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","315.7999999523163","","vicarious","ly","vicariously","target","r","","0","v","t","ticariously","3","11"
"617.1999998092651","","same-different-html","6","57980","0.0-6.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","hippopotames","hippopotames","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","301.90000009536743","","hippopotamus","","hippopotamus","control","r","","10","u","e","hippopotames","2","12"
"672.2999999523163","","same-different-html","7","60946","0.0-7.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","opgionally","optionally","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","302.2999999523163","","opt","ion_al_ly","optionally","target","r","","2","t","g","opgionally","3","10"
"429.59999990463257","","same-different-html","8","63430","0.0-8.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","mhododendron","rhododendron","f","j","different","1000","2000","500","300","xxxxxxxx","null","false","70","306.59999990463257","","rhododendron","","rhododendron","control","r","","0","r","m","mhododendron","3","12"
"673.1000001430511","","same-different-html","9","66366","0.0-9.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","catalog","catolog","f","j","different","1000","2000","500","300","xxxxxxxx","null","false","70","308.5","","catalog","","catalog","control","r","","3","a","o","catolog","1","7"
"908.7000000476837","","same-different-html","10","69431","0.0-10.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","hioroglyph","hieroglyph","f","j","different","1000","2000","500","300","xxxxxxxx","null","false","70","307.7999999523163","","hieroglyph","","hieroglyph","control","r","","2","e","o","hioroglyph","3","10"
"703.3999998569489","","same-different-html","11","72213","0.0-11.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","egoistically","egoistically","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","310.80000019073486","","ego","ist_ic_al_ly","egoistically","target","s","0.0","1","s","t","egoittically","0","12"
"616.7999999523163","","same-different-html","12","74986","0.0-12.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","menfully","manfully","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","303.39999985694885","","man","ful_ly","manfully","target","r","","1","a","e","menfully","3","8"
"411.7000000476837","","same-different-html","13","77501","0.0-13.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","neinsurance","reinsurance","f","j","different","1000","2000","500","300","xxxxxxxx","null","false","70","312.5","re_in","sur","ance","reinsurance","target","p","0.0","0","r","n","neinsurance","3","11"
"541.3000001907349","","same-different-html","14","80272","0.0-14.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","deactivation","deactivation","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","305.7000000476837","de","act","iv_at_ion","deactivation","target","s","2.0","1","o","e","deactivatien","0","12"
"925.9000000953674","","same-different-html","15","83164","0.0-15.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","experience","exterience","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","311.69999980926514","","experience","","experience","control","r","","2","p","t","exterience","1","10"
"624.5","","same-different-html","16","85866","0.0-16.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","privilede","privilege","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","311","","privilege","","privilege","control","r","","7","g","d","privilede","3","9"
"631.7000000476837","","same-different-html","17","88382","0.0-17.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","frankinbense","frankincense","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","309.90000009536743","","frankincense","","frankincense","control","r","","7","c","b","frankinbense","3","12"
"579.3000001907349","","same-different-html","18","90866","0.0-18.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","clandestine","clandestine","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","302.2000000476837","","clandestine","","clandestine","control","r","","9","n","m","clandestime","0","11"
"769.2000000476837","","same-different-html","19","93720","0.0-19.0","stimuli_english_real/35.csv","true","hv829lpbkx","false","true","english_real","","","","","","same-different-html","tenthly","penthly","f","j","different","1000","2000","500","300","xxxxxxxx","null","false","70","302.7000000476837","","ten","th_ly","tenthly","target","r","","0","t","p","penthly","1","7"
