"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","self_paced","masked","condition","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","mask_string","prompt","correct","response","encoding_time","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"4773752.099999905","external-consent.html","external-html","0","4773756","0.0-0.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9862.799999952316","","survey-dropdown","1","4783621","0.0-1.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","{""Q0"":""23"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","4789385","0.0-2.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","373","1.1051851851851853","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2710.7000000476837","","instructions","3","4792096","0.0-3.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","[{""page_index"":0,""viewing_time"":2710.2000000476837}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"604.7000000476837","","same-different-html","4","4796517","0.0-4.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","304.39999985694885","","","","","","","","","","","","",""
"557.4000000953674","","same-different-html","5","4799391","0.0-5.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","vengefully","sengefully","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","304.60000014305115","","venge","ful_ly","vengefully","target","r","","0","v","s","sengefully","1","10"
"868.4000000953674","","same-different-html","6","4802442","0.0-6.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","amateurisr","amateurisr","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","301.10000014305115","","amateur","ism","amateurism","target","s","0.0","2","m","r","amateurisr","2","10"
"736.7999999523163","","same-different-html","7","4806183","0.0-7.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","hippipotamus","hippipotamus","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","315.2999999523163","","hippopotamus","","hippopotamus","control","r","","4","o","i","hippipotamus","2","12"
"617.5","","same-different-html","8","4809424","0.0-8.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","overstes","overstes","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","315.2999999523163","over","step","","overstep","target","r","","3","p","s","overstes","2","8"
"594.7000000476837","","same-different-html","9","4812219","0.0-9.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","allow","allaw","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","315.59999990463257","","allow","","allow","control","r","","3","o","a","allaw","1","5"
"724.5999999046326","","same-different-html","10","4815245","0.0-10.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","discourage","discourage","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","308.2000000476837","dis","courage","","discourage","target","p","0.0","2","s","t","ditcourage","0","10"
"684.7999999523163","","same-different-html","11","4818019","0.0-11.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","reimpoce","reimpose","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","309.2999999523163","re_im","pose","","reimpose","target","r","","2","s","c","reimpoce","3","8"
"681.5999999046326","","same-different-html","12","4820744","0.0-12.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","enclose","enclohe","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","300.40000009536743","en","close","","enclose","target","r","","3","s","h","enclohe","1","7"
"840.7000000476837","","same-different-html","13","4823666","0.0-13.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","repertoire","repertoire","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","305.90000009536743","","repertoire","","repertoire","control","r","","0","r","n","nepertoire","0","10"
"830.3999998569489","","same-different-html","14","4826629","0.0-14.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","noighbor","neighbor","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","307.2000000476837","","neighbor","","neighbor","control","r","","1","e","o","noighbor","3","8"
"769.1999998092651","","same-different-html","15","4829636","0.0-15.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","nonspecific","nonspecific","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","313.59999990463257","non","specif","ic","nonspecific","target","r","","2","e","a","nonspacific","0","11"
"960.7999999523163","","same-different-html","16","4832668","0.0-16.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","sagittarius","sagistarius","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","314.90000009536743","","sagittarius","","sagittarius","control","r","","4","t","s","sagistarius","1","11"
"538.7999999523163","","same-different-html","17","4835394","0.0-17.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","marathon","yarathon","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","311.7000000476837","","marathon","","marathon","control","r","","0","m","y","yarathon","1","8"
"661.7999999523163","","same-different-html","18","4838166","0.0-18.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","mershmallow","marshmallow","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","314.2999999523163","","marshmallow","","marshmallow","control","r","","1","a","e","mershmallow","3","11"
"698.7000000476837","","same-different-html","19","4840888","0.0-19.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","monracial","monracial","f","j","same","1000","2000","500","300","xxxxxxxx","null","true","70","301.7000000476837","non","raci","al","nonracial","target","p","0.0","0","n","m","monracial","2","9"
"655.2000000476837","","same-different-html","20","4843646","0.0-20.0","stimuli_english_real/36.csv","true","k7f63lqeur","false","true","english_real","","","","","","same-different-html","rhododindron","rhododendron","f","j","different","1000","2000","500","300","xxxxxxxx","null","true","74","314.2000000476837","","rhododendron","","rhododendron","control","r","","6","e","i","rhododindron","3","12"
