"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","self_paced","masked","condition","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","mask_string","prompt","correct","response","encoding_time","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"134035.60000014305","external-consent.html","external-html","0","134041","0.0-0.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19656.400000095367","","survey-dropdown","1","153704","0.0-1.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","{""Q0"":""22"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","157748","0.0-2.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","379","1.122962962962963","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2333.600000143051","","instructions","3","160082","0.0-3.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","[{""page_index"":0,""viewing_time"":2332.7000000476837}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"554.2000000476837","","same-different-html","4","162530","0.0-4.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","308.90000009536743","","","","","","","","","","","","",""
"674.2999999523163","","same-different-html","5","165438","0.0-5.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","same-different-html","somersoult","somersault","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","311.89999985694885","","somersault","","somersault","control","r","","6","a","o","somersoult","3","10"
"550.5","","same-different-html","6","168157","0.0-6.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","same-different-html","programme","progjamme","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","304.5","","programme","","programme","control","r","","4","r","j","progjamme","1","9"
"625","","same-different-html","7","170963","0.0-7.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","same-different-html","disappear","disappear","j","f","same","1000","2000","500","300","xxxxxxxx","null","true","74","305","dis","appear","","disappear","target","p","0.0","2","s","p","dipappear","0","9"
"1041.2999999523163","","same-different-html","8","174127","0.0-8.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","same-different-html","catempillar","caterpillar","j","f","different","1000","2000","500","300","xxxxxxxx","null","true","70","308.2999999523163","","caterpillar","","caterpillar","control","r","","4","r","m","catempillar","3","11"
"558.3000001907349","","same-different-html","9","176812","0.0-9.0","stimuli_english_real/13.csv","false","qt92lgfwou","false","true","english_real","","","","","","same-different-html","reunsurance","reinsurance","j","f","different","1000","2000","500","300","xxxxxxxx","null","false","74","307.2999999523163","re_in","sur","ance","reinsurance","target","p","1.0","0","i","u","reunsurance","3","11"
