"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2723935.4000000358","external-consent.html","external-html","0","2723956","0.0-0.0","stimuli/24.csv","false","w24tp3k33e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7606.599999964237","","survey-dropdown","1","2731572","0.0-1.0","stimuli/24.csv","false","w24tp3k33e","{""Q0"":""24"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","2736685","0.0-2.0","stimuli/24.csv","false","w24tp3k33e","","","414","1.2266666666666668","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2626","","instructions","3","2739312","0.0-3.0","stimuli/24.csv","false","w24tp3k33e","","","","","[{""page_index"":0,""viewing_time"":2625.099999964237}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"294.30000001192093","","same-different-html","4","2741733","0.0-4.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","486.0999999642372","","","","","","","","","","","","","",""
"511.60000002384186","","same-different-html","5","2744735","0.0-5.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","artistically","aytistically","j","f","different","1000","2000","500","null","null","true","70","627.8000000119209","rssss","","art","ist_ic_al_ly","artistically","target","r","","1","r","y","aytistically","1","12"
"484","","same-different-html","6","2747652","0.0-6.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","satellite","sahellite","j","f","different","1000","2000","500","null","null","true","70","547.3000000119209","r","","satellite","","satellite","control","r","","2","t","h","sahellite","1","9"
"376","","same-different-html","7","2750435","0.0-7.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","discipline","discipline","j","f","same","1000","2000","500","null","null","true","74","469.2999999523163","r","","discipline","","discipline","control","r","","9","e","i","disciplini","0","10"
"438.60000002384186","","same-different-html","8","2753317","0.0-8.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","egoistically","epoistically","j","f","different","1000","2000","500","null","null","true","70","503.19999998807907","rssss","","ego","ist_ic_al_ly","egoistically","target","r","","1","g","p","epoistically","1","12"
"395.69999998807907","","same-different-html","9","2756315","0.0-9.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","catastrophe","catastrophe","j","f","same","1000","2000","500","null","null","true","74","598.3999999761581","r","","catastrophe","","catastrophe","control","r","","0","c","s","satastrophe","0","11"
"492.19999998807907","","same-different-html","10","2759388","0.0-10.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","analogue","analogue","j","f","same","1000","2000","500","null","null","true","74","531.3000000119209","r","","analogue","","analogue","control","r","","3","l","w","anawogue","0","8"
"776","","same-different-html","11","2762754","0.0-11.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","abracadabra","abracadabra","j","f","same","1000","2000","500","null","null","true","74","580.8000000119209","r","","abracadabra","","abracadabra","control","r","","6","d","p","abracapabra","0","11"
"552.1000000238419","","same-different-html","12","2766012","0.0-12.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","activation","activation","j","f","same","1000","2000","500","null","null","true","74","601.8000000119209","rsss","","act","iv_at_ion","activation","target","s","1.0","0","a","e","activetion","0","10"
"491.80000001192093","","same-different-html","13","2769203","0.0-13.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","champaign","champaign","j","f","same","1000","2000","500","null","null","false","70","711.9000000357628","r","","champaign","","champaign","control","r","","1","h","f","cfampaign","0","9"
"496.30000001192093","","same-different-html","14","2780993","0.0-14.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","apparatus","apparatus","j","f","same","1000","2000","500","null","null","true","74","416.19999998807907","r","","apparatus","","apparatus","control","r","","8","s","p","apparatup","0","9"
"457.9000000357628","","same-different-html","15","2783724","0.0-15.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","weaponless","weaponless","j","f","same","1000","2000","500","null","null","true","74","443.30000001192093","rs_long","","weapon","less","weaponless","target","s","0.0","2","s","b","weaponlebs","0","10"
"371.4000000357628","","same-different-html","16","2786388","0.0-16.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","dishonor","dishonor","j","f","same","1000","2000","500","null","null","true","74","474.69999998807907","pr","dis","honor","","dishonor","target","r","","3","o","e","dishoner","0","8"
"485.80000001192093","","same-different-html","17","2789150","0.0-17.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","syndrome","sywdrome","j","f","different","1000","2000","500","null","null","true","70","409.10000002384186","r","","syndrome","","syndrome","control","r","","2","n","w","sywdrome","1","8"
"593.2999999523163","","same-different-html","18","2792039","0.0-18.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","watcher","watchor","j","f","different","1000","2000","500","null","null","true","70","470.10000002384186","rs","","watch","er","watcher","target","s","0.0","0","e","o","watchor","1","7"
"488.9000000357628","","same-different-html","19","2795166","0.0-19.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","against","agoinst","j","f","different","1000","2000","500","null","null","true","70","610.4000000357628","r","","against","","against","control","r","","2","a","o","agoinst","1","7"
"484.4000000357628","","same-different-html","20","2798888","0.0-20.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","black","blatk","j","f","different","1000","2000","500","null","null","true","70","462","r","","black","","black","control","r","","3","c","t","blatk","1","5"
"605.5","","same-different-html","21","2801700","0.0-21.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","hippopotamus","hippopetamus","j","f","different","1000","2000","500","null","null","true","70","368.89999997615814","r","","hippopotamus","","hippopotamus","control","r","","6","o","e","hippopetamus","1","12"
"451.5","","same-different-html","22","2804632","0.0-22.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","lawfully","lawfully","j","f","same","1000","2000","500","null","null","true","74","470.19999998807907","rss","","law","ful_ly","lawfully","target","s","1.0","1","y","m","lawfullm","0","8"
"1013.7999999523163","","same-different-html","23","2807950","0.0-23.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","rhododendron","rhedodendron","j","f","different","1000","2000","500","null","null","true","70","452.0999999642372","r","","rhododendron","","rhododendron","control","r","","2","o","e","rhedodendron","1","12"
"566.1999999880791","","same-different-html","24","2811224","0.0-24.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","abnormally","abnorrally","j","f","different","1000","2000","500","null","null","true","70","537.3999999761581","prss","ab","norm","al_ly","abnormally","target","r","","3","m","r","abnorrally","1","10"
"451","","same-different-html","25","2814159","0.0-25.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","chimpanzee","chimpanzee","j","f","same","1000","2000","500","null","null","true","74","522.6999999880791","r","","chimpanzee","","chimpanzee","control","r","","3","m","w","chiwpanzee","0","10"
"740.6999999880791","","same-different-html","26","2817156","0.0-26.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","sagittarius","sagittarius","j","f","same","1000","2000","500","null","null","true","74","385.60000002384186","r","","sagittarius","","sagittarius","control","r","","4","t","h","sagihtarius","0","11"
"499","","same-different-html","27","2820049","0.0-27.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","enjoyment","onjoyment","j","f","different","1000","2000","500","null","null","true","70","396.9000000357628","prs","en","joy","ment","enjoyment","target","p","0.0","0","e","o","onjoyment","1","9"
"616.5","","same-different-html","28","2823229","0.0-28.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","vertically","verticalmy","j","f","different","1000","2000","500","null","null","true","70","512","rs_long","","vertical","ly","vertically","target","s","0.0","0","l","m","verticalmy","1","10"
"573.6999999880791","","same-different-html","29","2826146","0.0-29.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","depopulate","depopuyate","j","f","different","1000","2000","500","null","null","true","70","467.89999997615814","prs_long","de","popul","ate","depopulate","target","r","","4","l","y","depopuyate","1","10"
"511","","same-different-html","30","2829006","0.0-30.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","where","wsere","j","f","different","1000","2000","500","null","null","true","70","416.80000001192093","r","","where","","where","control","r","","1","h","s","wsere","1","5"
"537.8000000119209","","same-different-html","31","2832013","0.0-31.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","cellophane","cillophane","j","f","different","1000","2000","500","null","null","true","70","574","r","","cellophane","","cellophane","control","r","","1","e","i","cillophane","1","10"
"593.6999999880791","","same-different-html","32","2835095","0.0-32.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","witlessness","witlessness","j","f","same","1000","2000","500","null","null","true","74","657.7000000476837","rss","","wit","less_ness","witlessness","target","s","1.0","3","s","t","witlessnest","0","11"
"477.7999999523163","","same-different-html","33","2838001","0.0-33.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","strength","strengtt","j","f","different","1000","2000","500","null","null","true","70","582.1000000238419","r","","strength","","strength","control","r","","7","h","t","strengtt","1","8"
"635.9000000357628","","same-different-html","34","2840950","0.0-34.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","abnormality","abnormality","j","f","same","1000","2000","500","null","null","true","74","447","prss","ab","norm","al_ity","abnormality","target","s","1.0","2","y","m","abnormalitm","0","11"
"488.0999999642372","","same-different-html","35","2843895","0.0-35.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","overactive","averactive","j","f","different","1000","2000","500","null","null","true","70","430.19999998807907","prs_long","over","act","ive","overactive","target","p","0.0","0","o","a","averactive","1","10"
"931.3000000119209","","same-different-html","36","2847560","0.0-36.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","disapporve","disapporse","j","f","different","1000","2000","500","null","null","true","70","644.7999999523163","pr_long","dis","apporve","","disapporve","target","r","","5","v","s","disapporse","1","10"
"506.4000000357628","","same-different-html","37","2851431","0.0-37.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","frankincense","frankiwcense","j","f","different","1000","2000","500","null","null","true","70","680.3000000119209","r","","frankincense","","frankincense","control","r","","6","n","w","frankiwcense","1","12"
"426.9000000357628","","same-different-html","38","2854436","0.0-38.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","converse","converse","j","f","same","1000","2000","500","null","null","true","74","637.6999999880791","r","","converse","","converse","control","r","","7","e","a","conversa","0","8"
"437.89999997615814","","same-different-html","39","2857280","0.0-39.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","blaspheme","blasphome","j","f","different","1000","2000","500","null","null","true","70","555.6999999880791","r","","blaspheme","","blaspheme","control","r","","6","e","o","blasphome","1","9"
"708.3000000119209","","same-different-html","40","2860575","0.0-40.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","clandestine","clandestine","j","f","same","1000","2000","500","null","null","true","74","529.2000000476837","r","","clandestine","","clandestine","control","r","","10","e","u","clandestinu","0","11"
"509.10000002384186","","same-different-html","41","2863641","0.0-41.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","caterpillar","caterpillar","j","f","same","1000","2000","500","null","null","true","74","574.5","r","","caterpillar","","caterpillar","control","r","","10","r","y","caterpillay","0","11"
"989.1000000238419","","same-different-html","42","2867174","0.0-42.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","marshmallow","marshmalmow","j","f","different","1000","2000","500","null","null","true","70","644.3999999761581","r","","marshmallow","","marshmallow","control","r","","8","l","m","marshmalmow","1","11"
"463.10000002384186","","same-different-html","43","2871648","0.0-43.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","propaganda","propaganda","j","f","same","1000","2000","500","null","null","true","74","567.6000000238419","r","","propaganda","","propaganda","control","r","","4","a","o","propoganda","0","10"
"492.69999998807907","","same-different-html","44","2874904","0.0-44.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","experience","experieyce","j","f","different","1000","2000","500","null","null","true","70","664.6999999880791","r","","experience","","experience","control","r","","7","n","y","experieyce","1","10"
"530.5999999642372","","same-different-html","45","2877976","0.0-45.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","reinsurance","rainsurance","j","f","different","1000","2000","500","null","null","true","70","523.6000000238419","pprs","re_in","sur","ance","reinsurance","target","p","0.0","1","e","a","rainsurance","1","11"
"556.1000000238419","","same-different-html","46","2880992","0.0-46.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","stimulus","stimulus","j","f","same","1000","2000","500","null","null","false","70","565.5","r","","stimulus","","stimulus","control","r","","5","l","r","stimurus","0","8"
"680.9000000357628","","same-different-html","47","2884090","0.0-47.0","stimuli/24.csv","false","w24tp3k33e","","","","","","same-different-html","redeflate","redeflate","j","f","same","1000","2000","500","null","null","true","74","553.0999999642372","ppr","re_de","flate","","redeflate","target","r","","4","e","a","redeflata","0","9"
