"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"4690","external-consent.html","external-html","0","4729","0.0-0.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7293","","survey-dropdown","1","12027","0.0-1.0","stimuli/2.csv","false","7tc2fxxdk1","{""Q0"":""23"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","33188","0.0-2.0","stimuli/2.csv","false","7tc2fxxdk1","","","490","1.451851851851852","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9706","","instructions","3","42896","0.0-3.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","[{""page_index"":0,""viewing_time"":9706}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16957","","same-different-html","4","65393","0.0-4.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","false","74","143","","","","","","","","","","","","","",""
"1593","","same-different-html","5","69618","0.0-5.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","frankincense","frankincensi","j","f","different","1000","2000","500","null","null","true","70","194","r","","frankincense","","frankincense","control","r","","11","e","i","frankincensi","1","12"
"2275","","same-different-html","6","75155","0.0-6.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","egoistically","egoistically","j","f","same","1000","2000","500","null","null","false","70","202","rssss","","ego","ist_ic_al_ly","egoistically","target","s","2.0","0","a","o","egoisticolly","0","12"
"1550","","same-different-html","7","79462","0.0-7.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","disappoint","disappoilt","j","f","different","1000","2000","500","null","null","true","70","197","pr_long","dis","appoint","","disappoint","target","r","","5","n","l","disappoilt","1","10"
"627","","same-different-html","8","82704","0.0-8.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","treasure","treasure","j","f","same","1000","2000","500","null","null","true","74","215","r","","treasure","","treasure","control","r","","7","e","u","treasuru","0","8"
"1176","","same-different-html","9","86563","0.0-9.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","hippopotamus","hipposotamus","j","f","different","1000","2000","500","null","null","true","70","181","r","","hippopotamus","","hippopotamus","control","r","","5","p","s","hipposotamus","1","12"
"1571","","same-different-html","10","90595","0.0-10.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","tambourine","tambourine","j","f","same","1000","2000","500","null","null","false","70","188","r","","tambourine","","tambourine","control","r","","4","o","a","tambaurine","0","10"
"1086","","same-different-html","11","93842","0.0-11.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","irrelevant","imrelevant","j","f","different","1000","2000","500","null","null","true","70","179","pprs","ir_re","lev","ant","irrelevant","target","p","0.0","1","r","m","imrelevant","1","10"
"569","","same-different-html","12","97017","0.0-12.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","reservoir","reservoir","j","f","same","1000","2000","500","null","null","true","74","214","r","","reservoir","","reservoir","control","r","","5","v","d","reserdoir","0","9"
"898","","same-different-html","13","100803","0.0-13.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","marshmallow","malshmallow","j","f","different","1000","2000","500","null","null","true","70","188","r","","marshmallow","","marshmallow","control","r","","2","r","l","malshmallow","1","11"
"2348","","same-different-html","14","105432","0.0-14.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","remisalign","remisalogn","j","f","different","1000","2000","500","null","null","false","74","198","ppr","re_mis","align","","remisalign","target","r","","2","i","o","remisalogn","1","10"
"943","","same-different-html","15","108696","0.0-15.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","reinsurance","reinsurance","j","f","same","1000","2000","500","null","null","true","74","91","pprs","re_in","sur","ance","reinsurance","target","s","0.0","2","c","h","reinsuranhe","0","11"
"1294","","same-different-html","16","113940","0.0-16.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","inactivation","inactivation","j","f","same","1000","2000","500","null","null","true","74","174","prsss","in","act","iv_at_ion","inactivation","target","r","","2","t","c","inaccivation","0","12"
"765","","same-different-html","17","116884","0.0-17.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","accomplice","accomprice","j","f","different","1000","2000","500","null","null","true","70","186","r","","accomplice","","accomplice","control","r","","6","l","r","accomprice","1","10"
"1542","","same-different-html","18","120717","0.0-18.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","yellower","yellowar","j","f","different","1000","2000","500","null","null","true","70","201","rs","","yellow","er","yellower","target","s","0.0","0","e","a","yellowar","1","8"
"1473","","same-different-html","19","124294","0.0-19.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","pitifully","pitifully","j","f","same","1000","2000","500","null","null","true","74","175","rss","","piti","ful_ly","pitifully","target","s","0.0","1","u","a","pitifally","0","9"
"877","","same-different-html","20","127386","0.0-20.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","snorer","snorir","j","f","different","1000","2000","500","null","null","true","70","220","rs","","snor","er","snorer","target","s","0.0","0","e","i","snorir","1","6"
"860","","same-different-html","21","130496","0.0-21.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","normality","normolity","j","f","different","1000","2000","500","null","null","true","70","196","rss","","norm","al_ity","normality","target","s","0.0","0","a","o","normolity","1","9"
"1616","","same-different-html","22","134277","0.0-22.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","abracadabra","abracedabra","j","f","different","1000","2000","500","null","null","true","70","196","r","","abracadabra","","abracadabra","control","r","","5","a","e","abracedabra","1","11"
"890","","same-different-html","23","137504","0.0-23.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","mushroom","mushroom","j","f","same","1000","2000","500","null","null","true","74","182","r","","mushroom","","mushroom","control","r","","7","m","n","mushroon","0","8"
"888","","same-different-html","24","140641","0.0-24.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","holocaust","holosaust","j","f","different","1000","2000","500","null","null","true","70","207","r","","holocaust","","holocaust","control","r","","4","c","s","holosaust","1","9"
"1892","","same-different-html","25","144763","0.0-25.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","caricature","cariciture","j","f","different","1000","2000","500","null","null","true","70","218","r","","caricature","","caricature","control","r","","5","a","i","cariciture","1","10"
"699","","same-different-html","26","147603","0.0-26.0","stimuli/2.csv","false","7tc2fxxdk1","","","","","","same-different-html","inactivate","imactivate","j","f","different","1000","2000","500","null","null","true","70","180","prss","in","act","iv_ate","inactivate","target","p","0.0","1","n","m","imactivate","1","10"
