"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"6855.699999988079","external-consent.html","external-html","0","6863","0.0-0.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5543","","survey-dropdown","1","12410","0.0-1.0","stimuli/30.csv","true","7x6fpf4hzy","{""Q0"":""22"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","16582","0.0-2.0","stimuli/30.csv","true","7x6fpf4hzy","","","411","1.2177777777777776","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5269.5","","instructions","3","21853","0.0-3.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","[{""page_index"":0,""viewing_time"":5269.100000023842}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"305.10000002384186","","same-different-html","4","24746","0.0-4.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","526.5999999642372","","","","","","","","","","","","","",""
"559.8999999761581","","same-different-html","5","28704","0.0-5.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","frankincense","frankincense","f","j","same","1000","2000","500","null","null","true","70","1032","r","","frankincense","","frankincense","control","r","","6","n","m","frankimcense","0","12"
"540","","same-different-html","6","31561","0.0-6.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","experience","experience","f","j","same","1000","2000","500","null","null","true","70","487.30000001192093","r","","experience","","experience","control","r","","8","c","d","experiende","0","10"
"367.60000002384186","","same-different-html","7","34189","0.0-7.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","understand","understand","f","j","same","1000","2000","500","null","null","true","70","448.10000002384186","r","","understand","","understand","control","r","","0","u","e","enderstand","0","10"
"454.39999997615814","","same-different-html","8","36793","0.0-8.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","threshold","dhreshold","f","j","different","1000","2000","500","null","null","true","74","478.5","r","","threshold","","threshold","control","r","","0","t","d","dhreshold","1","9"
"350.80000001192093","","same-different-html","9","39289","0.0-9.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","medicine","medicini","f","j","different","1000","2000","500","null","null","false","70","398.19999998807907","r","","medicine","","medicine","control","r","","7","e","i","medicini","1","8"
"415.89999997615814","","same-different-html","10","43085","0.0-10.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","thatrical","thatricam","f","j","different","1000","2000","500","null","null","true","74","510.39999997615814","rs_long","","thatric","al","thatrical","target","s","0.0","1","l","m","thatricam","1","9"
"412.69999998807907","","same-different-html","11","45891","0.0-11.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","phenomenon","phenomelon","f","j","different","1000","2000","500","null","null","false","70","568.3000000119209","r","","phenomenon","","phenomenon","control","r","","7","n","l","phenomelon","1","10"
"508","","same-different-html","12","49105","0.0-12.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","redeflate","redeflate","f","j","same","1000","2000","500","null","null","true","70","558","ppr","re_de","flate","","redeflate","target","r","","4","e","i","redeflati","0","9"
"448.10000002384186","","same-different-html","13","51763","0.0-13.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","palindrome","palindrome","f","j","same","1000","2000","500","null","null","true","70","436.9000000357628","r","","palindrome","","palindrome","control","r","","5","d","t","palintrome","0","10"
"341.39999997615814","","same-different-html","14","54294","0.0-14.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","antifreeze","antifreeze","f","j","same","1000","2000","500","null","null","true","70","383.60000002384186","pr_long","anti","freeze","","antifreeze","target","r","","0","f","h","antihreeze","0","10"
"549.4000000357628","","same-different-html","15","57071","0.0-15.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","hippopotamus","hippopotanus","f","j","different","1000","2000","500","null","null","true","74","424.9000000357628","r","","hippopotamus","","hippopotamus","control","r","","9","m","n","hippopotanus","1","12"
"627.8000000119209","","same-different-html","16","60244","0.0-16.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","unrelatable","unralatable","f","j","different","1000","2000","500","null","null","true","74","487.5999999642372","pprs","un_re","lat","able","unrelatable","target","p","1.0","1","e","a","unralatable","1","11"
"436.10000002384186","","same-different-html","17","62932","0.0-17.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","warmer","wanmer","f","j","different","1000","2000","500","null","null","true","74","463.60000002384186","rs","","warm","er","warmer","target","r","","2","r","n","wanmer","1","6"
"443.69999998807907","","same-different-html","18","65713","0.0-18.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","hallelujah","hallelujah","f","j","same","1000","2000","500","null","null","false","74","502.69999998807907","r","","hallelujah","","hallelujah","control","r","","6","u","a","hallelajah","0","10"
"435.4000000357628","","same-different-html","19","68521","0.0-19.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","abracadabra","abracahabra","f","j","different","1000","2000","500","null","null","false","70","562.5","r","","abracadabra","","abracadabra","control","r","","6","d","h","abracahabra","1","11"
"530.5","","same-different-html","20","71613","0.0-20.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","privilege","privilege","f","j","same","1000","2000","500","null","null","true","70","525.5","r","","privilege","","privilege","control","r","","5","l","r","privirege","0","9"
"527.9000000357628","","same-different-html","21","74383","0.0-21.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","egoistically","ehoistically","f","j","different","1000","2000","500","null","null","true","74","478","rssss","","ego","ist_ic_al_ly","egoistically","target","r","","1","g","h","ehoistically","1","12"
"423","","same-different-html","22","77600","0.0-22.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","irrelevant","irrelevant","f","j","same","1000","2000","500","null","null","true","70","543.5","pprs","ir_re","lev","ant","irrelevant","target","p","0.0","1","r","w","iwrelevant","0","10"
"401.19999998807907","","same-different-html","23","80819","0.0-23.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","immorally","immorally","f","j","same","1000","2000","500","null","null","true","70","601","prs","im","moral","ly","immorally","target","s","0.0","1","y","n","immoralln","0","9"
"509.69999998807907","","same-different-html","24","83716","0.0-24.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","nonstop","nonstop","f","j","same","1000","2000","500","null","null","true","70","588.7000000476837","pr","non","stop","","nonstop","target","r","","0","s","d","nondtop","0","7"
"421.5","","same-different-html","25","86458","0.0-25.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","reinsurance","reinsarance","f","j","different","1000","2000","500","null","null","false","70","510.19999998807907","pprs","re_in","sur","ance","reinsurance","target","r","","1","u","a","reinsarance","1","11"
"475","","same-different-html","26","89260","0.0-26.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","counsel","counser","f","j","different","1000","2000","500","null","null","true","74","483.5","r","","counsel","","counsel","control","r","","6","l","r","counser","1","7"
"555.6999999880791","","same-different-html","27","92166","0.0-27.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","graphically","grapdically","f","j","different","1000","2000","500","null","null","true","74","528.6999999880791","rsss","","graph","ic_al_ly","graphically","target","r","","4","h","d","grapdically","1","11"
"565.1000000238419","","same-different-html","28","95057","0.0-28.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","chameleon","chareleon","f","j","different","1000","2000","500","null","null","true","74","480.80000001192093","r","","chameleon","","chameleon","control","r","","3","m","r","chareleon","1","9"
"930.4000000357628","","same-different-html","29","98553","0.0-29.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","reactivate","reastivate","f","j","different","1000","2000","500","null","null","true","74","740.2000000476837","prss","re","act","iv_ate","reactivate","target","r","","1","c","s","reastivate","1","10"
"690.1000000238419","","same-different-html","30","101976","0.0-30.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","disorderly","disorderlr","f","j","different","1000","2000","500","null","null","true","74","732","prs_long","dis","order","ly","disorderly","target","s","0.0","1","y","r","disorderlr","1","10"
"561.1999999880791","","same-different-html","31","104954","0.0-31.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","habitually","habisually","f","j","different","1000","2000","500","null","null","true","74","391.69999998807907","rss","","habit","ual_ly","habitually","target","r","","4","t","s","habisually","1","10"
"549.2000000476837","","same-different-html","32","108338","0.0-32.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","identically","identically","f","j","same","1000","2000","500","null","null","true","70","583.1000000238419","rsss","","ident","ic_al_ly","identically","target","r","","4","t","h","idenhically","0","11"
"584.5","","same-different-html","33","111518","0.0-33.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","amateurism","amateurism","f","j","same","1000","2000","500","null","null","true","70","703.0999999642372","rs_long","","amateur","ism","amateurism","target","s","0.0","2","m","r","amateurisr","0","10"
"407.10000002384186","","same-different-html","34","114168","0.0-34.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","distasteful","distasteful","f","j","same","1000","2000","500","null","null","true","70","474.69999998807907","prs_long","dis","taste","ful","distasteful","target","s","0.0","1","u","a","distastefal","0","11"
"682.8999999761581","","same-different-html","35","117499","0.0-35.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","encylcopedia","encylpopedia","f","j","different","1000","2000","500","null","null","false","70","771.3999999761581","r","","encylcopedia","","encylcopedia","control","r","","5","c","p","encylpopedia","1","12"
"539","","same-different-html","36","120757","0.0-36.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","trustful","truhtful","f","j","different","1000","2000","500","null","null","true","74","670.3000000119209","rs","","trust","ful","trustful","target","r","","3","s","h","truhtful","1","8"
"430.0999999642372","","same-different-html","37","123445","0.0-37.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","artifice","artifice","f","j","same","1000","2000","500","null","null","true","70","489.5999999642372","r","","artifice","","artifice","control","r","","3","i","e","artefice","0","8"
"761.1000000238419","","same-different-html","38","126618","0.0-38.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","overexpose","overexpose","f","j","same","1000","2000","500","null","null","true","70","541.3000000119209","ppr","over_ex","pose","","overexpose","target","r","","1","o","e","overexpese","0","10"
"610","","same-different-html","39","129574","0.0-39.0","stimuli/30.csv","true","7x6fpf4hzy","","","","","","same-different-html","embarrass","emharrass","f","j","different","1000","2000","500","null","null","true","74","467.89999997615814","r","","embarrass","","embarrass","control","r","","2","b","h","emharrass","1","9"
