"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2354.2000000476837","external-consent.html","external-html","0","2382","0.0-0.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7038.400000035763","","survey-dropdown","1","9425","0.0-1.0","stimuli/43.csv","true","rm1rn19xu1","{""Q0"":""19"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","110916","0.0-2.0","stimuli/43.csv","true","rm1rn19xu1","","","376","1.114074074074074","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2188.5","","instructions","3","113106","0.0-3.0","stimuli/43.csv","true","rm1rn19xu1","","","","","[{""page_index"":0,""viewing_time"":2188}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"468.5999999642372","","same-different-html","4","115600","0.0-4.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","362.30000001192093","","","","","","","","","","","","","",""
"536","","same-different-html","5","118568","0.0-5.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","vulgarity","vulgarity","f","j","same","1000","2000","500","null","null","true","70","361.19999998807907","rs","","vulgar","ity","vulgarity","target","r","","4","a","e","vulgerity","0","9"
"517.1999999880791","","same-different-html","6","121848","0.0-6.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","unrelatable","unrelatabye","f","j","different","1000","2000","500","null","null","true","74","447","pprs","un_re","lat","able","unrelatable","target","s","0.0","2","l","y","unrelatabye","1","11"
"675.8999999761581","","same-different-html","7","125046","0.0-7.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","hippopotamus","hippodotamus","f","j","different","1000","2000","500","null","null","true","74","565","r","","hippopotamus","","hippopotamus","control","r","","5","p","d","hippodotamus","1","12"
"495.2000000476837","","same-different-html","8","128134","0.0-8.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","inactivate","inactitate","f","j","different","1000","2000","500","null","null","false","70","586.8999999761581","prss","in","act","iv_ate","inactivate","target","s","0.0","1","v","t","inactitate","1","10"
"460.80000001192093","","same-different-html","9","131826","0.0-9.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","inhale","inhalo","f","j","different","1000","2000","500","null","null","true","74","480.2999999523163","pr","in","hale","","inhale","target","r","","3","e","o","inhalo","1","6"
"465.9000000357628","","same-different-html","10","134538","0.0-10.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","overactive","overoctive","f","j","different","1000","2000","500","null","null","true","74","468","prs_long","over","act","ive","overactive","target","r","","0","a","o","overoctive","1","10"
"757.0999999642372","","same-different-html","11","137552","0.0-11.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","palindrome","palimdrome","f","j","different","1000","2000","500","null","null","true","74","424.9000000357628","r","","palindrome","","palindrome","control","r","","4","n","m","palimdrome","1","10"
"538.0999999642372","","same-different-html","12","140761","0.0-12.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","episode","ebisode","f","j","different","1000","2000","500","null","null","true","74","444","r","","episode","","episode","control","r","","1","p","b","ebisode","1","7"
"922.0999999642372","","same-different-html","13","144188","0.0-13.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","versatile","velsatile","f","j","different","1000","2000","500","null","null","true","74","491.10000002384186","r","","versatile","","versatile","control","r","","2","r","l","velsatile","1","9"
"446.4000000357628","","same-different-html","14","147039","0.0-14.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","disco","dosco","f","j","different","1000","2000","500","null","null","true","74","469.9000000357628","r","","disco","","disco","control","r","","1","i","o","dosco","1","5"
"439.60000002384186","","same-different-html","15","149723","0.0-15.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","womanizer","womanizer","f","j","same","1000","2000","500","null","null","true","70","442.19999998807907","rss","","woman","iz_er","womanizer","target","s","1.0","0","e","a","womanizar","0","9"
"374.60000002384186","","same-different-html","16","152550","0.0-16.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","sportive","sportive","f","j","same","1000","2000","500","null","null","true","70","472.5","rs","","sport","ive","sportive","target","r","","4","t","c","sporcive","0","8"
"556.3000000119209","","same-different-html","17","155384","0.0-17.0","stimuli/43.csv","true","rm1rn19xu1","","","","","","same-different-html","disruption","disrustion","f","j","different","1000","2000","500","null","null","true","74","421.10000002384186","prs_long","dis","rupt","ion","disruption","target","r","","2","p","s","disrustion","1","10"
