"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","prefixes","root","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"3003","external-consent.html","external-html","0","3004","0.0-0.0","stimuli/9.csv","false","wffnwexz99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4534","","survey-dropdown","1","7540","0.0-1.0","stimuli/9.csv","false","wffnwexz99","{""Q0"":""22"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","17506","0.0-2.0","stimuli/9.csv","false","wffnwexz99","","","387","1.1466666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8442","","instructions","3","25950","0.0-3.0","stimuli/9.csv","false","wffnwexz99","","","","","[{""page_index"":0,""viewing_time"":8441.000000000004}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2597","","same-different-html","4","33545","0.0-4.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","2598","","","","","","","","","","","","","",""
"2924","","same-different-html","5","41220","0.0-5.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","inactivation","inactivation","j","f","same","1000","2000","500","null","null","true","74","2508","prsss","in","act","iv_at_ion","inactivation","target","p","0.0","1","n","y","iyactivation","0","12"
"1590.9999999999927","","same-different-html","6","47070","0.0-6.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","champaign","champaigr","j","f","different","1000","2000","500","null","null","true","70","2247","r","","champaign","","champaign","control","r","","8","n","r","champaigr","1","9"
"2132","","same-different-html","7","53958","0.0-7.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","irremovable","irremovable","j","f","same","1000","2000","500","null","null","true","74","2494","pprs","ir_re","mov","able","irremovable","target","r","","0","m","r","irrerovable","0","11"
"3357.0000000000073","","same-different-html","8","60851","0.0-8.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","undisguise","undisguise","j","f","same","1000","2000","500","null","null","true","74","1631","ppr","un_dis","guise","","undisguise","target","r","","2","i","a","undisguase","0","10"
"1201.9999999999927","","same-different-html","9","65450","0.0-9.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","depopulate","depodulate","j","f","different","1000","2000","500","null","null","true","70","1512.9999999999927","prs_long","de","popul","ate","depopulate","target","r","","2","p","d","depodulate","1","10"
"886","","same-different-html","10","69351","0.0-10.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","contrast","contrast","j","f","same","1000","2000","500","null","null","true","74","1040","r","","contrast","","contrast","control","r","","4","r","m","contmast","0","8"
"1253","","same-different-html","11","73675","0.0-11.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","caricature","caricapure","j","f","different","1000","2000","500","null","null","true","70","1177","r","","caricature","","caricature","control","r","","6","t","p","caricapure","1","10"
"1246.0000000000146","","same-different-html","12","77647","0.0-12.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","reactivate","meactivate","j","f","different","1000","2000","500","null","null","false","74","757","prss","re","act","iv_ate","reactivate","target","p","0.0","0","r","m","meactivate","1","10"
"1181","","same-different-html","13","82648","0.0-13.0","stimuli/9.csv","false","wffnwexz99","","","","","","same-different-html","straighter","sdraighter","j","f","different","1000","2000","500","null","null","true","70","1667","rs_long","","straight","er","straighter","target","r","","1","t","d","sdraighter","1","10"
