"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"20418","external-consent.html","external-html","0","20484","0.0-0.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8729","","survey-dropdown","1","29218","0.0-1.0","stimuli/25.csv","false","2bjznkdqfc","{""Q0"":""24"",""Q1"":""Ms""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","32998","0.0-2.0","stimuli/25.csv","false","2bjznkdqfc","","","379","1.122962962962963","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3752.0999999940395","","instructions","3","36751","0.0-3.0","stimuli/25.csv","false","2bjznkdqfc","","","","","[{""page_index"":0,""viewing_time"":3751.4000000059605}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"244.59999999403954","","same-different-html","4","39186","0.0-4.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","485.19999998807907","","","","","","","","","","","","","",""
"618.0999999940395","","same-different-html","5","42226","0.0-5.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","paurop","paerop","j","f","different","1000","2000","500","null","null","true","70","525.5","r_long","paurop","","","paurop","control","r","","2","u","e","paerop","1","6"
"519.0999999940395","","same-different-html","6","45060","0.0-6.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","nianauj","jianauj","j","f","different","1000","2000","500","null","null","true","70","585.8999999761581","ppr","nauj","ni_a","","nianauj","control","p","0.0","0","n","j","jianauj","1","7"
"1439.2000000178814","","same-different-html","7","50072","0.0-7.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","sédninaujre","sédjinaujre","j","f","different","1000","2000","500","null","null","true","70","1682.199999988079","pprs","nauj","séd_ni","re","sédninaujre","control","p","1.0","0","n","j","sédjinaujre","1","11"
"581.5","","same-different-html","8","53213","0.0-8.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","léutfi","léutfi","j","f","same","1000","2000","500","null","null","true","74","574.3999999761581","rs","léut","","fi","léutfi","control","r","","0","l","n","néutfi","0","6"
"571.4000000059605","","same-different-html","9","56923","0.0-9.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","imprékalation","émprékalation","j","f","different","1000","2000","500","null","null","true","70","1236.300000011921","pprss","kal","im_pré","at_ion","imprékalation","target","p","0.0","0","i","é","émprékalation","1","13"
"532.7999999821186","","same-different-html","10","60409","0.0-10.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","désinsaner","désinsaner","j","f","same","1000","2000","500","null","null","true","74","922.5999999940395","pprs","san","dés_in","er","désinsaner","target","s","0.0","1","r","n","désinsanen","0","10"
"350.80000001192093","","same-different-html","11","63004","0.0-11.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","mél","mél","j","f","same","1000","2000","500","null","null","true","74","484.09999999403954","r","mél","","","mél","control","r","","0","m","l","lél","0","3"
"588.9000000059605","","same-different-html","12","66712","0.0-12.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","nourièrement","nourièrement","j","f","same","1000","2000","500","null","null","true","74","1300.800000011921","rss","nour","","ière_ment","nourièrement","target","r","","3","r","y","nouyièrement","0","12"
"480.19999998807907","","same-different-html","13","70615","0.0-13.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","redéjurage","redéjurage","j","f","same","1000","2000","500","null","null","true","74","1241","pprs","jur","re_dé","age","redéjurage","target","s","0.0","0","a","i","redéjurige","0","10"
"587.7999999821186","","same-different-html","14","74464","0.0-14.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","moclasitaoin","moclasitaoin","j","f","same","1000","2000","500","null","null","true","74","1312.4000000059605","rssss","moc","","la_si_ta_oin","moclasitaoin","control","s","1.0","0","s","g","moclagitaoin","0","12"
"681.0999999940395","","same-different-html","15","78090","0.0-15.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","certalisation","certalisation","j","f","same","1000","2000","500","null","null","true","74","1010","rsss","cert","","al_isat_ion","certalisation","target","r","","0","c","s","sertalisation","0","13"
"740.3000000119209","","same-different-html","16","82292","0.0-16.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","letizusnet","letizusret","j","f","different","1000","2000","500","null","null","true","70","1483","rs_long","letizus","","net","letizusnet","control","s","0.0","0","n","r","letizusret","1","10"
"846","","same-different-html","17","85911","0.0-17.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","dédofion","sédofion","j","f","different","1000","2000","500","null","null","true","70","643.8999999761581","prs","dof","dé","ion","dédofion","target","p","0.0","0","d","s","sédofion","1","8"
"679.8000000119209","","same-different-html","18","89442","0.0-18.0","stimuli/25.csv","false","2bjznkdqfc","","","","","","same-different-html","tanitounec","tanitounec","j","f","same","1000","2000","500","null","null","true","74","945.4000000059605","pr_long","tounec","tani","","tanitounec","control","r","","3","n","r","tanitourec","0","10"
