"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"92842.69999998808","external-consent.html","external-html","0","92923","0.0-0.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15501.200000017881","","survey-dropdown","1","108427","0.0-1.0","stimuli/34.csv","false","2c2e2vojgm","{""Q0"":""19"",""Q1"":""HighSchool""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","114014","0.0-2.0","stimuli/34.csv","false","2c2e2vojgm","","","376","1.114074074074074","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3449.5","","instructions","3","117464","0.0-3.0","stimuli/34.csv","false","2c2e2vojgm","","","","","[{""page_index"":0,""viewing_time"":3449.0999999940395}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"262.7000000178814","","same-different-html","4","119639","0.0-4.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","392.30000001192093","","","","","","","","","","","","","",""
"545.8000000119209","","same-different-html","5","122484","0.0-5.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","rujelanemt","rujelanemt","j","f","same","1000","2000","500","null","null","true","74","472.09999999403954","rss","ruj","","ela_nemt","rujelanemt","control","s","0.0","1","l","n","rujenanemt","0","10"
"939.4000000059605","","same-different-html","6","126144","0.0-6.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","nitôlcfi","nifôlcfi","j","f","different","1000","2000","500","null","null","true","70","977.0999999940395","prs","tôlc","ni","fi","nitôlcfi","control","r","","0","t","f","nifôlcfi","1","8"
"624.7999999821186","","same-different-html","7","131287","0.0-7.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","dicationalisme","dicatienalisme","j","f","different","1000","2000","500","null","null","true","70","1738.9000000059605","rssss","dic","","at_ion_al_isme","dicationalisme","target","s","1.0","1","o","e","dicatienalisme","1","14"
"411.59999999403954","","same-different-html","8","135473","0.0-8.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","dédioteur","désioteur","j","f","different","1000","2000","500","null","null","false","74","671.6000000238419","prs","diot","dé","eur","dédioteur","target","r","","0","d","s","désioteur","1","9"
"394.80000001192093","","same-different-html","9","138294","0.0-9.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","tronin","tronin","j","f","same","1000","2000","500","null","null","true","74","499.69999998807907","rs","tron","","in","tronin","target","r","","3","n","l","trolin","0","6"
"471.59999999403954","","same-different-html","10","141139","0.0-10.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","vértni","pértni","j","f","different","1000","2000","500","null","null","true","70","552.6999999880791","rs","vért","","ni","vértni","control","r","","0","v","p","pértni","1","6"
"589.1999999880791","","same-different-html","11","144871","0.0-11.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","miriènletié","miriènlesié","j","f","different","1000","2000","500","null","null","true","70","1306.7000000178814","prss","rièn","mi","le_tié","miriènletié","control","s","1.0","0","t","s","miriènlesié","1","11"
"633.9000000059605","","same-different-html","12","148338","0.0-12.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","kalairement","karairement","j","f","different","1000","2000","500","null","null","true","70","790.1000000238419","rss","kal","","aire_ment","kalairement","target","r","","2","l","r","karairement","1","11"
"642.7000000178814","","same-different-html","13","152179","0.0-13.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","mimocletié","mimocletié","j","f","same","1000","2000","500","null","null","true","74","1346.300000011921","prss","moc","mi","le_tié","mimocletié","control","s","1.0","1","i","o","mimocletoé","0","10"
"698.2000000178814","","same-different-html","14","155599","0.0-14.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","insouklemable","insouklemable","j","f","same","1000","2000","500","null","null","true","74","913.1999999880791","pprs","klem","in_sou","able","insouklemable","target","p","1.0","2","u","o","insooklemable","0","13"
"564.8000000119209","","same-different-html","15","159341","0.0-15.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","détartalisation","détartalisation","j","f","same","1000","2000","500","null","null","true","74","1367.9000000059605","prssss","tart","dé","al_is_at_ion","détartalisation","target","p","0.0","0","d","p","pétartalisation","0","15"
"342.69999998807907","","same-different-html","16","162004","0.0-16.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","siat","siat","j","f","same","1000","2000","500","null","null","true","74","477.09999999403954","r","siat","","","siat","control","r","","2","a","e","siet","0","4"
"495.90000000596046","","same-different-html","17","164793","0.0-17.0","stimuli/34.csv","false","2c2e2vojgm","","","","","","same-different-html","foir","foir","j","f","same","1000","2000","500","null","null","true","74","481.40000000596046","r","foir","","","foir","target","r","","1","o","e","feir","0","4"
