"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"38624","external-consent.html","external-html","0","38641","0.0-0.0","stimuli/25.csv","false","8egegcm71m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9285","","survey-dropdown","1","47929","0.0-1.0","stimuli/25.csv","false","8egegcm71m","{""Q0"":""23"",""Q1"":""Ms""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","101541","0.0-2.0","stimuli/25.csv","false","8egegcm71m","","","536","1.588148148148148","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55257","","instructions","3","156800","0.0-3.0","stimuli/25.csv","false","8egegcm71m","","","","","[{""page_index"":0,""viewing_time"":55255}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5358","","same-different-html","4","168690","0.0-4.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","3634","","","","","","","","","","","","","",""
"1778","","same-different-html","5","178354","0.0-5.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","paurop","paerop","j","f","different","1000","2000","500","null","null","true","70","3639","r_long","paurop","","","paurop","control","r","","2","u","e","paerop","1","6"
"1642","","same-different-html","6","186161","0.0-6.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","nianauj","jianauj","j","f","different","1000","2000","500","null","null","true","70","2886","ppr","nauj","ni_a","","nianauj","control","p","0.0","0","n","j","jianauj","1","7"
"6385","","same-different-html","7","207634","0.0-7.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","sédninaujre","sédjinaujre","j","f","different","1000","2000","500","null","null","true","70","12605","pprs","nauj","séd_ni","re","sédninaujre","control","p","1.0","0","n","j","sédjinaujre","1","11"
"2633","","same-different-html","8","215003","0.0-8.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","léutfi","léutfi","j","f","same","1000","2000","500","null","null","true","74","2091","rs","léut","","fi","léutfi","control","r","","0","l","n","néutfi","0","6"
"854","","same-different-html","9","220380","0.0-9.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","imprékalation","émprékalation","j","f","different","1000","2000","500","null","null","true","70","2236","pprss","kal","im_pré","at_ion","imprékalation","target","p","0.0","0","i","é","émprékalation","1","13"
"10414","","same-different-html","10","235423","0.0-10.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","désinsaner","désinsaner","j","f","same","1000","2000","500","null","null","false","70","2541","pprs","san","dés_in","er","désinsaner","target","s","0.0","1","r","n","désinsanen","0","10"
"1902","","same-different-html","11","240435","0.0-11.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","mél","mél","j","f","same","1000","2000","500","null","null","true","74","992","r","mél","","","mél","control","r","","0","m","l","lél","0","3"
"2618","","same-different-html","12","247534","0.0-12.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","nourièrement","nourièrement","j","f","same","1000","2000","500","null","null","true","74","2338","rss","nour","","ière_ment","nourièrement","target","r","","3","r","y","nouyièrement","0","12"
"927","","same-different-html","13","253263","0.0-13.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","redéjurage","redéjurage","j","f","same","1000","2000","500","null","null","true","74","2582","pprs","jur","re_dé","age","redéjurage","target","s","0.0","0","a","i","redéjurige","0","10"
"1589","","same-different-html","14","261085","0.0-14.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","moclasitaoin","moclasitaoin","j","f","same","1000","2000","500","null","null","true","74","4292","rssss","moc","","la_si_ta_oin","moclasitaoin","control","s","1.0","0","s","g","moclagitaoin","0","12"
"1054","","same-different-html","15","265786","0.0-15.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","certalisation","certalisation","j","f","same","1000","2000","500","null","null","true","74","1642","rsss","cert","","al_isat_ion","certalisation","target","r","","0","c","s","sertalisation","0","13"
"1185","","same-different-html","16","271077","0.0-16.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","letizusnet","letizusret","j","f","different","1000","2000","500","null","null","true","70","2221","rs_long","letizus","","net","letizusnet","control","s","0.0","0","n","r","letizusret","1","10"
"1002","","same-different-html","17","275481","0.0-17.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","dédofion","sédofion","j","f","different","1000","2000","500","null","null","true","70","1084","prs","dof","dé","ion","dédofion","target","p","0.0","0","d","s","sédofion","1","8"
"2071","","same-different-html","18","281471","0.0-18.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","tanitounec","tanitounec","j","f","same","1000","2000","500","null","null","true","74","2014","pr_long","tounec","tani","","tanitounec","control","r","","3","n","r","tanitourec","0","10"
"5739","","same-different-html","19","294802","0.0-19.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","ririèneriènemt","rerièneriènemt","j","f","different","1000","2000","500","null","null","true","70","5360","prss","rièn","ri","eriè_nemt","ririèneriènemt","control","p","0.0","1","i","e","rerièneriènemt","1","14"
"1152","","same-different-html","20","299205","0.0-20.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","kalalisation","kalalisation","j","f","same","1000","2000","500","null","null","true","74","1019","rssss","kal","","al_is_at_ion","kalalisation","target","s","1.0","1","s","x","kalalixation","0","12"
"976","","same-different-html","21","319825","0.0-21.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","toidlasitaoin","teidlasitaoin","j","f","different","1000","2000","500","null","null","true","70","17479","rssss","toid","","la_si_ta_oin","toidlasitaoin","control","r","","1","o","e","teidlasitaoin","1","13"
"842","","same-different-html","22","323796","0.0-22.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","cogier","cégier","j","f","different","1000","2000","500","null","null","true","70","1147","pr","gier","co","","cogier","target","p","0.0","1","o","é","cégier","1","6"
"926","","same-different-html","23","327688","0.0-23.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","sauvert","sauvart","j","f","different","1000","2000","500","null","null","true","70","982","r_long","sauvert","","","sauvert","target","r","","4","e","a","sauvart","1","7"
"863","","same-different-html","24","331389","0.0-24.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","kaudinable","kaudinatle","j","f","different","1000","2000","500","null","null","true","70","1017","rs_long","kaudin","","able","kaudinable","target","s","0.0","1","b","t","kaudinatle","1","10"
"2279","","same-different-html","25","337630","0.0-25.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","kirnoutent","kirnoutent","j","f","same","1000","2000","500","null","null","true","74","1999","rs_long","kirnout","","ent","kirnoutent","target","s","0.0","2","t","d","kirnoutend","0","10"
"1048","","same-different-html","26","341750","0.0-26.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","taufol","taufor","j","f","different","1000","2000","500","null","null","true","70","865","r_long","taufol","","","taufol","target","r","","5","l","r","taufor","1","6"
"1853","","same-different-html","27","350215","0.0-27.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","nilourrétnemt","nirourrétnemt","j","f","different","1000","2000","500","null","null","true","70","3224","prs_long","lourrét","ni","nemt","nilourrétnemt","control","r","","0","l","r","nirourrétnemt","1","13"
"1451","","same-different-html","28","354954","0.0-28.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","surétart","surésart","j","f","different","1000","2000","500","null","null","true","70","1268","ppr","tart","sur_é","","surétart","target","r","","0","t","s","surésart","1","8"
"1056","","same-different-html","29","358815","0.0-29.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","adtart","adtars","j","f","different","1000","2000","500","null","null","true","70","838","pr","tart","ad","","adtart","target","r","","3","t","s","adtars","1","6"
"975","","same-different-html","30","364022","0.0-30.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","édmelkoin","édmelkoin","j","f","same","1000","2000","500","null","null","true","74","2399","prs","melk","éd","oin","édmelkoin","control","s","0.0","2","n","l","édmelkoil","0","9"
"3690","","same-different-html","31","372339","0.0-31.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","décortationalisme","décortationalisme","j","f","same","1000","2000","500","null","null","true","74","2733","prssss","cort","dé","at_ion_al_isme","décortationalisme","target","s","1.0","2","n","r","décortatioralisme","0","17"
"872","","same-different-html","32","379526","0.0-32.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","cidlatiasoin","cidlatiasoin","j","f","same","1000","2000","500","null","null","true","74","4106","rsss","cid","","la_tias_oin","cidlatiasoin","control","s","1.0","2","a","o","cidlatiosoin","0","12"
"923","","same-different-html","33","384469","0.0-33.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","unicortionel","unicortionel","j","f","same","1000","2000","500","null","null","true","74","2151","prss","cort","uni","ion_el","unicortionel","target","r","","1","o","i","unicirtionel","0","12"
"530","","same-different-html","34","387631","0.0-34.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","jaun","jaun","j","f","same","1000","2000","500","null","null","true","74","782","r","jaun","","","jaun","target","r","","2","u","é","jaén","0","4"
"735","","same-different-html","35","391174","0.0-35.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","rusémoc","rusemoc","j","f","different","1000","2000","500","null","null","true","70","893","ppr","moc","rus_é","","rusémoc","control","p","1.0","0","é","e","rusemoc","1","7"
"1902","","same-different-html","36","397445","0.0-36.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","miréplaktaoin","miréplaktaoin","j","f","same","1000","2000","500","null","null","true","74","2498","pprss","lak","mi_rép","ta_oin","miréplaktaoin","control","s","1.0","2","n","r","miréplaktaoir","0","13"
"868","","same-different-html","37","401014","0.0-37.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","naujla","neujla","j","f","different","1000","2000","500","null","null","true","70","812","rs","nauj","","la","naujla","control","r","","1","a","e","neujla","1","6"
"829","","same-different-html","38","407092","0.0-38.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","intaisent","intaisant","j","f","different","1000","2000","500","null","null","true","70","3373","prs","tais","in","ent","intaisent","target","s","0.0","0","e","a","intaisant","1","9"
"858","","same-different-html","39","410715","0.0-39.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","fod","fud","j","f","different","1000","2000","500","null","null","true","70","860","r","fod","","","fod","control","r","","1","o","u","fud","1","3"
"976","","same-different-html","40","415812","0.0-40.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","tuél","tuél","j","f","same","1000","2000","500","null","null","true","74","2266","r","tuél","","","tuél","target","r","","1","u","e","teél","0","4"
"972","","same-different-html","41","421681","0.0-41.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","intronitésimal","imtronitésimal","j","f","different","1000","2000","500","null","null","true","70","3014","prsss","tron","in","ité_sim_al","intronitésimal","target","p","0.0","1","n","m","imtronitésimal","1","14"
"1620","","same-different-html","42","432938","0.0-42.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","niroiftiémisla","niroiftiémisla","j","f","same","1000","2000","500","null","null","true","74","7713","prsss","roif","ni","tié_mis_la","niroiftiémisla","control","r","","2","i","o","nirooftiémisla","0","14"
"1067","","same-different-html","43","439465","0.0-43.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","renkalment","rerkalment","j","f","different","1000","2000","500","null","null","true","70","3457","pprs","kal","re_n","ment","renkalment","target","p","1.0","0","n","r","rerkalment","1","10"
"836","","same-different-html","44","443133","0.0-44.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","datroc","daproc","j","f","different","1000","2000","500","null","null","true","70","938","pr","troc","da","","datroc","control","r","","0","t","p","daproc","1","6"
"853","","same-different-html","45","448766","0.0-45.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","indoulabilité","indoolabilité","j","f","different","1000","2000","500","null","null","true","70","2900","prss","doul","in","abil_ité","indoulabilité","target","r","","2","u","o","indoolabilité","1","13"
"2182","","same-different-html","46","473170","0.0-46.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","édnastaoinlaisem","édnastaoinlaisem","j","f","same","1000","2000","500","null","null","true","74","20428","prssss","nas","éd","ta_oin_la_isem","édnastaoinlaisem","control","r","","2","s","b","édnabtaoinlaisem","0","16"
"2238","","same-different-html","47","488578","0.0-47.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","inchévaulable","inchévaulable","j","f","same","1000","2000","500","null","null","true","74","11120","prs_long","chévaul","in","able","inchévaulable","target","p","0.0","0","i","ê","ênchévaulable","0","13"
"794","","same-different-html","48","494306","0.0-48.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","gierif","gierif","j","f","same","1000","2000","500","null","null","true","74","2428","rs","gier","","if","gierif","target","s","0.0","0","i","o","gierof","0","6"
"2186","","same-different-html","49","513898","0.0-49.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","tiocnatiasoin","tiocnatiasoin","j","f","same","1000","2000","500","null","null","true","74","15548","rsss","tioc","","na_tias_oin","tiocnatiasoin","control","r","","0","t","s","siocnatiasoin","0","13"
"865","","same-different-html","50","519444","0.0-50.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","rusnasle","resnasle","j","f","different","1000","2000","500","null","null","false","74","2501","prs","nas","rus","le","rusnasle","control","p","0.0","1","u","e","resnasle","1","8"
"1887","","same-different-html","51","524846","0.0-51.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","diralisation","diralisation","j","f","same","1000","2000","500","null","null","true","74","1622","rssss","dir","","al_is_at_ion","diralisation","target","r","","0","d","g","giralisation","0","12"
"4077","","same-different-html","52","539795","0.0-52.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","décrusationalisme","décrucationalisme","j","f","different","1000","2000","500","null","null","true","70","8939","prssss","crus","dé","at_ion_al_isme","décrusationalisme","target","r","","3","s","c","décrucationalisme","1","17"
"2469","","same-different-html","53","554283","0.0-53.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","détaisalisation","détaisalisation","j","f","same","1000","2000","500","null","null","true","74","9672","prssss","tais","dé","al_is_at_ion","détaisalisation","target","p","0.0","0","d","v","vétaisalisation","0","15"
"875","","same-different-html","54","558552","0.0-54.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","ersurc","ersurc","j","f","same","1000","2000","500","null","null","true","74","1206","pr","surc","er","","ersurc","control","r","","1","u","e","erserc","0","6"
"1518","","same-different-html","55","576494","0.0-55.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","édtôlclasitaoin","édtôlclasitaoin","j","f","same","1000","2000","500","null","null","true","74","14490","prssss","tôlc","éd","la_si_ta_oin","édtôlclasitaoin","control","p","0.0","1","d","s","éstôlclasitaoin","0","15"
"1366","","same-different-html","56","583459","0.0-56.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","inerbailment","inerbailment","j","f","same","1000","2000","500","null","null","true","74","3528","prs_long","erbail","in","ment","inerbailment","target","s","0.0","1","e","i","inerbailmint","0","12"
"798","","same-different-html","57","589087","0.0-57.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","renklem","menklem","j","f","different","1000","2000","500","null","null","true","70","1285","ppr","klem","re_n","","renklem","target","p","0.0","0","r","m","menklem","1","7"
"1216","","same-different-html","58","599795","0.0-58.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","nortnemtarie","nortnemtarii","j","f","different","1000","2000","500","null","null","true","70","6943","rss","nort","","nemt_arie","nortnemtarie","control","s","1.0","3","e","i","nortnemtarii","1","12"
"1094","","same-different-html","59","607963","0.0-59.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","imprélémation","implélémation","j","f","different","1000","2000","500","null","null","true","70","4644","pprss","lém","im_pré","at_ion","imprélémation","target","p","1.0","1","r","l","implélémation","1","13"
"3449","","same-different-html","60","627480","0.0-60.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","mélroilaeist","mélroilaeist","j","f","same","1000","2000","500","null","null","true","74","14022","rsss","mél","","ro_ila_eist","mélroilaeist","control","s","2.0","0","e","î","mélroilaîist","0","12"
"1394","","same-different-html","61","632934","0.0-61.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","surfilel","sunfilel","j","f","different","1000","2000","500","null","null","true","70","1832","prs","fil","sur","el","surfilel","target","p","0.0","2","r","n","sunfilel","1","8"
"2831","","same-different-html","62","645548","0.0-62.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","erédtaineag","erédtainiag","j","f","different","1000","2000","500","null","null","true","70","7644","pprs","tain","er_éd","eag","erédtaineag","control","s","0.0","0","e","i","erédtainiag","1","11"
"3443","","same-different-html","63","679544","0.0-63.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","tioceriènemt","tioceriènemt","j","f","same","1000","2000","500","null","null","true","74","28545","rss","tioc","","eriè_nemt","tioceriènemt","control","s","1.0","3","t","g","tioceriènemg","0","12"
"1269","","same-different-html","64","686256","0.0-64.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","miréplaktaoin","mirépraktaoin","j","f","different","1000","2000","500","null","null","true","70","3348","pprss","lak","mi_rép","ta_oin","miréplaktaoin","control","r","","0","l","r","mirépraktaoin","1","13"
"942","","same-different-html","65","690319","0.0-65.0","stimuli/25.csv","false","8egegcm71m","","","","","","same-different-html","filté","filté","j","f","same","1000","2000","500","null","null","true","74","1178","rs","fil","","té","filté","target","r","","2","l","r","firté","0","5"
