"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2749","external-consent.html","external-html","0","2758","0.0-0.0","stimuli/23.csv","false","p9bultxf91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7562.0999999940395","","survey-dropdown","1","10324","0.0-1.0","stimuli/23.csv","false","p9bultxf91","{""Q0"":""25"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","15595","0.0-2.0","stimuli/23.csv","false","p9bultxf91","","","402","1.1911111111111112","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3438.4000000059605","","instructions","3","19034","0.0-3.0","stimuli/23.csv","false","p9bultxf91","","","","","[{""page_index"":0,""viewing_time"":3437.9000000059605}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"297.90000000596046","","same-different-html","4","21475","0.0-4.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","455.5","","","","","","","","","","","","","",""
"539.5999999940395","","same-different-html","5","24773","0.0-5.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","préchameud","sréchameud","j","f","different","1000","2000","500","null","null","true","70","936.3000000119209","pr_long","chameud","pré","","préchameud","target","p","0.0","0","p","s","sréchameud","1","10"
"1485.199999988079","","same-different-html","6","29365","0.0-6.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","miréploudtaoin","miréploudteoin","j","f","different","1000","2000","500","null","null","false","74","1276.199999988079","pprss","loud","mi_rép","ta_oin","miréploudtaoin","control","s","0.0","1","a","e","miréploudteoin","1","14"
"519.2000000178814","","same-different-html","7","32201","0.0-7.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","roun","roul","j","f","different","1000","2000","500","null","null","true","70","463.2000000178814","r","roun","","","roun","control","r","","3","n","l","roul","1","4"
"546.7999999821186","","same-different-html","8","34994","0.0-8.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","appour","appiur","j","f","different","1000","2000","500","null","null","true","70","455.09999999403954","r_long","appour","","","appour","target","r","","3","o","i","appiur","1","6"
"626.7999999821186","","same-different-html","9","38020","0.0-9.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","commentaire","commentaile","j","f","different","1000","2000","500","null","null","true","70","534.3000000119209","rss","com","","ment_aire","commentaire","target","s","1.0","2","r","l","commentaile","1","11"
"953.5999999940395","","same-different-html","10","43652","0.0-10.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","nimelktiémisla","nilelktiémisla","j","f","different","1000","2000","500","null","null","false","74","2621.100000023842","prsss","melk","ni","tié_mis_la","nimelktiémisla","control","r","","0","m","l","nilelktiémisla","1","14"
"528.8999999761581","","same-different-html","11","46442","0.0-11.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","reiglaisem","reigloisem","j","f","different","1000","2000","500","null","null","true","70","589.1000000238419","rss","reig","","la_isem","reiglaisem","control","s","0.0","1","a","o","reigloisem","1","10"
"499.69999998807907","","same-different-html","12","49637","0.0-12.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","erroifta","arroifta","j","f","different","1000","2000","500","null","null","true","70","784","prs","roif","er","ta","erroifta","control","p","0.0","0","e","a","arroifta","1","8"
"386.59999999403954","","same-different-html","13","52414","0.0-13.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","toulig","toulig","j","f","same","1000","2000","500","null","null","true","74","546.6000000238419","r_long","toulig","","","toulig","control","r","","2","u","e","toelig","0","6"
"560.8000000119209","","same-different-html","14","55989","0.0-14.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","redélém","ledélém","j","f","different","1000","2000","500","null","null","true","70","1138.5","ppr","lém","re_dé","","redélém","target","p","0.0","0","r","l","ledélém","1","7"
"489.09999999403954","","same-different-html","15","59234","0.0-15.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","toid","toid","j","f","same","1000","2000","500","null","null","true","74","481.7000000178814","r","toid","","","toid","control","r","","1","o","a","taid","0","4"
"464.7999999821186","","same-different-html","16","62323","0.0-16.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","naitalisme","naitalisme","j","f","same","1000","2000","500","null","null","true","74","795.5","rss","nait","","al_isme","naitalisme","target","r","","1","a","u","nuitalisme","0","10"
"439.80000001192093","","same-different-html","17","65305","0.0-17.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","lebairisem","lebairisem","j","f","same","1000","2000","500","null","null","true","74","781.4000000059605","rs_long","lebair","","isem","lebairisem","control","r","","2","b","t","letairisem","0","10"
"593.6000000238419","","same-different-html","18","68799","0.0-18.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","imprédoulable","imprédoulable","j","f","same","1000","2000","500","null","null","true","74","1119.699999988079","pprs","doul","im_pré","able","imprédoulable","target","r","","1","o","a","imprédaulable","0","13"
"646.9000000059605","","same-different-html","19","71937","0.0-19.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","sanationalisme","sanatioralisme","j","f","different","1000","2000","500","null","null","true","70","723.7999999821186","rssss","san","","at_ion_al_isme","sanationalisme","target","s","1.0","2","n","r","sanatioralisme","1","14"
"636.5999999940395","","same-different-html","20","75858","0.0-20.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","surchetelant","surctetelant","j","f","different","1000","2000","500","null","null","true","70","1343.800000011921","prs_long","chetel","sur","ant","surchetelant","target","r","","1","h","t","surctetelant","1","12"
"792.7000000178814","","same-different-html","21","81504","0.0-21.0","stimuli/23.csv","false","p9bultxf91","","","","","","same-different-html","miréptôlctaoin","miréptôlctaoin","j","f","same","1000","2000","500","null","null","true","74","2128.699999988079","pprss","tôlc","mi_rép","ta_oin","miréptôlctaoin","control","p","1.0","1","é","e","mireptôlctaoin","0","14"
