"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"60533","external-consent.html","external-html","0","60629","0.0-0.0","stimuli/19.csv","false","phrojmlt42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8345","","survey-dropdown","1","68976","0.0-1.0","stimuli/19.csv","false","phrojmlt42","{""Q0"":""22"",""Q1"":""Ms""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","121340","0.0-2.0","stimuli/19.csv","false","phrojmlt42","","","104","0.3081481481481481","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57038","","instructions","3","178380","0.0-3.0","stimuli/19.csv","false","phrojmlt42","","","","","[{""page_index"":0,""viewing_time"":57038}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3593","","same-different-html","4","185307","0.0-4.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","273","","","","","","","","","","","","","",""
"2824","","same-different-html","5","193435","0.0-5.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","surclasitaoin","surclasitioin","j","f","different","1000","2000","500","null","null","true","70","2496","rssss","surc","","la_si_ta_oin","surclasitaoin","control","s","2.0","1","a","i","surclasitioin","1","13"
"2247","","same-different-html","6","200587","0.0-6.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","imprécortation","imprécortation","j","f","same","1000","2000","500","null","null","true","74","2688","pprss","cort","im_pré","at_ion","imprécortation","target","p","0.0","0","i","u","umprécortation","0","14"
"1815","","same-different-html","7","206187","0.0-7.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","mélta","mélta","j","f","same","1000","2000","500","null","null","true","74","1168","rs","mél","","ta","mélta","control","s","0.0","1","a","e","mélte","0","5"
"1336","","same-different-html","8","211835","0.0-8.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","imprédiration","imcrédiration","j","f","different","1000","2000","500","null","null","true","70","1984","pprss","dir","im_pré","at_ion","imprédiration","target","p","1.0","0","p","c","imcrédiration","1","13"
"1960","","same-different-html","9","218635","0.0-9.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","dédirationalisme","désirationalisme","j","f","different","1000","2000","500","null","null","true","70","2528","prssss","dir","dé","at_ion_al_isme","dédirationalisme","target","r","","0","d","s","désirationalisme","1","16"
"3016","","same-different-html","10","225531","0.0-10.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","filationalisme","filationarisme","j","f","different","1000","2000","500","null","null","false","74","1887","rssss","fil","","at_ion_al_isme","filationalisme","target","s","2.0","1","l","r","filationarisme","1","14"
"1608","","same-different-html","11","231483","0.0-11.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","ernnauj","ernnauj","j","f","same","1000","2000","500","null","null","true","74","2096","ppr","nauj","er_n","","ernnauj","control","p","1.0","0","n","j","erjnauj","0","7"
"1272","","same-different-html","12","237387","0.0-12.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","préklemiquement","bréklemiquement","j","f","different","1000","2000","500","null","null","true","70","2512","prss","klem","pré","ique_ment","préklemiquement","target","p","0.0","0","p","b","bréklemiquement","1","15"
"1592","","same-different-html","13","242250","0.0-13.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","désintarter","désintarter","j","f","same","1000","2000","500","null","null","true","74","1263","pprs","tart","dés_in","er","désintarter","target","p","1.0","1","n","j","désijtarter","0","11"
"1112","","same-different-html","14","246267","0.0-14.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","ennait","ennaet","j","f","different","1000","2000","500","null","null","true","70","913","pr","nait","en","","ennait","target","r","","2","i","e","ennaet","1","6"
"1528","","same-different-html","15","250939","0.0-15.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","nerid","nemid","j","f","different","1000","2000","500","null","null","true","70","1087","pr","rid","ne","","nerid","control","r","","0","r","m","nemid","1","5"
"1240","","same-different-html","16","255755","0.0-16.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","incomitésimal","ancomitésimal","j","f","different","1000","2000","500","null","null","true","70","1695","prsss","com","in","ité_sim_al","incomitésimal","target","p","0.0","0","i","a","ancomitésimal","1","13"
"1112","","same-different-html","17","260186","0.0-17.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","inkalent","enkalent","j","f","different","1000","2000","500","null","null","true","70","1424","prs","kal","in","ent","inkalent","target","p","0.0","0","i","e","enkalent","1","8"
"936","","same-different-html","18","264218","0.0-18.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","erreig","erreig","j","f","same","1000","2000","500","null","null","true","74","1105","pr","reig","er","","erreig","control","r","","2","i","o","erreog","0","6"
"1784","","same-different-html","19","270410","0.0-19.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","ininternait","ininternait","j","f","same","1000","2000","500","null","null","true","74","2320","ppr","nait","in_inter","","ininternait","target","p","1.0","1","n","l","inilternait","0","11"
"3239","","same-different-html","20","277978","0.0-20.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","fodinnolaisem","fodinnonaisem","j","f","different","1000","2000","500","null","null","true","70","2336","rsss","fod","","inno_la_isem","fodinnolaisem","control","s","1.0","0","l","n","fodinnonaisem","1","13"
"1784","","same-different-html","21","283131","0.0-21.0","stimuli/19.csv","false","phrojmlt42","","","","","","same-different-html","tratét","traqét","j","f","different","1000","2000","500","null","null","true","70","1263","rs","trat","","ét","tratét","control","r","","3","t","q","traqét","1","6"
