"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"2381.9000000059605","external-consent.html","external-html","0","2493","0.0-0.0","stimuli/18.csv","true","tst10ogkm0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7591.899999991059","","survey-dropdown","1","10090","0.0-1.0","stimuli/18.csv","true","tst10ogkm0","{""Q0"":""23"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","14786","0.0-2.0","stimuli/18.csv","true","tst10ogkm0","","","360","1.0666666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4052.699999988079","","instructions","3","18839","0.0-3.0","stimuli/18.csv","true","tst10ogkm0","","","","","[{""page_index"":0,""viewing_time"":4052}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"783.0999999940395","","same-different-html","4","22451","0.0-4.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","decra","debra","f","j","different","1000","2000","500","null","null","true","74","555.2000000029802","","","","","","","","","","","","","",""
"633","","same-different-html","5","26445","0.0-5.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","précertiquement","frécertiquement","f","j","different","1000","2000","500","null","null","true","74","1624.2000000029802","prss","cert","pré","ique_ment","précertiquement","target","p","0.0","0","p","f","frécertiquement","1","15"
"650.2999999970198","","same-different-html","6","29963","0.0-6.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","listaoinlaisem","livtaoinlaisem","f","j","different","1000","2000","500","null","null","true","74","1185.4000000059605","rssss","lis","","ta_oin_la_isem","listaoinlaisem","control","r","","2","s","v","livtaoinlaisem","1","14"
"767.8999999910593","","same-different-html","7","34164","0.0-7.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","tôlcfiequinemt","tôlcfiequinemt","f","j","same","1000","2000","500","null","null","true","70","1624.4000000059605","rsss","tôlc","","fi_equi_nemt","tôlcfiequinemt","control","r","","0","t","g","gôlcfiequinemt","0","14"
"657.3999999910593","","same-different-html","8","38073","0.0-8.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","surédiotation","surédietation","f","j","different","1000","2000","500","null","null","false","70","1358.2000000029802","pprss","diot","sur_é","at_ion","surédiotation","target","r","","2","o","e","surédietation","1","13"
"662.9000000059605","","same-different-html","9","41994","0.0-9.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","anticenout","anticenout","f","j","same","1000","2000","500","null","null","true","70","1130.800000011921","pr_long","cenout","anti","","anticenout","target","p","0.0","0","a","e","enticenout","0","10"
"704.4000000059605","","same-different-html","10","45511","0.0-10.0","stimuli/18.csv","true","tst10ogkm0","","","","","","same-different-html","rentartment","rentartment","f","j","same","1000","2000","500","null","null","true","70","971.7000000029802","pprs","tart","re_n","ment","rentartment","target","s","0.0","1","e","i","rentartmint","0","11"
