"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"17598.89999961853","external-consent.html","external-html","0","17632","0.0-0.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5967","","survey-dropdown","1","23602","0.0-1.0","stimuli/27.csv","false","y3fzwnbctp","{""Q0"":""23"",""Q1"":""Ms""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","37972","0.0-2.0","stimuli/27.csv","false","y3fzwnbctp","","","252","0.7466666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33941.09999990463","","instructions","3","71914","0.0-3.0","stimuli/27.csv","false","y3fzwnbctp","","","","","[{""page_index"":0,""viewing_time"":33940.09999990463}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1721.1999998092651","","same-different-html","4","80259","0.0-4.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","3979.2999997138977","","","","","","","","","","","","","",""
"2519.199999809265","","same-different-html","5","86789","0.0-5.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","édléutlasitaoin","édléutlasitaoin","j","f","same","1000","2000","500","null","null","true","74","1734.1000003814697","prssss","léut","éd","la_si_ta_oin","édléutlasitaoin","control","p","0.0","0","é","e","edléutlasitaoin","0","15"
"1580.9000000953674","","same-different-html","6","92452","0.0-6.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","infoirent","infoirent","j","f","same","1000","2000","500","null","null","false","70","1797.2000002861023","prs","foir","in","ent","infoirent","target","p","0.0","1","n","r","irfoirent","0","9"
"1933.8000001907349","","same-different-html","7","101208","0.0-7.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","erédfodeag","erédfodeag","j","f","same","1000","2000","500","null","null","true","74","3195.6000003814697","pprs","fod","er_éd","eag","erédfodeag","control","r","","0","f","s","erédsodeag","0","10"
"2126.0999999046326","","same-different-html","8","107709","0.0-8.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","trévalisation","trévalisafion","j","f","different","1000","2000","500","null","null","true","70","2276.800000190735","rsss","trév","","al_isat_ion","trévalisation","target","s","1.0","3","t","f","trévalisafion","1","13"
"1287.3000001907349","","same-different-html","9","113764","0.0-9.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","tartat","tartat","j","f","same","1000","2000","500","null","null","true","74","1756.1999998092651","rs","tart","","at","tartat","target","r","","2","r","m","tamtat","0","6"
"1108.9000000953674","","same-different-html","10","120249","0.0-10.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","imprénièrable","imprénièreble","j","f","different","1000","2000","500","null","null","true","70","2686.9000000953674","pprs","nièr","im_pré","able","imprénièrable","target","s","0.0","0","a","e","imprénièreble","1","13"
"1421.3000001907349","","same-different-html","11","129348","0.0-11.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","ernassisnat","ernassisnat","j","f","same","1000","2000","500","null","null","false","70","5066","prss","nas","er","sis_nat","ernassisnat","control","r","","2","s","b","ernabsisnat","0","11"
"1109","","same-different-html","12","134405","0.0-12.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","tronmentaire","tronmentaire","j","f","same","1000","2000","500","null","null","true","74","1827.1999998092651","rss","tron","","ment_aire","tronmentaire","target","r","","3","n","r","trormentaire","0","12"
"809.1999998092651","","same-different-html","13","138379","0.0-13.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","innait","ennait","j","f","different","1000","2000","500","null","null","true","70","1011.3000001907349","pr","nait","in","","innait","target","p","0.0","0","i","e","ennait","1","6"
"1381","","same-different-html","14","143017","0.0-14.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","chameudisme","chameudisme","j","f","same","1000","2000","500","null","null","true","74","1288.8000001907349","rs_long","chameud","","isme","chameudisme","target","s","0.0","1","s","g","chameudigme","0","11"
"651","","same-different-html","15","146524","0.0-15.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","loudle","loudle","j","f","same","1000","2000","500","null","null","true","74","830.2000002861023","rs","loud","","le","loudle","control","s","0.0","0","l","r","loudre","0","6"
"1344.4000000953674","","same-different-html","16","151693","0.0-16.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","réprounequinemt","réprounequinemt","j","f","same","1000","2000","500","null","null","false","70","1840.5999999046326","prss","roun","rép","equi_nemt","réprounequinemt","control","r","","2","u","a","réproanequinemt","0","15"
"1702.8000001907349","","same-different-html","17","158214","0.0-17.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","édmoclasitaoin","édmoclasitaoin","j","f","same","1000","2000","500","null","null","false","70","2862.5","prssss","moc","éd","la_si_ta_oin","édmoclasitaoin","control","r","","1","o","e","édmeclasitaoin","0","14"
"498.30000019073486","","same-different-html","18","161352","0.0-18.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","toid","toid","j","f","same","1000","2000","500","null","null","true","74","716.8000001907349","r","toid","","","toid","control","r","","3","d","c","toic","0","4"
"1223.9000000953674","","same-different-html","19","167914","0.0-19.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","lansrasitequi","lansrasitequi","j","f","same","1000","2000","500","null","null","true","74","3424.2000002861023","rsss","lans","","ra_sit_equi","lansrasitequi","control","r","","2","n","l","lalsrasitequi","0","13"
"780","","same-different-html","20","172116","0.0-20.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","redédic","retédic","j","f","different","1000","2000","500","null","null","true","70","1421.5999999046326","ppr","dic","re_dé","","redédic","target","p","1.0","0","d","t","retédic","1","7"
"794.5999999046326","","same-different-html","21","180389","0.0-21.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","mirépsurctaoin","mirépsumctaoin","j","f","different","1000","2000","500","null","null","true","70","5583.599999904633","pprss","surc","mi_rép","ta_oin","mirépsurctaoin","control","r","","2","r","m","mirépsumctaoin","1","14"
"1205.5999999046326","","same-different-html","22","184582","0.0-22.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","redéclôtage","redéclôtage","j","f","same","1000","2000","500","null","null","true","74","982.0999999046326","pprs","clôt","re_dé","age","redéclôtage","target","p","1.0","0","d","s","reséclôtage","0","11"
"619.4000000953674","","same-different-html","23","187856","0.0-23.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","siatta","suatta","j","f","different","1000","2000","500","null","null","true","70","716.8000001907349","rs","siat","","ta","siatta","control","r","","1","i","u","suatta","1","6"
"824.0999999046326","","same-different-html","24","192558","0.0-24.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","subclôtination","subcmôtination","j","f","different","1000","2000","500","null","null","true","70","1964.2000002861023","prsss","clôt","sub","in_at_ion","subclôtination","target","r","","1","l","m","subcmôtination","1","14"
"593.8999996185303","","same-different-html","25","196755","0.0-25.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","ruspaurop","ruspourop","j","f","different","1000","2000","500","null","null","true","70","1566.1999998092651","pr_long","paurop","rus","","ruspaurop","control","r","","1","a","o","ruspourop","1","9"
"669.7000002861023","","same-different-html","26","200071","0.0-26.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","dicat","dicat","j","f","same","1000","2000","500","null","null","true","74","665.5","rs","dic","","at","dicat","target","s","0.0","1","t","s","dicas","0","5"
"541.7000002861023","","same-different-html","27","203255","0.0-27.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","kirnout","kirnous","j","f","different","1000","2000","500","null","null","true","70","726.8000001907349","r_long","kirnout","","","kirnout","target","r","","6","t","s","kirnous","1","7"
"687","","same-different-html","28","207397","0.0-28.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","imprénouration","umprénouration","j","f","different","1000","2000","500","null","null","true","70","1543.1999998092651","pprss","nour","im_pré","at_ion","imprénouration","target","p","0.0","0","i","u","umprénouration","1","14"
"730.1000003814697","","same-different-html","29","211514","0.0-29.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","trattaoinlaisem","tragtaoinlaisem","j","f","different","1000","2000","500","null","null","true","70","1407.8000001907349","rssss","trat","","ta_oin_la_isem","trattaoinlaisem","control","r","","3","t","g","tragtaoinlaisem","1","15"
"723.3000001907349","","same-different-html","30","215195","0.0-30.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","surcairoun","sursairoun","j","f","different","1000","2000","500","null","null","false","74","1061.0999999046326","pr_long","cairoun","sur","","surcairoun","target","r","","0","c","s","sursairoun","1","10"
"870.2000002861023","","same-different-html","31","220986","0.0-31.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","nisurcedu","nisurcedu","j","f","same","1000","2000","500","null","null","true","74","2832.5999999046326","prs","surc","ni","edu","nisurcedu","control","r","","1","u","a","nisarcedu","0","9"
"514.1999998092651","","same-different-html","32","225846","0.0-32.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","snalalisation","cnalalisation","j","f","different","1000","2000","500","null","null","true","70","2248.800000190735","rssss","snal","","al_is_at_ion","snalalisation","target","r","","0","s","c","cnalalisation","1","13"
"518.3000001907349","","same-different-html","33","229205","0.0-33.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","surenfil","surenfel","j","f","different","1000","2000","500","null","null","true","70","900.5999999046326","ppr","fil","sur_en","","surenfil","target","r","","1","i","e","surenfel","1","8"
"1013.2000002861023","","same-different-html","34","232901","0.0-34.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","erédvért","eradvért","j","f","different","1000","2000","500","null","null","false","74","831","ppr","vért","er_éd","","erédvért","control","p","1.0","0","é","a","eradvért","1","8"
"805.1999998092651","","same-different-html","35","236664","0.0-35.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","niletizusecne","niletizusicne","j","f","different","1000","2000","500","null","null","true","70","992.5","prs_long","letizus","ni","ecne","niletizusecne","control","s","0.0","0","e","i","niletizusicne","1","13"
"1480.7000002861023","","same-different-html","36","241078","0.0-36.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","nirountan","rirountan","j","f","different","1000","2000","500","null","null","false","74","849.8000001907349","prs","roun","ni","tan","nirountan","control","p","0.0","0","n","r","rirountan","1","9"
"945.1999998092651","","same-different-html","37","245057","0.0-37.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","édliflasitaoin","edliflasitaoin","j","f","different","1000","2000","500","null","null","true","70","1123.3000001907349","prssss","lif","éd","la_si_ta_oin","édliflasitaoin","control","p","0.0","0","é","e","edliflasitaoin","1","14"
"1838.8000001907349","","same-different-html","38","250110","0.0-38.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","naujtaoinlaisem","naujtaoinlaisem","j","f","same","1000","2000","500","null","null","false","70","1223.1999998092651","rssss","nauj","","ta_oin_la_isem","naujtaoinlaisem","control","r","","0","n","r","raujtaoinlaisem","0","15"
"1165.6999998092651","","same-different-html","39","254759","0.0-39.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","décairounable","sécairounable","j","f","different","1000","2000","500","null","null","true","70","1619.1999998092651","prs_long","cairoun","dé","able","décairounable","target","p","0.0","0","d","s","sécairounable","1","13"
"1327.3999996185303","","same-different-html","40","259549","0.0-40.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","tainlatiasoin","tainlatiasoin","j","f","same","1000","2000","500","null","null","true","74","1427.0999999046326","rsss","tain","","la_tias_oin","tainlatiasoin","control","r","","3","n","r","tairlatiasoin","0","13"
"1143.4000000953674","","same-different-html","41","263924","0.0-41.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","dédicalisation","dédicalisation","j","f","same","1000","2000","500","null","null","true","74","1193.7000002861023","prssss","dic","dé","al_is_at_ion","dédicalisation","target","s","1.0","1","s","c","dédicalication","0","14"
"1275.2000002861023","","same-different-html","42","269255","0.0-42.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","naitationalisme","naitationalisme","j","f","same","1000","2000","500","null","null","true","74","2162.8999996185303","rssss","nait","","at_ion_al_isme","naitationalisme","target","r","","0","n","r","raitationalisme","0","15"
"1143.5999999046326","","same-different-html","43","273460","0.0-43.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","imprécomation","imprécamation","j","f","different","1000","2000","500","null","null","true","70","1084.8000001907349","pprss","com","im_pré","at_ion","imprécomation","target","r","","1","o","a","imprécamation","1","13"
"801.8000001907349","","same-different-html","44","277013","0.0-44.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","deucham","daucham","j","f","different","1000","2000","500","null","null","false","74","771.2000002861023","r_long","deucham","","","deucham","control","r","","1","e","a","daucham","1","7"
"726.8000001907349","","same-different-html","45","282015","0.0-45.0","stimuli/27.csv","false","y3fzwnbctp","","","","","","same-different-html","mirépnaujtaoin","merépnaujtaoin","j","f","different","1000","2000","500","null","null","true","70","2134.5999999046326","pprss","nauj","mi_rép","ta_oin","mirépnaujtaoin","control","p","0.0","1","i","e","merépnaujtaoin","1","14"
