"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","target_type","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error","wordlength"
"3631","external-consent.html","external-html","0","3773","0.0-0.0","stimuli/35.csv","false","u6czk7qx94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4923","","survey-dropdown","1","8699","0.0-1.0","stimuli/35.csv","false","u6czk7qx94","{""Q0"":""22"",""Q1"":""Ba""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","resize","2","28173","0.0-2.0","stimuli/35.csv","false","u6czk7qx94","","","405","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63175","","instructions","3","91347","0.0-3.0","stimuli/35.csv","false","u6czk7qx94","","","","","[{""page_index"":0,""viewing_time"":63175}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1812","","same-different-html","4","100818","0.0-4.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","decra","debra","j","f","different","1000","2000","500","null","null","true","70","108","","","","","","","","","","","","","",""
"1390","","same-different-html","5","107985","0.0-5.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","keirationally","keiyationally","j","f","different","1000","2000","500","null","null","true","70","2937","rssss","keir","","at_ion_al_ly","keirationally","target","r","","3","r","y","keiyationally","1","13"
"1396","","same-different-html","6","116097","0.0-6.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","koulationalist","koulatiomalist","j","f","different","1000","2000","500","null","null","true","70","4206","rssss","koul","","at_ion_al_ist","koulationalist","target","s","1.0","2","n","m","koulatiomalist","1","14"
"1631","","same-different-html","7","123607","0.0-7.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","lejentenca","lejentenca","j","f","same","1000","2000","500","null","null","true","74","3494","rs_long","lejent","","enca","lejentenca","control","s","0.0","2","c","h","lejentenha","0","10"
"1137","","same-different-html","8","129180","0.0-8.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","prasance","plasance","j","f","different","1000","2000","500","null","null","true","70","1984","rs","pras","","ance","prasance","target","r","","1","r","l","plasance","1","8"
"2438","","same-different-html","9","138583","0.0-9.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","trigouissens","trigouissens","j","f","same","1000","2000","500","null","null","true","74","4245","rss","trig","","ouis_sens","trigouissens","control","s","0.0","3","s","p","trigouipsens","0","12"
"1100","","same-different-html","10","146859","0.0-10.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","rentiziperel","rertiziperel","j","f","different","1000","2000","500","null","null","true","70","3565","pr_long","ziperel","renti","","rentiziperel","control","p","0.0","2","n","r","rertiziperel","1","12"
"1261","","same-different-html","11","153819","0.0-11.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","repsimriek","repsimriek","j","f","same","1000","2000","500","null","null","true","74","2971","ppr","riek","rep_sim","","repsimriek","control","p","1.0","0","s","f","repfimriek","0","10"
"783","","same-different-html","12","159934","0.0-12.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","ersimmear","ersimmiar","j","f","different","1000","2000","500","null","null","true","70","3033","ppr","mear","er_sim","","ersimmear","control","r","","1","e","i","ersimmiar","1","9"
"783","","same-different-html","13","165121","0.0-13.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","remisdarf","remisdarf","j","f","same","1000","2000","500","null","null","true","74","1791","ppr","darf","re_mis","","remisdarf","target","r","","1","a","i","remisdirf","0","9"
"2004","","same-different-html","14","173274","0.0-14.0","stimuli/35.csv","false","u6czk7qx94","","","","","","same-different-html","ertranilnemt","ertranilnemt","j","f","same","1000","2000","500","null","null","true","74","4012","prs_long","tranil","er","nemt","ertranilnemt","control","p","0.0","1","r","y","eytranilnemt","0","12"
