first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
undelim,untelim,ppr,pp,,lim,un_de,,undelim,target,p,1.0,0,d,t,untelim,1
undeglocise,undeglocase,pprs,pp,s,gloc,un_de,ise,undeglocise,target,s,0.0,0,i,a,undeglocase,1
ernusimwert,ernusimwert,pppr,ppp,,wert,er_nu_sim,,ernusimwert,control,p,2.0,2,m,w,ernusiwwert,0
redismon,rodismon,ppr,pp,,mon,re_dis,,redismon,target,p,0.0,1,e,o,rodismon,1
misfen,misfen,pr,p,,fen,mis,,misfen,target,r,,0,f,h,mishen,0
nurdsuoiylssen,nurdsuoiylssen,rsss,,sss,nurd,,suoi_yl_ssen,nurdsuoiylssen,control,s,1.0,1,l,m,nurdsuoiymssen,0
carper,carpel,rs,,s,carp,,er,carper,target,s,0.0,1,r,l,carpel,1
ernusimriek,ernusimriek,pppr,ppp,,riek,er_nu_sim,,ernusimriek,control,r,,3,k,p,ernusimriep,0
nitekre,nitekre,prs,p,s,tek,ni,re,nitekre,control,s,0.0,0,r,y,nitekye,0
undevolk,undevalk,ppr,pp,,volk,un_de,,undevolk,target,r,,1,o,a,undevalk,1
mislarb,mislarb,pr,p,,larb,mis,,mislarb,target,p,0.0,2,s,d,midlarb,0
resalableness,wesalableness,rsss,,sss,res,,al_able_ness,resalableness,target,r,,0,r,w,wesalableness,1
purtcilufssen,purtcilufssen,rsss,,sss,purt,,ci_luf_ssen,purtcilufssen,control,r,,2,r,l,pultcilufssen,0
nunahclayl,nunahclayl,prss,p,ss,nahc,nu,la_yl,nunahclayl,control,r,,2,h,b,nunabclayl,0
erpnuc,erpnuc,pr,p,,nuc,erp,,erpnuc,control,r,,0,n,w,erpwuc,0
misgesation,mitgesation,prs,p,s,ges,mis,ation,misgesation,target,p,0.0,2,s,t,mitgesation,1
wrog,wros,r,,,wrog,,,wrog,control,r,,3,g,s,wros,1
inmeinableness,inmeinableness,prss,p,ss,mein,in,able_ness,inmeinableness,target,s,0.0,2,l,m,inmeinabmeness,0
nifolelbassen,nifolelbassen,prss,p,ss,fol,ni,elba_ssen,nifolelbassen,control,p,0.0,1,i,o,nofolelbassen,0
