first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
ernimruz,ernimluz,ppr,pp,,mruz,er_ni,,ernimruz,control,r,,1,r,l,ernimluz,1
disberishness,disberishness,prss,p,ss,ber,dis,ish_ness,disberishness,target,r,,2,r,n,disbenishness,0
nuerpnuc,neerpnuc,ppr,pp,,nuc,nu_erp,,nuerpnuc,control,p,0.0,1,u,e,neerpnuc,1
rednuxerodamnoilli,rednuxerodamnoilli,pprs,pp,s,rodam,rednu_xe,noilli,rednuxerodamnoilli,control,s,0.0,1,o,u,rednuxerodamnuilli,0
reyarbion,renarbion,prs,p,s,yarb,re,ion,reyarbion,target,r,,0,y,n,renarbion,1
unclat,urclat,pr,p,,clat,un,,unclat,target,p,0.0,1,n,r,urclat,1
nuernocmak,nuernocmak,pppr,ppp,,mak,nu_er_noc,,nuernocmak,control,r,,2,k,h,nuernocmah,0
zurmalistic,zurmalistic,rsss,,sss,zurm,,al_ist_ic,zurmalistic,target,r,,3,m,w,zurwalistic,0
unreconbodate,unreconbodate,ppprs,ppp,s,bod,un_re_con,ate,unreconbodate,target,p,2.0,0,c,t,unretonbodate,0
folraezi,fomraezi,rss,,ss,fol,,ra_ezi,folraezi,control,r,,2,l,m,fomraezi,1
nondecunliness,nondecunliness,pprss,pp,ss,cun,non_de,li_ness,nondecunliness,target,s,0.0,0,l,m,nondecunminess,0
arestily,arostily,prsss,p,sss,res,a,t_i_ly,arestily,target,r,,1,e,o,arostily,1
aglocorial,aglocoroal,prss,p,ss,gloc,a,or_ial,aglocorial,target,s,1.0,0,i,o,aglocoroal,1
koticality,keticality,rsss,,sss,kot,,ic_al_ity,koticality,target,r,,1,o,e,keticality,1
nuernoctay,nuernohtay,pppr,ppp,,tay,nu_er_noc,,nuernoctay,control,p,2.0,2,c,h,nuernohtay,1
flonal,flonal,rs,,s,flon,,al,flonal,target,s,0.0,0,a,e,flonel,0
nas,nos,r,,,nas,,,nas,control,r,,1,a,o,nos,1
nahcsselyl,nehcsselyl,rss,,ss,nahc,,ssel_yl,nahcsselyl,control,r,,1,a,e,nehcsselyl,1
ersusfol,ersusfol,ppr,pp,,fol,er_sus,,ersusfol,control,p,1.0,0,s,b,erbusfol,0
sidklovre,sidklovru,prs,p,s,klov,sid,re,sidklovre,control,s,0.0,1,e,u,sidklovru,1
asegnezi,asegnezi,prss,p,ss,seg,a,n_ezi,asegnezi,control,r,,2,g,f,asefnezi,0
sidnipracevi,sidnipracevi,pprs,pp,s,prac,sid_ni,evi,sidnipracevi,control,s,0.0,1,v,t,sidnipraceti,0
adoblufyl,udoblufyl,prss,p,ss,dob,a,luf_yl,adoblufyl,control,p,0.0,0,a,u,udoblufyl,1
nibuatci,nibuatci,prs,p,s,buat,ni,ci,nibuatci,control,r,,2,a,e,nibuetci,0
prenadoriously,prenadoriously,prsss,p,sss,nad,pre,or_ious_ly,prenadoriously,target,p,0.0,2,e,a,pranadoriously,0
prober,probar,pr,p,,ber,pro,,prober,target,r,,1,e,a,probar,1
detrup,detrap,pr,p,,trup,de,,detrup,target,r,,2,u,a,detrap,1
nuernocnas,nuernocnas,pppr,ppp,,nas,nu_er_noc,,nuernocnas,control,p,0.0,0,n,r,ruernocnas,0
misiddan,misiddan,ppr,pp,,dan,mi_sid,,misiddan,control,p,0.0,1,i,o,mosiddan,0
superingloc,supewingloc,ppr,pp,,gloc,super_in,,superingloc,target,p,0.0,4,r,w,supewingloc,1
niniem,niniem,pr,p,,niem,ni,,niniem,control,r,,0,n,r,niriem,0
uninterkamationist,oninterkamationist,pprsss,pp,sss,kam,un_inter,at_ion_ist,uninterkamationist,target,p,0.0,0,u,o,oninterkamationist,1
pupurttanoitsi,pupurctanoitsi,prsss,p,sss,purt,pu,ta_noi_tsi,pupurttanoitsi,control,r,,3,t,c,pupurctanoitsi,1
unreconlof,unraconlof,pppr,ppp,,lof,un_re_con,,unreconlof,target,p,1.0,1,e,a,unraconlof,1
niserissen,niserissen,prss,p,ss,ser,ni,i_ssen,niserissen,control,r,,1,e,o,nisorissen,0
maryl,maryl,rs,,s,mar,,yl,maryl,control,r,,0,m,w,waryl,0
inhirtily,inhirtily,prss,p,ss,hirt,in,i_ly,inhirtily,target,s,0.0,0,i,e,inhirtely,0
