first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
decunalization,decunalization,prssss,cun,de,al_iz_at_ion,decunalization,target,p,0.0,1,e,u,ducunalization,0,14
contalisticly,contalisticly,rssss,cont,,al_ist_ic_ly,contalisticly,target,r,,3,t,b,conbalisticly,0,13
reoverwis,reoverwis,ppr,wis,re_over,,reoverwis,target,p,0.0,0,r,l,leoverwis,0,9
nifeectanyl,nifeegtanyl,prss,feeg,ni,tan_yl,nifeegtanyl,control,r,,3,g,c,nifeectanyl,3,11
ernearozelba,erneamozelba,prs_long,nearoz,er,elba,ernearozelba,control,r,,3,r,m,erneamozelba,1,12
teakalistic,teakalistic,rsss,teak,,al_ist_ic,teakalistic,target,s,2.0,1,c,t,teakalistit,0,11
nocelba,nocelba,rs,noc,,elba,nocelba,control,s,0.0,1,l,m,nocemba,0,7
rekelsate,rakelsate,prs,kels,re,ate,rekelsate,target,p,0.0,1,e,a,rakelsate,1,9
urmerically,unmerically,prsss,mer,un,ic_al_ly,unmerically,target,p,0.0,1,n,r,urmerically,3,11
drunoonal,drunoonal,rss,drun,,ion_al,drunional,target,s,0.0,0,i,o,drunoonal,2,9
ram,ram,r,rem,,,rem,control,r,,1,e,a,ram,2,3
unicont,unicont,pr,cont,uni,,unicont,target,p,0.0,0,u,e,enicont,0,7
sidneselkouissens,sidniselkouissens,pprss,selk,sid_ni,ouis_sens,sidniselkouissens,control,p,1.0,1,i,e,sidneselkouissens,3,17
juntorious,jentorious,rs_long,jentor,,ious,jentorious,target,r,,1,e,u,juntorious,3,10
losicur,losicur,r_long,losicur,,,losicur,control,r,,2,s,d,lodicur,0,7
unmiscunablu,unmiscunable,pprs,cun,un_mis,able,unmiscunable,target,s,0.0,3,e,u,unmiscunablu,3,12
subtrilock,subtrilock,pr_long,trilock,sub,,subtrilock,target,p,0.0,0,s,t,tubtrilock,0,10
namptor,namdtor,r_long,namptor,,,namptor,target,r,,3,p,d,namdtor,1,7
siom,soom,r,soom,,,soom,target,r,,1,o,i,siom,3,4
erveronurd,erveronurt,ppr,nurd,er_vero,,erveronurd,control,r,,3,d,t,erveronurt,1,10
eddalctaonialsim,edtalctaonialsim,prssss,talc,ed,ta_oni_al_sim,edtalctaonialsim,control,r,,0,t,d,eddalctaonialsim,3,16
mistrivinion,mistrivinion,prs_long,trivin,mis,ion,mistrivinion,target,r,,5,n,l,mistrivilion,0,12
kelsationajly,kelsationally,rssss,kels,,at_ion_al_ly,kelsationally,target,s,2.0,1,l,j,kelsationajly,3,13
nugemtaonila,nugentaonila,prsss,gen,nu,ta_oni_la,nugentaonila,control,r,,2,n,m,nugemtaonila,3,12
mofonila,mofonila,rss,mof,,oni_la,mofonila,control,s,0.0,0,o,a,mofanila,0,8
reaketa,reaketa,rs,meak,,eta,meaketa,control,r,,0,m,r,reaketa,2,7
ermafeta,eymafeta,prs,maf,er,eta,ermafeta,control,p,0.0,1,r,y,eymafeta,1,8
ortekhisnemt,ertekhisnemt,prss,tek,er,his_nemt,ertekhisnemt,control,p,0.0,0,e,o,ortekhisnemt,3,12
nearozenca,nuarozenca,rs_long,nearoz,,enca,nearozenca,control,r,,1,e,u,nuarozenca,1,10
infomiausly,infomiously,pprss,fom,in,ious_ly,infomiously,target,s,0.0,1,o,a,infomiausly,3,11
praflenit,proflenit,pr_long,flenit,pro,,proflenit,target,p,0.0,2,o,a,praflenit,3,9
meaklesitci,meaklesitci,rsss,meak,,la_sit_ci,meaklasitci,control,s,0.0,1,a,e,meaklesitci,2,11
ertalc,ertalc,pr,talc,er,,ertalc,control,p,0.0,1,r,m,emtalc,0,6
nisidloukoni,nisidroukoni,pprs,louk,ni_sid,oni,nisidloukoni,control,r,,0,l,r,nisidroukoni,1,12
selktaonilayl,selktaonilayl,rssss,selk,,ta_oni_la_yl,selktaonilayl,control,s,2.0,0,l,y,selktaoniyayl,0,13
decunationalism,decunationalism,prssss,cun,de,at_ion_al_ism,decunationalism,target,s,1.0,1,o,i,decunatiinalism,0,15
drunate,dnunate,rs,drun,,ate,drunate,target,r,,1,r,n,dnunate,1,7
siddrelant,siddrelint,pr_long,drelint,sid,,siddrelint,control,r,,4,i,a,siddrelant,3,10
nefelgsens,yefelgsens,rs_long,nefelg,,sens,nefelgsens,control,r,,0,n,y,yefelgsens,1,10
