first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
prasalistic,prasamistic,rsss,pras,,al_ist_ic,prasalistic,target,s,0.0,1,l,m,prasamistic,1
unclatationally,onclatationally,prssss,clat,un,at_ion_al_ly,unclatationally,target,p,0.0,0,u,o,onclatationally,1
ersidkeat,ersidkeat,ppr,keat,er_sid,,ersidkeat,control,p,0.0,0,e,i,irsidkeat,0
lonment,lonment,rs,lon,,ment,lonment,target,r,,0,l,r,ronment,0
ernitek,ernitek,ppr,tek,er_ni,,ernitek,control,r,,2,k,g,erniteg,0
onnnurdla,onnnerdla,prs,nurd,onn,la,onnnurdla,control,r,,1,u,e,onnnerdla,1
moossit,moossit,rs,moos,,sit,moossit,control,r,,1,o,i,miossit,0
untrupfulness,untrupfulness,prss,trup,un,ful_ness,untrupfulness,target,r,,2,u,e,untrepfulness,0
onnerriekviyti,onnerroekviyti,pprss,riek,onn_er,vi_yti,onnerriekviyti,control,r,,1,i,o,onnerroekviyti,1
onnertrigviyti,onnertrigviyti,pprss,trig,onn_er,vi_yti,onnertrigviyti,control,p,1.0,1,r,m,onnemtrigviyti,0
negful,negful,rs,neg,,ful,negful,target,r,,0,n,m,megful,0
nitecnoilayl,nitecnoilayl,prsss,tec,ni,noi_la_yl,nitecnoilayl,control,r,,0,t,h,nihecnoilayl,0
selblasitciyl,selblasitciyl,rssss,selb,,la_sit_ci_yl,selblasitciyl,control,s,0.0,0,l,m,selbmasitciyl,0
clatant,tlatant,rs,clat,,ant,clatant,target,r,,0,c,t,tlatant,1
veromoosevi,veromoosevi,prs,moos,vero,evi,veromoosevi,control,r,,0,m,l,veroloosevi,0
nimoosnoilayl,nimoosnoilayl,prsss,moos,ni,noi_la_yl,nimoosnoilayl,control,s,0.0,2,i,e,nimoosnoelayl,0
ernisarpacne,ernisarpacna,pprs,sarp,er_ni,acne,ernisarpacne,control,s,0.0,3,e,a,ernisarpacna,1
interlien,interliin,pr,lien,inter,,interlien,target,r,,2,e,i,interliin,1
geedalisticly,geedalisticly,rssss,geed,,al_ist_ic_ly,geedalisticly,target,r,,3,d,c,geecalisticly,0
edselblazitanoi,edselblazitanoi,prssss,selb,ed,la_zi_ta_noi,edselblazitanoi,control,s,2.0,1,a,i,edselblazitinoi,0
rediskrew,rediskrew,ppr,krew,re_dis,,rediskrew,target,p,0.0,1,e,i,ridiskrew,0
koopyl,koopyl,rs,koop,,yl,koopyl,control,s,0.0,0,y,n,koopnl,0
deegtan,deegtan,rs,deeg,,tan,deegtan,control,r,,3,g,v,deevtan,0
ernilouk,erlilouk,ppr,louk,er_ni,,ernilouk,control,p,1.0,0,n,l,erlilouk,1
onnernucviyti,onnernucviyti,pprss,nuc,onn_er,vi_yti,onnernucviyti,control,s,1.0,2,i,e,onnernucviyte,0
wisationalism,wisationalism,rssss,wis,,at_ion_al_ism,wisationalism,target,r,,1,i,e,wesationalism,0
imtrupically,amtrupically,prsss,trup,im,ic_al_ly,imtrupically,target,p,0.0,0,i,a,amtrupically,1
reinkoulment,reinkuulment,pprs,koul,re_in,ment,reinkoulment,target,r,,1,o,u,reinkuulment,1
mearro,mearro,rs,mear,,ro,mearro,control,r,,0,m,r,rearro,0
imgirtically,imgirtically,prsss,girt,im,ic_al_ly,imgirtically,target,r,,1,i,o,imgortically,0
otumof,otuyof,pr,mof,otu,,otumof,control,r,,0,m,y,otuyof,1
lonliness,lonloness,rss,lon,,li_ness,lonliness,target,s,0.0,1,i,o,lonloness,1
onnermearviyti,onnermearviyti,pprss,mear,onn_er,vi_yti,onnermearviyti,control,s,0.0,0,v,f,onnermearfiyti,0
ertrig,ertrig,pr,trig,er,,ertrig,control,r,,3,g,s,ertris,0
remisprasment,remisprasment,pprs,pras,re_mis,ment,remisprasment,target,r,,1,r,m,remispmasment,0
disclatableness,disclatableness,prss,clat,dis,able_ness,disclatableness,target,r,,1,l,r,discratableness,0
disinpookion,gisinpookion,pprs,pook,dis_in,ion,disinpookion,target,p,0.0,0,d,g,gisinpookion,1
nireemvitaino,nireemtitaino,prsss,reem,ni,vi_ta_ino,nireemvitaino,control,s,0.0,0,v,t,nireemtitaino,1
moralistic,moralistoc,rsss,mor,,al_ist_ic,moralistic,target,s,2.0,0,i,o,moralistoc,1
sarponi,sarpani,rs,sarp,,oni,sarponi,control,s,0.0,0,o,a,sarpani,1
nonrecunivity,nonwecunivity,pprss,cun,non_re,iv_ity,nonrecunivity,target,p,1.0,0,r,w,nonwecunivity,1
desoomize,desoowize,prs,soom,de,ize,desoomize,target,r,,3,m,w,desoowize,1
pookalistic,peokalistic,rsss,pook,,al_ist_ic,pookalistic,target,r,,1,o,e,peokalistic,1
dewisization,dewisization,prsss,wis,de,iz_at_ion,dewisization,target,s,2.0,1,o,i,dewisizatiin,0
ednollazitanoi,idnollazitanoi,prssss,nol,ed,la_zi_ta_noi,ednollazitanoi,control,p,0.0,0,e,i,idnollazitanoi,1
touneilneyl,teuneilneyl,prss,neil,tou,ne_yl,touneilneyl,control,p,0.0,1,o,e,teuneilneyl,1
meerically,meerically,rsss,meer,,ic_al_ly,meerically,target,r,,1,e,a,maerically,0
nonrebelsivity,nonrebelsevity,pprss,bels,non_re,iv_ity,nonrebelsivity,target,s,0.0,0,i,e,nonrebelsevity,1
dobsitcieta,dobsitcieta,rsss,dob,,sit_ci_eta,dobsitcieta,control,r,,0,d,s,sobsitcieta,0
meerness,meernecs,rs,meer,,ness,meerness,target,s,0.0,2,s,c,meernecs,1
midobcilayl,midobcilayr,prsss,dob,mi,ci_la_yl,midobcilayl,control,s,2.0,1,l,r,midobcilayr,1
geedliness,geedliness,rss,geed,,li_ness,geedliness,target,s,0.0,0,l,w,geedwiness,0
inwisivation,inwisovation,prsss,wis,in,iv_at_ion,inwisivation,target,s,0.0,0,i,o,inwisovation,1
reammentally,reammentally,rsss,ream,,ment_al_ly,reammentally,target,r,,0,r,n,neammentally,0
mideegyl,mideegyl,prs,deeg,mi,yl,mideegyl,control,r,,0,d,h,miheegyl,0
deglocationalism,deglocationalism,prssss,gloc,de,at_ion_al_ism,deglocationalism,target,s,2.0,0,a,o,deglocationolism,0
dereamalization,dereamalization,prssss,ream,de,al_iz_at_ion,dereamalization,target,s,3.0,0,i,a,dereamalizataon,0
cetal,setal,rs,cet,,al,cetal,target,r,,0,c,s,setal,1
negical,negicol,rss,neg,,ic_al,negical,target,s,1.0,0,a,o,negicol,1
noleta,noleca,rs,nol,,eta,noleta,control,s,0.0,1,t,c,noleca,1
dispontfulness,dispontculness,prss,pont,dis,ful_ness,dispontfulness,target,s,0.0,0,f,c,dispontculness,1
deegilsens,doegilsens,rss,deeg,,il_sens,deegilsens,control,r,,1,e,o,doegilsens,1
teklasim,teklasim,rss,tek,,la_sim,teklasim,control,r,,1,e,a,taklasim,0
mearcila,mearcila,rss,mear,,ci_la,mearcila,control,s,0.0,0,c,p,mearpila,0
onnernolviyti,onnernolviyti,pprss,nol,onn_er,vi_yti,onnernolviyti,control,r,,2,l,r,onnernorviyti,0
keatsitcieta,keotsitcieta,rsss,keat,,sit_ci_eta,keatsitcieta,control,r,,2,a,o,keotsitcieta,1
disinkrewiously,disinkrewiously,pprss,krew,dis_in,ious_ly,disinkrewiously,target,p,0.0,1,i,u,dusinkrewiously,0
girtistically,girtistically,rssss,girt,,ist_ic_al_ly,girtistically,target,s,3.0,1,y,m,girtisticallm,0
miskrewfulness,miskrewfulneds,prss,krew,mis,ful_ness,miskrewfulness,target,s,1.0,2,s,d,miskrewfulneds,1
indrunionally,indrunionally,prsss,drun,in,ion_al_ly,indrunionally,target,s,2.0,0,l,w,indrunionalwy,0
exlien,exlien,pr,lien,ex,,exlien,target,r,,0,l,m,exmien,0
glocion,glocion,rs,gloc,,ion,glocion,target,r,,1,l,r,grocion,0
neiltainolasit,neiltainolasit,rssss,neil,,ta_ino_la_sit,neiltainolasit,control,s,3.0,1,i,e,neiltainolaset,0
sidnikoopouisyl,sidnikoopouisyl,pprss,koop,sid_ni,ouis_yl,sidnikoopouisyl,control,r,,3,p,d,sidnikoodouisyl,0
keirationally,keirationally,rssss,keir,,at_ion_al_ly,keirationally,target,r,,2,i,e,keerationally,0
sidnimarnat,sidnimarnat,pprs,mar,sid_ni,nat,sidnimarnat,control,p,1.0,1,i,e,sidnemarnat,0
purtlasitciyl,purtlasitciyl,rssss,purt,,la_sit_ci_yl,purtlasitciyl,control,s,3.0,1,l,m,purtlasitciym,0
intergeed,intergaed,pr,geed,inter,,intergeed,target,r,,1,e,a,intergaed,1
badoblayl,kadoblayl,prss,dob,ba,la_yl,badoblayl,control,p,0.0,0,b,k,kadoblayl,1
depont,depont,pr,pont,de,,depont,target,r,,0,p,d,dedont,0
ersimnautnemt,erdimnautnemt,pprs,naut,er_sim,nemt,ersimnautnemt,control,p,1.0,0,s,d,erdimnautnemt,1
nicolgvitaino,nicolgvitaino,prsss,colg,ni,vi_ta_ino,nicolgvitaino,control,r,,2,l,r,nicorgvitaino,0
nupurtyl,mupurtyl,prs,purt,nu,yl,nupurtyl,control,p,0.0,0,n,m,mupurtyl,1
girtliness,girtyiness,rss,girt,,li_ness,girtliness,target,s,0.0,0,l,y,girtyiness,1
interfom,inherfom,pr,fom,inter,,interfom,target,p,0.0,2,t,h,inherfom,1
exclat,axclat,pr,clat,ex,,exclat,target,p,0.0,0,e,a,axclat,1
reinreamance,reinreamance,pprs,ream,re_in,ance,reinreamance,target,p,0.0,1,e,o,roinreamance,0
nonremorivity,nonremorivitm,pprss,mor,non_re,iv_ity,nonremorivity,target,s,1.0,2,y,m,nonremorivitm,1
mormentalism,mormentalism,rsss,mor,,ment_al_ism,mormentalism,target,s,2.0,1,s,t,mormentalitm,0
reneg,reneg,pr,neg,re,,reneg,target,r,,0,n,w,reweg,0
ermikoopelba,ermikoopelba,pprs,koop,er_mi,elba,ermikoopelba,control,p,0.0,1,r,m,emmikoopelba,0
interpont,interpolt,pr,pont,inter,,interpont,target,r,,2,n,l,interpolt,1
nonrecetivity,nonrecetevity,pprss,cet,non_re,iv_ity,nonrecetivity,target,s,0.0,0,i,e,nonrecetevity,1
pretrupically,pretrupically,prsss,trup,pre,ic_al_ly,pretrupically,target,s,1.0,0,a,e,pretrupicelly,0
colgla,colgla,rs,colg,,la,colgla,control,s,0.0,1,a,e,colgle,0
clatliness,clatliness,rss,clat,,li_ness,clatliness,target,s,1.0,1,e,o,clatlinoss,0
keirmentally,keirmentally,rsss,keir,,ment_al_ly,keirmentally,target,s,1.0,0,a,e,keirmentelly,0
ergen,argen,pr,gen,er,,ergen,control,p,0.0,0,e,a,argen,1
riekulfsens,riakulfsens,rss,riek,,ulf_sens,riekulfsens,control,r,,2,e,a,riakulfsens,1
nurdsitcilayl,murdsitcilayl,rssss,nurd,,sit_ci_la_yl,nurdsitcilayl,control,r,,0,n,m,murdsitcilayl,1
exram,exram,pr,ram,ex,,exram,target,p,0.0,1,x,d,edram,0
riekilsens,reekilsens,rss,riek,,il_sens,riekilsens,control,r,,1,i,e,reekilsens,1
erselb,enselb,pr,selb,er,,erselb,control,p,0.0,1,r,n,enselb,1
sidreemlusssen,sidreemlusssen,prss,reem,sid,lus_ssen,sidreemlusssen,control,r,,1,e,u,sidruemlusssen,0
belsist,bewsist,rs,bels,,ist,belsist,target,r,,2,l,w,bewsist,1
meeristic,meiristic,rss,meer,,ist_ic,meeristic,target,r,,2,e,i,meiristic,1
martainolayl,martainolayl,rssss,mar,,ta_ino_la_yl,martainolayl,control,s,3.0,0,y,n,martainolanl,0
unkrewationally,unkrewationally,prssss,krew,un,at_ion_al_ly,unkrewationally,target,s,0.0,0,a,e,unkrewetionally,0
remislonment,remislonment,pprs,lon,re_mis,ment,remislonment,target,s,0.0,1,e,a,remislonmant,0
moosnemt,moosnemt,rs,moos,,nemt,moosnemt,control,s,0.0,1,e,a,moosnamt,0
nucolgelba,necolgelba,prs,colg,nu,elba,nucolgelba,control,p,0.0,1,u,e,necolgelba,1
edromzitaino,edromzitaino,prsss,rom,ed,zi_ta_ino,edromzitaino,control,p,0.0,0,e,a,adromzitaino,0
nugencila,nugencila,prss,gen,nu,ci_la,nugencila,control,r,,2,n,r,nugercila,0
unmislonable,ulmislonable,pprs,lon,un_mis,able,unmislonable,target,p,0.0,1,n,l,ulmislonable,1
pont,vont,r,pont,,,pont,target,r,,0,p,v,vont,1
mearcilayl,mearcimayl,rsss,mear,,ci_la_yl,mearcilayl,control,s,1.0,0,l,m,mearcimayl,1
edkooplazitanoi,edkooplazitanoi,prssss,koop,ed,la_zi_ta_noi,edkooplazitanoi,control,s,2.0,1,a,i,edkooplazitinoi,0
ersimsarp,ersimserp,ppr,sarp,er_sim,,ersimsarp,control,r,,1,a,e,ersimserp,1
