first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
redeglocmental,redeglocmental,pprss,pp,ss,gloc,re_de,ment_al,redeglocmental,target,s,1.0,1,l,y,redeglocmentay,0
degloc,degloc,pr,p,,gloc,de,,degloc,target,r,,2,o,e,deglec,0
ernicolgeta,ernicolgeta,pprs,pp,s,colg,er_ni,eta,ernicolgeta,control,r,,2,l,r,ernicorgeta,0
reroully,reroully,prs,p,s,roul,re,ly,reroully,target,s,0.0,0,l,m,reroulmy,0
clatically,claticarly,rsss,,sss,clat,,ic_al_ly,clatically,target,s,1.0,1,l,r,claticarly,1
inmeer,onmeer,pr,p,,meer,in,,inmeer,target,p,0.0,0,i,o,onmeer,1
ersimpurtcila,ersimpurtcila,pprss,pp,ss,purt,er_sim,ci_la,ersimpurtcila,control,p,0.0,1,r,y,eysimpurtcila,0
prasal,grasal,rs,,s,pras,,al,prasal,target,r,,0,p,g,grasal,1
erpedtecnoita,ervedtecnoita,pprs,pp,s,tec,erp_ed,noita,erpedtecnoita,control,p,0.0,2,p,v,ervedtecnoita,1
wismentally,wismontally,rsss,,sss,wis,,ment_al_ly,wismentally,target,s,0.0,1,e,o,wismontally,1
fomistic,foristic,rss,,ss,fom,,ist_ic,fomistic,target,r,,2,m,r,foristic,1
remisbelsate,remisbelsate,pprs,pp,s,bels,re_mis,ate,remisbelsate,target,r,,1,e,o,remisbolsate,0
carpation,carpatoon,rs,,s,carp,,ation,carpation,target,s,0.0,2,i,o,carpatoon,1
regirtalistic,regirtalistic,prsss,p,sss,girt,re,al_ist_ic,regirtalistic,target,p,0.0,0,r,m,megirtalistic,0
glocment,slocment,rs,,s,gloc,,ment,glocment,target,r,,0,g,s,slocment,1
erpsimcolg,erpsimcolg,ppr,pp,,colg,erp_sim,,erpsimcolg,control,r,,2,l,n,erpsimcong,0
drunlyness,drunlyness,rss,,ss,drun,,ly_ness,drunlyness,target,r,,0,d,h,hrunlyness,0
reoverpookfullyness,reoverpoikfullyness,pprsss,pp,sss,pook,re_over,ful_ly_ness,reoverpookfullyness,target,r,,2,o,i,reoverpoikfullyness,1
unireamal,unireamal,prs,p,s,ream,uni,al,unireamal,target,r,,1,e,a,uniraamal,0
ersidrom,emsidrom,ppr,pp,,rom,er_sid,,ersidrom,control,p,0.0,1,r,m,emsidrom,1
koop,koop,r,,,koop,,,koop,control,r,,2,o,a,koap,0
nideeh,niheeh,pr,p,,deeh,ni,,nideeh,control,r,,0,d,h,niheeh,1
gejlufylssen,gejlufylssen,rsss,,sss,gej,,luf_yl_ssen,gejlufylssen,control,s,2.0,1,s,p,gejlufylspen,0
nunisiweta,runisiweta,pprs,pp,s,siw,nu_ni,eta,nunisiweta,control,p,0.0,0,n,r,runisiweta,1
orpwerk,orpweyk,pr,p,,werk,orp,,orpwerk,control,r,,2,r,y,orpweyk,1
edmaercilayl,edmaercilayl,prsss,p,sss,maer,ed,ci_la_yl,edmaercilayl,control,r,,1,a,e,edmeercilayl,0
mimar,mirar,pr,p,,mar,mi,,mimar,control,r,,0,m,r,mirar,1
redefomation,redefojation,pprs,pp,s,fom,re_de,ation,redefomation,target,r,,2,m,j,redefojation,1
edmaer,edmeer,pr,p,,maer,ed,,edmaer,control,r,,1,a,e,edmeer,1
ernitek,ernicek,ppr,pp,,tek,er_ni,,ernitek,control,r,,0,t,c,ernicek,1
ernineir,ernineer,ppr,pp,,neir,er_ni,,ernineir,control,r,,2,i,e,ernineer,1
propont,propont,pr,p,,pont,pro,,propont,target,r,,0,p,h,prohont,0
nutalcylssen,nutolcylssen,prss,p,ss,talc,nu,yl_ssen,nutalcylssen,control,r,,1,a,o,nutolcylssen,1
