first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
enprasment,enprakment,prs,pras,en,ment,enprasment,target,r,,3,s,k,enprakment,1,10
ungirtationally,unpirtationally,prssss,girt,un,at_ion_al_ly,ungirtationally,target,r,,0,g,p,unpirtationally,1,15
reinpurtment,reinpurtment,pprs,purt,re_in,ment,reinpurtment,target,r,,2,r,l,reinpultment,0,12
sidmesiw,sidmesiy,ppr,siw,sid_me,,sidmesiw,control,r,,2,w,y,sidmesiy,1,8
erotuneil,erotunein,ppr,neil,er_otu,,erotuneil,control,r,,3,l,n,erotunein,1,9
sidnicolgouissens,sidnicolbouissens,pprss,colg,sid_ni,ouis_sens,sidnicolgouissens,control,r,,3,g,b,sidnicolbouissens,1,17
marulf,marulf,rs,mar,,ulf,marulf,control,s,0.0,2,f,b,marulb,0,6
reoutkoul,raoutkoul,ppr,koul,re_out,,reoutkoul,target,p,0.0,1,e,a,raoutkoul,1,9
kaflom,kaflom,r_long,kaflom,,,kaflom,control,r,,0,k,f,faflom,0,6
depurtization,depuwtization,prsss,purt,de,iz_at_ion,depurtization,target,r,,2,r,w,depuwtization,1,13
riek,yiek,r,riek,,,riek,control,r,,0,r,y,yiek,1,4
mofcila,yofcila,rss,mof,,ci_la,mofcila,control,r,,0,m,y,yofcila,1,7
fomability,fomability,rss,fom,,abil_ity,fomability,target,s,0.0,3,l,r,fomabirity,0,10
tektaonilasim,tektaonelasim,rssss,tek,,ta_oni_la_sim,tektaonilasim,control,s,1.0,2,i,e,tektaonelasim,1,13
keat,kiat,r,keat,,,keat,control,r,,1,e,i,kiat,1,4
unmoralisticly,unmoralisticly,prssss,mor,un,al_ist_ic_ly,unmoralisticly,target,r,,1,o,a,unmaralisticly,0,14
busrom,basrom,pr,rom,bus,,busrom,control,p,0.0,1,u,a,basrom,1,6
pookalistic,pookalistic,rsss,pook,,al_ist_ic,pookalistic,target,r,,0,p,h,hookalistic,0,11
ram,ram,r,ram,,,ram,target,r,,0,r,m,mam,0,3
unmistaunable,unmistaunable,pprs,taun,un_mis,able,unmistaunable,target,r,,0,t,s,unmissaunable,0,13
numoflasitci,yumoflasitci,prsss,mof,nu,la_sit_ci,numoflasitci,control,p,0.0,0,n,y,yumoflasitci,1,12
