first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,2,t,h,caherpillar,0,11
frankincinse,frankincense,r,,frankincense,,frankincense,control,r,,8,e,i,frankincinse,3,12
intifreeze,intifreeze,pr_long,anti,freeze,,antifreeze,target,p,0.0,0,a,i,intifreeze,2,10
reanforce,reanforce,ppr,re_in,force,,reinforce,target,p,1.0,0,i,a,reanforce,2,9
absolate,absolate,r,,absolute,,absolute,control,r,,5,u,a,absolate,2,8
untriendly,unfriendly,prs_long,un,friend,ly,unfriendly,target,r,,0,f,t,untriendly,3,10
pheromenon,phenomenon,r,,phenomenon,,phenomenon,control,r,,3,n,r,pheromenon,3,10
enarchically,anarchically,prsss,an,arch,ic_al_ly,anarchically,target,p,0.0,0,a,e,enarchically,3,12
deoctivation,deoctivation,prsss,de,act,iv_at_ion,deactivation,target,r,,0,a,o,deoctivation,2,12
urarm,unarm,pr,un,arm,,unarm,target,p,0.0,1,n,r,urarm,3,5
silhouette,silhoeette,r,,silhouette,,silhouette,control,r,,5,u,e,silhoeette,1,10
sagittarius,segittarius,r,,sagittarius,,sagittarius,control,r,,1,a,e,segittarius,1,11
convinse,convince,r,,convince,,convince,control,r,,6,c,s,convinse,3,8
chinchalla,chinchalla,r,,chinchilla,,chinchilla,control,r,,6,i,a,chinchalla,2,10
issue,issue,r,,issue,,issue,control,r,,0,i,a,assue,0,5
problem,pmoblem,r,,problem,,problem,control,r,,1,r,m,pmoblem,1,7
optionally,optionally,rsss,,opt,ion_al_ly,optionally,target,r,,2,t,d,opdionally,0,10
scientist,sceentist,rs,,scient,ist,scientist,target,r,,2,i,e,sceentist,1,9
movebly,movably,rss,,mov,abl_y,movably,target,s,0.0,0,a,e,movebly,3,7
masquerade,masquerade,r,,masquerade,,masquerade,control,r,,0,m,l,lasquerade,0,10
hippopopamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,7,t,p,hippopopamus,3,12
discourage,dishourage,pr_long,dis,courage,,discourage,target,r,,0,c,h,dishourage,1,10
rhododendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,11,n,w,rhododendrow,0,12
holocautt,holocautt,r,,holocaust,,holocaust,control,r,,7,s,t,holocautt,2,9
reinsurance,rainsurance,pprs,re_in,sur,ance,reinsurance,target,p,0.0,1,e,a,rainsurance,1,11
bleck,bleck,r,,black,,black,control,r,,2,a,e,bleck,2,5
alluremont,allurement,rs_long,,allure,ment,allurement,target,s,0.0,1,e,o,alluremont,3,10
encylcopedie,encylcopedie,r,,encylcopedia,,encylcopedia,control,r,,11,a,e,encylcopedie,2,12
chareleon,chareleon,r,,chameleon,,chameleon,control,r,,3,m,r,chareleon,2,9
unrematable,unrematable,pprs,un_re,lat,able,unrelatable,target,r,,0,l,m,unrematable,2,11
activationil,activational,rssss,,act,iv_at_ion_al,activational,target,s,3.0,0,a,i,activationil,3,12
tambourine,tambourine,r,,tambourine,,tambourine,control,r,,1,a,i,timbourine,0,10
abnormarity,abnormarity,prss,ab,norm,al_ity,abnormality,target,s,0.0,1,l,r,abnormarity,2,11
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,1,a,e,cetastrophe,0,11
vicaliously,vicariously,rs_long,,vicarious,ly,vicariously,target,r,,4,r,l,vicaliously,3,11
marshrallow,marshrallow,r,,marshmallow,,marshmallow,control,r,,5,m,r,marshrallow,2,11
ertistically,ertistically,rssss,,art,ist_ic_al_ly,artistically,target,r,,0,a,e,ertistically,2,12
ebnormally,abnormally,prss,ab,norm,al_ly,abnormally,target,p,0.0,0,a,e,ebnormally,3,10
demonihally,demonihally,rsss,,demon,ic_al_ly,demonically,target,s,0.0,1,c,h,demonihally,2,11
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,5,a,e,abracedabra,0,11
cubacal,cubacal,rss,,cub,ic_al,cubical,target,s,0.0,0,i,a,cubacal,2,7
unfairly,infairly,prs,un,fair,ly,unfairly,target,p,0.0,0,u,i,infairly,1,8
uncertainly,uncertainyy,prs_long,un,certain,ly,uncertainly,target,s,0.0,0,l,y,uncertainyy,1,11
quarentine,quarentine,r,,quarantine,,quarantine,control,r,,4,a,e,quarentine,2,10
reinstate,reinstate,ppr,re_in,state,,reinstate,target,r,,4,e,o,reinstato,0,9
enclose,encnose,pr,en,close,,enclose,target,r,,1,l,n,encnose,1,7
metly,metly,rs,,wet,ly,wetly,target,r,,0,w,m,metly,2,5
reserviir,reserviir,r,,reservoir,,reservoir,control,r,,6,o,i,reserviir,2,9
pnotect,protect,r,,protect,,protect,control,r,,1,r,n,pnotect,3,7
disposal,disposel,prs,dis,pos,al,disposal,target,s,0.0,0,a,e,disposel,1,8
lettuce,lettace,r,,lettuce,,lettuce,control,r,,4,u,a,lettace,1,7
clandestine,clandestine,r,,clandestine,,clandestine,control,r,,7,t,g,clandesgine,0,11
