first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
bullet,gullet,r,,bullet,,bullet,control,r,,0,b,g,gullet,1,6
combine,combine,r,,combine,,combine,control,r,,1,o,u,cumbine,0,7
cubical,cubical,rss,,cub,ic_al,cubical,target,s,0.0,1,c,k,cubikal,0,7
right,richt,r,,right,,right,control,r,,2,g,c,richt,1,5
redeactivate,redeahtivate,pprss,re_de,act,iv_ate,redeactivate,target,r,,1,c,h,redeahtivate,1,12
hippopotamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,1,i,o,hoppopotamus,0,12
marshmallow,marshmallow,r,,marshmallow,,marshmallow,control,r,,2,r,y,mayshmallow,0,11
reset,reset,pr,re,set,,reset,target,r,,2,t,f,resef,0,5
redeflate,redeflite,ppr,re_de,flate,,redeflate,target,r,,2,a,i,redeflite,1,9
unevently,unevently,prs,un,event,ly,unevently,target,s,0.0,1,y,m,uneventlm,0,9
iconic,iconic,rs,,icon,ic,iconic,target,s,0.0,1,c,v,iconiv,0,6
reinsurance,reinsuramce,pprs,re_in,sur,ance,reinsurance,target,s,0.0,1,n,m,reinsuramce,1,11
principle,principlo,r,,principle,,principle,control,r,,8,e,o,principlo,1,9
blaspheme,blaspheme,r,,blaspheme,,blaspheme,control,r,,6,e,a,blasphame,0,9
optionally,optionalyy,rsss,,opt,ion_al_ly,optionally,target,s,2.0,0,l,y,optionalyy,1,10
rendezvous,rendezpous,r,,rendezvous,,rendezvous,control,r,,6,v,p,rendezpous,1,10
