first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
chinchilla,chanchilla,r,,chinchilla,,chinchilla,control,r,,2,i,a,chanchilla,1
counsel,counser,r,,counsel,,counsel,control,r,,6,l,r,counser,1
place,slace,r,,place,,place,control,r,,0,p,s,slace,1
access,access,r,,access,,access,control,r,,3,e,o,accoss,0
impractically,impracticalry,prsss,im,pract,ic_al_ly,impractically,target,s,2.0,0,l,r,impracticalry,1
minute,minute,r,,minute,,minute,control,r,,5,e,a,minuta,0
inescapability,inepcapability,prss,in,escap,abil_ity,inescapability,target,r,,1,s,p,inepcapability,1
unbeknown,unbeknewn,pprs,un_be,know,n,unbeknown,target,r,,2,o,e,unbeknewn,1
cartridge,camtridge,r,,cartridge,,cartridge,control,r,,2,r,m,camtridge,1
uneconomically,uneconomically,prsss,un,econom,ic_al_ly,uneconomically,target,s,1.0,0,a,e,uneconomicelly,0
shampoo,hhampoo,r,,shampoo,,shampoo,control,r,,0,s,h,hhampoo,1
first,fimst,r,,first,,first,control,r,,2,r,m,fimst,1
destablization,destablization,prsss,de,stabl,iz_at_ion,destablization,target,p,0.0,1,e,i,distablization,0
reimbursable,reimbursahle,pprs,re_im,burs,able,reimbursable,target,s,0.0,1,b,h,reimbursahle,1
unforeseen,unforeseen,pprs,un_fore,see,n,unforeseen,target,r,,0,s,h,unforeheen,0
inhale,inhali,pr,in,hale,,inhale,target,r,,3,e,i,inhali,1
participle,participle,r,,participle,,participle,control,r,,2,r,w,pawticiple,0
statistically,statisticamly,rssss,,stat,ist_ic_al_ly,statistically,target,s,2.0,1,l,m,statisticamly,1
sensationalist,senhationalist,rssss,,sens,at_ion_al_ist,sensationalist,target,r,,3,s,h,senhationalist,1
predisapproval,predisapproval,pprs,pre_dis,approv,al,predisapproval,target,p,0.0,1,r,m,pmedisapproval,0
expect,expecs,r,,expect,,expect,control,r,,5,t,s,expecs,1
remain,memain,r,,remain,,remain,control,r,,0,r,m,memain,1
parasite,parasite,r,,parasite,,parasite,control,r,,5,i,e,parasete,0
surprise,surprise,r,,surprise,,surprise,control,r,,0,s,h,hurprise,0
standard,standard,r,,standard,,standard,control,r,,1,t,s,ssandard,0
delicious,delicious,rs,,delic,ious,delicious,target,r,,0,d,b,belicious,0
force,force,r,,force,,force,control,r,,4,e,o,forco,0
parallel,parallel,r,,parallel,,parallel,control,r,,6,e,o,parallol,0
enclose,enclote,pr,en,close,,enclose,target,r,,3,s,t,enclote,1
almost,almott,r,,almost,,almost,control,r,,4,s,t,almott,1
industry,industrw,r,,industry,,industry,control,r,,7,y,w,industrw,1
counsel,counsey,r,,counsel,,counsel,control,r,,6,l,y,counsey,1
convince,convince,r,,convince,,convince,control,r,,0,c,f,fonvince,0
sentimentalize,sentimentalize,rsss,,senti,ment_al_ize,sentimentalize,target,s,1.0,1,l,w,sentimentawize,0
reusable,reusable,prs,re,us,able,reusable,target,p,0.0,1,e,o,rousable,0
realignment,realicnment,pprs,re_a,lign,ment,realignment,target,r,,2,g,c,realicnment,1
egoistic,egoistic,rss,,ego,ist_ic,egoistic,target,s,1.0,1,c,s,egoistis,0
sensationalism,sentationalism,rssss,,sens,at_ion_al_ism,sensationalism,target,r,,3,s,t,sentationalism,1
uneconomically,uneconomically,prsss,un,econom,ic_al_ly,uneconomically,target,r,,0,e,i,uniconomically,0
procreation,procreahion,prs,pro,creat,ion,procreation,target,r,,4,t,h,procreahion,1
almost,almest,r,,almost,,almost,control,r,,3,o,e,almest,1
reactor,reactor,prs,re,act,or,reactor,target,r,,2,t,d,reacdor,0
