first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
indéjurmentaire,indéjurmentairi,pprss,pp,ss,jur,in_dé,ment_aire,indéjurmentaire,target,s,1.0,3,e,i,indéjurmentairi,1
ernikal,urnikal,ppr,pp,,kal,er_ni,,ernikal,control,p,0.0,0,e,u,urnikal,1
errocnoile,ejrocnoile,prss,p,ss,roc,er,noi_le,errocnoile,control,p,0.0,1,r,j,ejrocnoile,1
mièrif,mièrif,rs,,s,mièr,,if,mièrif,target,r,,0,m,n,nièrif,0
reinsurcarniquement,reinsurcarniquement,ppprss,ppp,ss,carn,re_in_sur,ique_ment,reinsurcarniquement,target,p,1.0,0,i,e,reensurcarniquement,0
sédnilenrue,dédnilenrue,pprs,pp,s,len,séd_ni,rue,sédnilenrue,control,p,0.0,0,s,d,dédnilenrue,1
prév,vrév,r,,,prév,,,prév,target,r,,0,p,v,vrév,1
érperniroceuqitnem,érperniroceuqitnem,ppprss,ppp,ss,roc,érp_er_ni,euqi_tnem,érperniroceuqitnem,control,r,,2,c,s,érperniroseuqitnem,0
ernirustoitrue,ernirustoitrue,ppprs,ppp,s,toit,er_ni_rus,rue,ernirustoitrue,control,p,0.0,1,r,n,ennirustoitrue,0
nefab,nefab,pr,p,,fab,ne,,nefab,control,p,0.0,1,e,a,nafab,0
trateuqi,vrateuqi,rs,,s,trat,,euqi,trateuqi,control,r,,0,t,v,vrateuqi,1
érpernitlignoiletnem,érpernitlignoiletnem,ppprsss,ppp,sss,tlig,érp_er_ni,noi_le_tnem,érpernitlignoiletnem,control,r,,1,l,r,érpernitrignoiletnem,0
redéjaunionelment,redéjaunionelment,pprsss,pp,sss,jaun,re_dé,ion_el_ment,redéjaunionelment,target,p,0.0,0,r,n,nedéjaunionelment,0
ernirusmelknoieria,ennirusmelknoieria,ppprss,ppp,ss,melk,er_ni_rus,noi_eria,ernirusmelknoieria,control,p,0.0,1,r,n,ennirusmelknoieria,1
niédriof,niadriof,ppr,pp,,riof,ni_éd,,niédriof,control,p,1.0,0,é,a,niadriof,1
erluopéti,erluopéti,prs,p,s,luop,er,éti,erluopéti,control,p,0.0,1,r,m,emluopéti,0
érpernitôlb,érpernitôlb,pppr,ppp,,tôlb,érp_er_ni,,érpernitôlb,control,p,1.0,1,r,n,érpennitôlb,0
reindéfratmentaire,reindéfragmentaire,ppprss,ppp,ss,frat,re_in_dé,ment_aire,reindéfratmentaire,target,r,,3,t,g,reindéfragmentaire,1
préreinmélalité,préreinmélalité,ppprss,ppp,ss,mél,pré_re_in,al_ité,préreinmélalité,target,r,,2,l,n,préreinménalité,0
sédnimelk,sédnimelk,ppr,pp,,melk,séd_ni,,sédnimelk,control,r,,1,e,o,sédnimolk,0
koibtna,koibtna,rs,,s,koib,,tna,koibtna,control,r,,2,i,u,koubtna,0
cor,cur,r,,,cor,,,cor,target,r,,1,o,u,cur,1
nemafelbatnem,nemafelbatnem,prss,p,ss,maf,ne,elba_tnem,nemafelbatnem,control,s,0.0,1,l,n,nemafenbatnem,0
édtarflaéti,édtirflaéti,prss,p,ss,tarf,éd,la_éti,édtarflaéti,control,r,,1,a,i,édtirflaéti,1
nelentnaleetsi,nenentnaleetsi,prsss,p,sss,len,ne,tna_le_etsi,nelentnaleetsi,control,r,,0,l,n,nenentnaleetsi,1
kaleuqitnem,kaleuqitnem,rss,,ss,kal,,euqi_tnem,kaleuqitnem,control,r,,2,l,n,kaneuqitnem,0
infrationelment,infrationelment,prsss,p,sss,frat,in,ion_el_ment,infrationelment,target,r,,3,t,p,infrapionelment,0
rujnoiletnem,rujnoiletnem,rsss,,sss,ruj,,noi_le_tnem,rujnoiletnem,control,s,1.0,1,e,à,rujnoilàtnem,0
nuajtnemeria,nuajtnemelia,rss,,ss,nuaj,,tnem_eria,nuajtnemeria,control,s,1.0,1,r,l,nuajtnemelia,1
cormentaire,cormentaire,rss,,ss,cor,,ment_aire,cormentaire,target,s,0.0,2,n,r,cormertaire,0
reindérazenteliste,reundérazenteliste,ppprsss,ppp,sss,raz,re_in_dé,ent_el_iste,reindérazenteliste,target,p,1.0,0,i,u,reundérazenteliste,1
prérepoulenteliste,prérepoulenteliste,pprsss,pp,sss,poul,pré_re,ent_el_iste,prérepoulenteliste,target,s,2.0,1,s,t,prérepoulentelitte,0
nitôlb,nitôlb,pr,p,,tôlb,ni,,nitôlb,control,p,0.0,0,n,m,mitôlb,0
erniridrue,erniridrue,pprs,pp,s,rid,er_ni,rue,erniridrue,control,s,0.0,0,r,n,erniridnue,0
rediotionelité,rediotionelité,prsss,p,sss,diot,re,ion_el_ité,rediotionelité,target,r,,1,i,é,redéotionelité,0
maftnemeria,mattnemeria,rss,,ss,maf,,tnem_eria,maftnemeria,control,r,,2,f,t,mattnemeria,1
rejaunionelment,rejaunionelment,prsss,p,sss,jaun,re,ion_el_ment,rejaunionelment,target,p,0.0,1,e,i,rijaunionelment,0
