first,second,word,type,root,prefixes,suffixes,condition,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
inoubliable,iroubliable,inoubliable,target,oubli,in,able,prs,p,0.0,1,n,r,iroubliable,1
domestiques,domestiques,domestiques,control,domestiques,,,r,r,,7,q,t,domestitues,0
revue,revue,revue,target,vue,re,,pr,p,0.0,0,r,l,levue,0
revue,revue,revue,target,vue,re,,pr,r,,2,e,i,revui,0
détestaient,détestaient,détestaient,control,détestaient,,,r,r,,2,t,d,dédestaient,0
gaspille,gaspille,gaspille,control,gaspille,,,r,r,,1,a,i,gispille,0
possédaient,possédeient,possédaient,control,possédaient,,,r,r,,6,a,e,possédeient,1
portable,porbable,portable,target,port,,able,rs,r,,3,t,b,porbable,1
portable,pertable,portable,target,port,,able,rs,r,,1,o,e,pertable,1
chips,chipg,chips,control,chips,,,r,r,,4,s,g,chipg,1
quelques,quelques,quelques,control,quelques,,,r,r,,2,e,é,quélques,0
question,question,question,control,question,,,r,r,,7,n,r,questior,0
inoubliable,inoubliable,inoubliable,target,oubli,in,able,prs,p,0.0,0,i,a,anoubliable,0
aille,aulle,aille,control,aille,,,r,r,,1,i,u,aulle,1
inoubliable,inoubriable,inoubliable,target,oubli,in,able,prs,r,,3,l,r,inoubriable,1
portable,portable,portable,target,port,,able,rs,s,0.0,0,a,e,porteble,0
seigneur,seisneur,seigneur,control,seigneur,,,r,r,,3,g,s,seisneur,1
désordre,dusordre,désordre,target,ordre,dés,,pr,p,0.0,1,é,u,dusordre,1
désordre,désordre,désordre,target,ordre,dés,,pr,r,,3,r,n,désordne,0
inoubliable,inoubniable,inoubliable,target,oubli,in,able,prs,r,,3,l,n,inoubniable,1
revue,revue,revue,target,vue,re,,pr,p,0.0,0,r,l,levue,0
inoubliable,inoubliable,inoubliable,target,oubli,in,able,prs,s,0.0,3,e,o,inoubliablo,0
problème,problème,problème,control,problème,,,r,r,,3,b,t,protlème,0
heureuse,heureuse,heureuse,control,heureuse,,,r,r,,6,s,t,heureute,0
souvenaient,souvonaient,souvenaient,control,souvenaient,,,r,r,,4,e,o,souvonaient,1
portable,portable,portable,target,port,,able,rs,s,0.0,0,a,u,portuble,0
catastrophe,catastrophe,catastrophe,control,catastrophe,,,r,r,,8,p,d,catastrodhe,0
portable,portabne,portable,target,port,,able,rs,s,0.0,2,l,n,portabne,1
portable,pordable,portable,target,port,,able,rs,r,,3,t,d,pordable,1
habitude,habetude,habitude,control,habitude,,,r,r,,3,i,e,habetude,1
pareille,pareilne,pareille,control,pareille,,,r,r,,6,l,n,pareilne,1
quelques,quilques,quelques,control,quelques,,,r,r,,2,e,i,quilques,1
inoubliable,inoubliable,inoubliable,target,oubli,in,able,prs,p,0.0,1,n,l,iloubliable,0
envie,envae,envie,control,envie,,,r,r,,3,i,a,envae,1
souvenaient,souvenaient,souvenaient,control,souvenaient,,,r,r,,3,v,s,sousenaient,0
désordre,désordra,désordre,target,ordre,dés,,pr,r,,4,e,a,désordra,1
